DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1]
2023-08-31 13:05:49,45.52777,-73.60981,71.5,13.53617,14.0,1298.75,-0.2814811,3.798305,46.0,11.42,69.0,100.0,0.0,0.0,0.0,36.354,0.0034073801263870217,0.7575508305555556,0.7575508305555556,0.0,0.0,0.0,0.0
2023-08-31 13:05:50,45.5278,-73.60977,71.5,14.30145,13.0,1295.25,-0.3348524,3.671916,46.0,11.04,69.0,100.0,0.0,0.0,0.0039,36.42,0.01738799653926245,0.7323432466666667,0.7323432466666667,39.0,66.73793692469107,5.698714700661996e-07,0.0005698714700661996
2023-08-31 13:05:51,45.52782,-73.60973,71.7,14.33666,11.0,1292.0,-0.5887241,3.455725,45.0,10.39,67.0,100.0,0.0,0.0,0.0016,36.254,0.018202894943307645,0.6892251527777778,0.6892251527777778,16.0,27.394363167394435,2.2014651814465792e-07,0.0002201465181446579
2023-08-31 13:05:52,45.52784,-73.6097,71.8,14.08651,11.0,1304.75,-0.3774861,3.55218,45.0,10.68,66.0,100.0,0.0,0.0,0.0109,36.37,0.035036680879110174,0.7084625666666666,0.7084625666666666,109.0,186.55412333525882,1.5410302708798547e-06,0.0015410302708798547
2023-08-31 13:05:53,45.52785,-73.60966,71.9,13.69738,10.0,1296.25,-0.1480215,3.286099,45.0,9.88,63.0,100.0,0.0,0.0,0.0039,36.37,0.04742027678800045,0.6553941894444444,0.6553941894444444,39.0,66.74872302821187,5.100760952268028e-07,0.0005100760952268028
2023-08-31 13:05:54,45.52787,-73.60963,72.1,13.1841,9.0,1313.75,-0.3876549,3.482333,45.0,10.47,66.0,100.0,0.0,0.0,0.0039,36.37,0.036989344760439594,0.6945319705555556,0.6945319705555556,39.0,66.74872302821187,5.405361049620067e-07,0.0005405361049620067
2023-08-31 13:05:55,45.52789,-73.6096,72.3,12.76532,8.0,1302.25,-0.3207262,3.252839,45.0,9.78,68.0,100.0,0.0,0.0,0.0016,36.412,0.030797549668242802,0.6487606672222221,0.6487606672222221,16.0,27.380374345433918,2.071158334738524e-07,0.0002071158334738524
2023-08-31 13:05:56,45.52791,-73.6096,73.2,12.12418,8.0,1336.5,0.0,3.279447,44.0,9.86,71.0,100.0,0.0,0.0,0.0032,36.387,0.04174427084281874,0.654067485,0.654067485,32.0,54.76517363023913,4.1765381080838266e-07,0.00041765381080838265
2023-08-31 13:05:57,45.52793,-73.60959,73.2,11.20694,8.0,1382.5,0.0,3.01004,44.0,9.05,69.0,100.0,0.0,0.0,0.0024,36.403,0.04104102943150838,0.6003357555555556,0.6003357555555556,23.999999999999996,41.07175618999847,2.874927631831435e-07,0.0002874927631831435
2023-08-31 13:05:58,45.52795,-73.6096,73.4,10.38421,9.0,1218.5,0.4148316,2.700721,44.0,8.12,66.0,100.0,0.0,0.0,0.0,36.428,0.040337785726874846,0.5386437994444445,0.5386437994444445,0.0,0.0,0.0,0.0
2023-08-31 13:05:59,45.52797,-73.6096,74.2,9.731956,9.0,1154.0,0.0,2.341512,44.0,7.04,67.0,100.0,0.0,0.0,0.0,36.337,0.044714510974729046,0.46700156,0.46700156,0.0,0.0,0.0,0.0
2023-08-31 13:06:00,45.528,-73.60961,74.4,9.183468,9.0,1173.75,0.0,2.524442,44.0,7.59,74.0,100.0,0.0,0.0,0.0562,36.395,0.049091236222583254,0.5034859322222223,0.5034859322222223,562.0,961.7884923554038,5.6462020705217074e-06,0.005646202070521708
2023-08-31 13:06:01,45.52802,-73.60963,74.8,8.8944,9.0,1350.25,0.0,2.507812,44.0,7.54,72.0,100.0,0.0,0.0,0.1046,36.345,0.036490880152076105,0.500169171111111,0.500169171111111,1046.0,1790.3796612136107,1.044122719897179e-05,0.01044122719897179
2023-08-31 13:06:02,45.52804,-73.60964,75.3,8.694276,9.0,1386.5,0.0,2.650831,44.0,7.97,68.0,100.0,0.0,0.0,0.1998,36.395,0.029187253195673564,0.5286935161111112,0.5286935161111112,1998.0,3419.312113391631,2.1078132526669737e-05,0.021078132526669735
2023-08-31 13:06:03,45.52806,-73.60966,75.8,8.914783,11.0,1433.75,0.4312083,3.622026,44.0,10.89,80.0,100.0,0.0,0.0,0.2393,36.337,0.011666724270501822,0.7223929633333334,0.7223929633333334,2393.0,4096.070105988326,3.450089214495543e-05,0.03450089214495543
2023-08-31 13:06:04,45.52809,-73.6097,75.9,9.157526,12.0,1246.5,0.3281901,2.860369,44.0,8.6,75.0,100.0,0.0,0.0,0.2455,36.403,0.0014498223017326227,0.570484706111111,0.570484706111111,2455.0,4201.298393601927,2.794583199394893e-05,0.027945831993948927
2023-08-31 13:06:05,45.52811,-73.60972,76.2,9.609658,12.0,1179.0,0.0,3.136428,44.0,9.43,82.0,100.0,0.0,0.0,0.2571,36.42,0.01179524197304434,0.62554314,0.62554314,2571.0,4399.570149573865,3.2089060646980856e-05,0.03208906064698085
2023-08-31 13:06:06,45.52814,-73.60973,76.1,10.20818,13.0,1424.25,0.1484008,3.967931,44.0,11.93,82.0,100.0,0.0,0.0,0.2702,36.337,0.02704804666818885,0.791381793888889,0.791381793888889,2702.0,4624.981791216237,4.267617972713258e-05,0.04267617972713258
2023-08-31 13:06:07,45.52817,-73.60976,76.4,10.72702,13.0,1416.25,0.0,4.147536,44.0,12.47,84.0,100.0,0.0,0.0,0.2757,36.378,0.02665096364885487,0.8272030133333333,0.8272030133333333,2757.0,4718.499250689009,4.5509850457183044e-05,0.045509850457183046
2023-08-31 13:06:08,45.5282,-73.60979,76.8,11.3978,14.0,1310.0,0.3253841,3.382553,43.0,10.17,82.0,100.0,0.0,0.0,0.2865,36.412,0.03249114036976987,0.674631403888889,0.674631403888889,2864.9999999999995,4902.79828122926,3.856559557591583e-05,0.03856559557591583
2023-08-31 13:06:09,45.52824,-73.60982,76.9,11.84808,13.0,1124.0,-0.3658542,2.012237,43.0,6.05,67.0,100.0,0.0,0.0,0.2911,36.412,0.048146087134087606,0.4013294905555555,0.4013294905555555,2911.0000000000005,4981.516857472384,2.3310524392998628e-05,0.023310524392998626
2023-08-31 13:06:10,45.52826,-73.60984,76.9,12.20756,12.0,1096.0,-0.3577945,0.6884843,43.0,2.07,43.0,100.0,0.0,0.0,0.3004,36.395,0.04878513898340183,0.13731436872222222,0.13731436872222222,3004.0,5140.947742056286,8.230924144215726e-06,0.008230924144215727
2023-08-31 13:06:11,45.52829,-73.60987,77.1,12.40028,11.0,0.0,-0.2270573,0.6751802,43.0,2.03,65.0,100.0,0.0,0.0,0.3066,36.42,0.04451680580888327,0.1346609398888889,0.1346609398888889,3066.0,5246.628579771867,8.237803400832927e-06,0.008237803400832928
2023-08-31 13:06:12,45.52829,-73.60992,77.6,12.78755,12.0,1010.25,0.3331163,1.649701,44.0,4.96,58.0,100.0,0.0,0.0,0.3035,36.428,0.045462066398997955,0.32902369944444443,0.32902369944444443,3035.0,5193.446200419024,1.9923809385163864e-05,0.019923809385163863
2023-08-31 13:06:13,45.52829,-73.60997,77.9,13.034,14.0,1548.75,0.3231736,5.913648,44.0,17.78,89.0,100.0,0.0,0.0,0.3059,36.478,0.05436251160265769,1.17944424,1.17944424,3059.0,5233.668937642456,7.19735739123543e-05,0.0719735739123543
