DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1]
2022-11-07 10:36:00,45.52723,-73.61006,67.4,1.424957,0.0,0.0,0.0,0.1433064,30.0,0.43,0.0,101.0,0.9960385,30.0,0.0,31.571,0.05888826437174075,0.028581665333333336,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:01,45.52723,-73.61006,67.4,0.0,0.0,0.0,0.0,0.1433064,30.0,0.43,0.0,101.0,0.9960385,30.0,0.0,31.571,0.05888826437174075,0.028581665333333336,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:02,45.52723,-73.61006,67.3,1.499077,0.0,0.0,0.0,0.1435873,30.0,0.43,0.0,101.0,0.9960385,30.0,0.0,31.571,0.05888826521733885,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:03,45.52723,-73.61007,67.4,1.550961,0.0,0.0,0.0,0.1435873,30.0,0.43,0.0,101.0,0.9960385,30.0,0.0,31.571,0.07361033152167357,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:04,45.52723,-73.61007,67.4,1.497224,0.0,0.0,0.0,0.1435873,30.0,0.43,0.0,101.0,0.9960385,30.0,0.0,31.571,0.07361033152167357,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:05,45.52723,-73.61007,67.4,0.0,0.0,0.0,0.0,0.1435873,30.0,0.43,0.0,101.0,0.9979905,30.0,0.0,31.571,0.07361033152167357,0.028637689277777777,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:06,45.52723,-73.61007,67.4,0.0,0.0,0.0,0.0,0.1435873,30.0,0.43,0.0,101.0,0.9979905,30.0,0.0,31.571,0.07361033152167357,0.028637689277777777,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:07,45.52723,-73.61007,67.5,0.0,0.0,0.0,0.0,0.1433064,31.0,0.43,0.0,101.0,0.9979905,31.0,0.0,31.571,0.06742210010826907,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:08,45.52723,-73.61007,67.5,0.0,0.0,0.0,0.0,0.1433064,31.0,0.43,0.0,101.0,0.9979905,31.0,0.0,31.571,0.06742210010826907,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:09,45.52722,-73.61008,67.6,1.143301,0.0,0.0,0.0,0.1433064,31.0,0.43,0.0,101.0,0.9979905,31.0,0.0,31.571,0.061233868694864566,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:10,45.52721,-73.61008,67.8,1.441634,0.0,0.0,0.0,0.1433064,31.0,0.43,0.0,101.0,0.9979905,31.0,0.0,31.571,0.055000331794803924,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:11,45.52721,-73.61011,67.9,1.941944,4.0,0.0,0.259783,0.1433064,31.0,0.43,0.0,101.0,0.9979905,31.0,0.0,31.571,0.048812097357201586,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:12,45.52719,-73.61012,68.0,2.466343,4.0,0.0,0.259783,0.1433064,31.0,0.43,0.0,101.0,0.9979905,31.0,0.0,31.571,0.03409003105286688,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:13,45.52719,-73.61015,68.1,3.033361,4.0,0.0,0.259783,0.1433064,31.0,0.43,0.0,101.0,0.9979905,31.0,0.0,31.571,0.025556196161936662,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:14,45.52718,-73.61016,67.9,3.572584,6.0,0.0,0.3844309,0.1433064,31.0,0.43,0.0,101.0,0.9979905,31.0,0.0,31.571,0.03174442166004193,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:15,45.52717,-73.61018,67.9,4.000627,6.0,0.0,0.3844309,0.1433064,31.0,0.43,0.0,101.0,0.9979905,31.0,0.0,31.571,0.037977952644803345,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:16,45.52717,-73.61019,68.0,4.31749,5.0,0.0,0.06384043,0.1433064,32.0,0.43,0.0,101.0,0.9979905,32.0,0.0,31.571,0.044166181167106466,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:17,45.52716,-73.6102,68.3,4.536144,5.0,0.0,0.06384043,0.1433064,32.0,0.43,0.0,101.0,0.9979905,32.0,0.0,31.571,0.054597031989906064,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:18,45.52715,-73.61021,68.4,4.634353,3.0,0.0,-0.1771868,0.1433064,32.0,0.43,0.0,101.0,0.9979905,32.0,0.0,31.571,0.06502788281270566,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:19,45.52715,-73.61022,68.5,4.72515,3.0,0.0,-0.1771868,0.1433064,32.0,0.43,0.0,101.0,0.9979905,32.0,0.0,31.571,0.0580165213706074,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:20,45.52714,-73.61024,68.6,4.65103,3.0,0.0,-0.1163793,0.1433064,32.0,0.43,0.0,101.0,0.9979905,32.0,0.0,31.571,0.05100515992850914,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:21,45.52713,-73.61024,68.8,4.604705,3.0,0.0,-0.1163793,0.1433064,32.0,0.43,0.0,101.0,0.9979905,32.0,0.0,31.571,0.03628309953947365,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:22,45.52712,-73.61027,68.9,4.689943,3.0,0.0,-0.1163793,0.1433064,32.0,0.43,0.0,101.0,0.9979905,32.0,0.0,31.579,0.03628309465850228,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:23,45.52711,-73.61029,68.9,4.825212,4.0,0.0,0.06345655,0.1433064,32.0,0.43,0.0,101.0,0.9979905,32.0,0.0,31.571,0.03356293944313909,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:24,45.5271,-73.61031,69.0,5.014218,4.0,0.0,0.06345655,0.1433064,32.0,0.43,0.0,101.0,0.9979905,32.0,0.0,31.571,0.025852240496201863,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:25,45.52709,-73.61034,69.1,5.149487,7.0,0.0,0.2553495,0.1433064,32.0,0.43,0.0,101.0,0.9979905,32.0,0.0,31.571,0.028572383830847908,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:26,45.52708,-73.61035,69.1,5.321816,7.0,0.0,0.2553495,0.1433064,32.0,0.43,0.0,101.0,0.9979905,32.0,0.0,31.571,0.028572383830847908,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:27,45.52707,-73.61037,69.2,5.349611,7.0,0.0,0.2553495,0.1433064,32.0,0.43,0.0,101.0,0.9979905,32.0,0.0,31.579,0.018141537889019684,0.028581665333333336,0.029192919387755104,0.0,0.0,0.0,0.0
2022-11-07 10:36:28,45.52707,-73.61037,69.2,5.186547,5.0,0.0,0.0918923,0.1433064,32.0,0.43,0.0,101.0,0.9960385,32.0,0.0,31.571,0.018141537889019684,0.028581665333333336,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:29,45.52707,-73.61037,69.3,4.860419,5.0,0.0,0.0918923,0.1433064,32.0,0.43,0.0,101.0,0.9960385,32.0,0.0,31.571,0.028425827090408095,0.028581665333333336,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:30,45.52707,-73.61038,69.3,4.458318,3.0,0.0,-0.2243357,0.1435873,32.0,0.43,0.0,101.0,0.9960385,32.0,0.0,31.579,0.04642081189923292,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:31,45.52707,-73.61038,69.4,3.887594,3.0,0.0,-0.2243357,0.1435873,32.0,0.43,0.0,101.0,0.9960385,32.0,0.0,31.579,0.05398495442647446,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:32,45.52707,-73.61038,69.5,3.159365,3.0,0.0,-0.1243351,0.1435873,32.0,0.43,0.0,101.0,0.9960385,32.0,0.0,31.571,0.07197993923529929,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:33,45.52707,-73.61038,69.5,2.373693,3.0,0.0,-0.1243351,0.1435873,32.0,0.43,0.0,101.0,0.9960385,32.0,0.0,31.579,0.07197993923529929,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:34,45.52707,-73.61038,69.6,1.63064,0.0,0.0,-0.1861581,0.1435873,33.0,0.43,0.0,101.0,0.9960385,33.0,0.0,31.571,0.0899749240441241,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:35,45.52707,-73.61038,69.7,0.0,0.0,0.0,-0.1861581,0.1435873,33.0,0.43,0.0,101.0,0.9960385,33.0,0.0,31.579,0.07197993923529929,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:36,45.52707,-73.61038,69.7,0.0,0.0,0.0,-0.1861581,0.1435873,33.0,0.43,0.0,101.0,0.9960385,33.0,0.0,31.579,0.07197993923529929,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:37,45.52706,-73.61038,69.8,0.0,0.0,0.0,-0.1861581,0.1435873,33.0,0.43,0.0,101.0,0.9960385,33.0,0.0,31.571,0.05398495442647446,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:38,45.52706,-73.61038,69.8,0.0,0.0,0.0,-0.1861581,0.1435873,33.0,0.43,0.0,101.0,0.9960385,33.0,0.0,31.571,0.05398495442647446,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:39,45.52706,-73.61038,69.8,0.0,0.0,0.0,-2.775558e-17,0.1435873,33.0,0.43,0.0,101.0,0.9960385,33.0,0.0,31.571,0.05398495442647446,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:40,45.52706,-73.61038,69.8,0.0,0.0,0.0,-2.775558e-17,0.1435873,33.0,0.43,0.0,101.0,0.9960385,33.0,0.0,31.571,0.05398495442647446,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:41,45.52705,-73.6104,70.1,0.937618,0.0,0.0,-2.775558e-17,0.1435873,33.0,0.43,0.0,101.0,0.9960385,33.0,0.0,31.571,0.03598996961764964,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:42,45.52704,-73.61041,70.1,1.739967,0.0,0.0,-2.775558e-17,0.1435873,33.0,0.43,0.0,101.0,0.9960385,33.0,0.0,31.571,0.009461177135550607,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
2022-11-07 10:36:43,45.52703,-73.61044,70.1,2.666467,0.0,0.0,-2.775558e-17,0.1435873,33.0,0.43,0.0,101.0,0.9960385,33.0,0.0,31.571,-0.008533807673274215,0.028637689277777777,0.029135820068027216,0.0,0.0,0.0,0.0
