DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1]
2022-06-30 12:20:22,45.5271,-73.61018,70.9,1.734408,6.0,0.0,0.370137,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0228,34.894,0.004291214271906601,0.029138235000000002,0.028635308843537415,228.0,396.0149186065888,1.3170888313159038e-07,0.0001317088831315904
2022-06-30 12:20:23,45.52711,-73.61016,71.0,2.231012,6.0,0.0,0.370137,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0004,34.894,0.014722057768440064,0.029138235000000002,0.028635308843537415,4.0,6.9476301509927865,2.3106821602033403e-09,2.3106821602033403e-06
2022-06-30 12:20:24,45.52713,-73.61015,71.0,2.866591,6.0,0.0,0.370137,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0097,34.894,0.03558375330657245,0.029138235000000002,0.028635308843537415,97.0,168.48003116157506,5.6034042384931e-08,5.6034042384931e-05
2022-06-30 12:20:25,45.52715,-73.61014,71.0,3.583702,6.0,0.0,0.370137,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0112,34.894,0.02822272881116165,0.029138235000000002,0.028635308843537415,112.0,194.533644227798,6.469910048569352e-08,6.469910048569352e-05
2022-06-30 12:20:26,45.52716,-73.61012,71.1,4.456465,7.0,0.0,0.06192813,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0151,34.894,0.02269923746492645,0.029138235000000002,0.028635308843537415,151.0,262.2730381999777,8.722825154767609e-08,8.72282515476761e-05
2022-06-30 12:20:27,45.52718,-73.6101,71.2,5.41076,7.0,0.0,0.06192813,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0104,34.894,0.03006027040857092,0.029138235000000002,0.028635308843537415,104.0,180.63838392581243,6.007773616528685e-08,6.0077736165286846e-05
2022-06-30 12:20:28,45.52721,-73.61007,71.3,6.381732,7.0,0.0,0.06192813,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0128,34.902,0.03625203172835956,0.029138235000000002,0.028635308843537415,128.0,222.31838834016258,7.393990794823258e-08,7.393990794823259e-05
2022-06-30 12:20:29,45.52723,-73.61005,71.4,7.350851,9.0,0.0,0.2020756,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0097,34.894,0.025821179686760627,0.029138235000000002,0.028635308843537415,97.0,168.48003116157506,5.6034042384931e-08,5.6034042384931e-05
2022-06-30 12:20:30,45.52725,-73.61002,71.5,8.067962,9.0,0.0,0.2020756,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0112,34.894,0.02582118391471546,0.029138235000000002,0.028635308843537415,112.0,194.533644227798,6.469910048569352e-08,6.469910048569352e-05
2022-06-30 12:20:31,45.52726,-73.60999,71.5,8.421885,11.0,0.0,0.2656711,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0104,34.894,0.020913829322970878,0.029138235000000002,0.028635308843537415,104.0,180.63838392581243,6.007773616528685e-08,6.0077736165286846e-05
2022-06-30 12:20:32,45.52728,-73.60997,71.6,8.677599,11.0,0.0,0.2656711,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0112,34.894,0.013552796379326404,0.029138235000000002,0.028635308843537415,112.0,194.533644227798,6.469910048569352e-08,6.469910048569352e-05
2022-06-30 12:20:33,45.52729,-73.60995,71.6,8.788779,9.0,0.0,-0.01182636,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0097,34.91,-0.005022496739675988,0.029138235000000002,0.028635308843537415,97.0,168.47127639395276,5.6031130674761926e-08,5.6031130674761924e-05
2022-06-30 12:20:34,45.5273,-73.60993,71.6,8.807309,9.0,0.0,-0.01182636,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0197,34.902,-0.017406028538889746,0.029138235000000002,0.028635308843537415,197.0,342.1618945547815,1.1379813957657673e-07,0.00011379813957657673
2022-06-30 12:20:35,45.52731,-73.60991,71.4,8.864752,7.0,0.0,-0.2584534,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0035,34.894,-0.03212810203937253,0.029138235000000002,0.028635308843537415,35.0,60.791763821186876,2.0218468901779224e-08,2.0218468901779223e-05
2022-06-30 12:20:36,45.52733,-73.60988,71.2,8.829545,7.0,0.0,-0.2584534,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0135,34.902,-0.03948914048031755,0.029138235000000002,0.028635308843537415,135.0,234.4764252025152,7.798349666415156e-08,7.798349666415157e-05
2022-06-30 12:20:37,45.52734,-73.60986,71.0,8.688717,8.0,0.0,-0.05282576,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.012,34.894,-0.05421121862677726,0.029138235000000002,0.028635308843537415,120.0,208.42890452978355,6.932046480610019e-08,6.932046480610019e-05
2022-06-30 12:20:38,45.52736,-73.60984,70.9,8.332941,8.0,0.0,-0.05282576,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0097,34.894,-0.04182768682756351,0.029138235000000002,0.028635308843537415,97.0,168.48003116157506,5.6034042384931e-08,5.6034042384931e-05
2022-06-30 12:20:39,45.52737,-73.60983,70.8,7.712186,8.0,0.0,0.06827772,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0066,34.902,-0.02944415502834975,0.029138235000000002,0.028635308843537415,66.0,114.63291898789632,3.8125265035807425e-08,3.812526503580743e-05
2022-06-30 12:20:40,45.52738,-73.60981,70.5,7.180375,8.0,0.0,0.06827772,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0259,34.894,-0.0368051972706263,0.029138235000000002,0.028635308843537415,259.0,449.8590522767829,1.4961666987316627e-07,0.00014961666987316628
2022-06-30 12:20:41,45.52739,-73.6098,70.5,7.000634,8.0,0.0,0.06827772,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.019,34.91,-0.03563592987870913,0.029138235000000002,0.028635308843537415,190.0,329.995283658258,1.0975169925984296e-07,0.00010975169925984295
2022-06-30 12:20:42,45.5274,-73.60979,70.4,7.015458,4.0,0.0,-0.2746941,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0236,34.894,-0.020913851732249418,0.029138235000000002,0.028635308843537415,236.0,409.9101789085744,1.3633024745199706e-07,0.00013633024745199706
2022-06-30 12:20:43,45.52742,-73.60976,70.3,7.098843,4.0,0.0,-0.2746941,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0205,34.919,-0.028274893974534327,0.029138235000000002,0.028635308843537415,205.0,356.0371361709601,1.1841284596914909e-07,0.00011841284596914909
2022-06-30 12:20:44,45.52743,-73.60974,70.3,7.139609,7.0,0.0,-0.1110108,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0252,34.902,-0.028274893974534327,0.029138235000000002,0.028635308843537415,252.0,437.6893270446951,1.4556919377308293e-07,0.00014556919377308294
2022-06-30 12:20:45,45.52745,-73.60972,70.2,7.048812,7.0,0.0,-0.1110108,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0174,34.919,-0.013552813291312762,0.029138235000000002,0.028635308843537415,174.0,302.19737411583924,1.0050651316405823e-07,0.00010050651316405823
2022-06-30 12:20:46,45.52745,-73.6097,70.4,6.776421,7.0,0.0,0.1636833,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0213,34.894,-0.01779193213610023,0.029138235000000002,0.028635308843537415,213.0,369.96130554036586,1.2304382503082784e-07,0.00012304382503082784
2022-06-30 12:20:47,45.52746,-73.60969,70.4,6.361349,7.0,0.0,0.1636833,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0074,34.894,-0.01779193213610023,0.029138235000000002,0.028635308843537415,74.0,128.53115779336653,4.274761996376179e-08,4.2747619963761794e-05
2022-06-30 12:20:48,45.52747,-73.60967,70.3,6.126018,6.0,0.0,-0.06717415,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0143,34.894,-0.010430889893815328,0.029138235000000002,0.028635308843537415,143.0,248.3777778979921,8.260688722726942e-08,8.260688722726941e-05
2022-06-30 12:20:49,45.52747,-73.60966,70.3,6.050045,6.0,0.0,-0.06717415,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0112,34.894,-0.010430889893815328,0.029138235000000002,0.028635308843537415,112.0,194.533644227798,6.469910048569352e-08,6.469910048569352e-05
2022-06-30 12:20:50,45.52748,-73.60964,70.1,6.000014,4.0,0.0,-0.2059404,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0151,34.902,-0.010430889893815328,0.029138235000000002,0.028635308843537415,151.0,262.2662237450356,8.722598515768065e-08,8.722598515768065e-05
2022-06-30 12:20:51,45.52748,-73.60963,70.0,5.820273,4.0,0.0,-0.2059404,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0074,34.91,0.010430893557942763,0.029138235000000002,0.028635308843537415,74.0,128.52447889847946,4.2745398659096736e-08,4.274539865909673e-05
2022-06-30 12:20:52,45.52749,-73.60962,70.0,5.481174,4.0,0.0,-0.1387662,0.146097,46.0,0.43,0.0,101.0,0.978928,46.0,0.0132,34.902,0.0030698483551222623,0.029138235000000002,0.028635308843537415,132.0,229.26583797579264,7.625053007161485e-08,7.625053007161485e-05
