DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1]
2022-10-03 11:10:03,45.52758,-73.6113,62.3,5.494145,7.0,0.0,0.3443553,0.003325999,24.0,0.01,0.0,102.0,1.000003,24.0,0.001036,30.348,-0.022649711194733673,0.0006633520227777778,0.000680274149659864,10.36,18.444859147823422,1.426626896730097e-10,1.426626896730097e-07
2022-10-03 11:10:04,45.52756,-73.61134,62.2,7.163698,9.0,0.0,0.4759403,0.003325999,24.0,0.01,0.0,102.0,1.000003,24.0,0.0,30.339,-0.009739110644944374,0.0006633520227777778,0.000680274149659864,0.0,0.0,0.0,0.0
2022-10-03 11:10:05,45.52753,-73.61139,62.2,8.920342,9.0,0.0,0.4759403,0.003325999,24.0,0.01,0.0,102.0,1.000003,24.0,0.008029,30.423,-0.0018119643046621316,0.0006633520227777778,0.000680274149659864,80.28999999999999,142.9123246391936,1.1053625542516329e-09,1.1053625542516329e-06
2022-10-03 11:10:06,45.5275,-73.61143,62.3,10.7789,15.0,0.0,0.5207348,0.003325999,24.0,0.01,0.0,102.0,1.000003,24.0,0.0,30.398,0.006532618279175037,0.0006633520227777778,0.000680274149659864,0.0,0.0,0.0,0.0
2022-10-03 11:10:07,45.52747,-73.61149,62.4,12.54296,15.0,0.0,0.5207348,0.003325999,24.0,0.01,0.0,102.0,1.000003,24.0,0.23374749999999997,30.339,0.016963512453738026,0.0006633520227777778,0.000680274149659864,2337.475,4161.744819598271,3.2189224376195155e-08,3.2189224376195154e-05
2022-10-03 11:10:08,45.52744,-73.61154,62.5,13.78447,17.0,1292.0,0.5184782,1.852582,23.0,5.57,0.0,102.0,1.000003,23.0,4.1226325,30.314,0.02739439563737075,0.3694871877777777,0.3789127013605442,41226.325,73407.23903770446,0.0003162489917549802,0.3162489917549802
2022-10-03 11:10:09,45.52742,-73.61158,62.6,14.52381,17.0,1292.0,0.5184782,1.852582,23.0,5.57,0.0,102.0,1.000003,23.0,7.3464055,30.348,0.03999475505269161,0.3694871877777777,0.3789127013605442,73464.05500000001,130794.80182460937,0.0005634829036762892,0.5634829036762892
2022-10-03 11:10:10,45.5274,-73.61162,62.8,14.65352,16.0,1299.0,0.06842686,2.284961,23.0,6.87,41.71626,102.0,1.01623,23.0,8.9242335,30.423,0.05349485552475721,0.45572277722222226,0.47493197959183675,89242.33499999999,158847.04883646363,0.0008440553991078237,0.8440553991078238
2022-10-03 11:10:11,45.5274,-73.61163,63.0,2.453372,16.0,1299.0,0.06842686,2.284961,23.0,6.87,41.71626,102.0,1.01623,23.0,10.1933335,30.448,0.066577519746162,0.45572277722222226,0.47493197959183675,101933.33499999999,181421.4683792755,0.0009640076477419931,0.9640076477419931
2022-10-03 11:10:12,45.527395555569214,-73.61163222221604,63.04444430864273,1.891483699805418,4.0,1305.25,-0.8218222,2.457943,23.0,7.51,45.35675,102.0,1.01623,23.0,11.249794499999998,30.356,0.07833914149308693,0.49022307611111116,0.5191760068027211,112497.94499999998,200285.13788881907,0.0011633857108399963,1.1633857108399963
2022-10-03 11:10:13,45.52739111113838,-73.61163444443173,63.08888861728546,1.8914836997359155,4.0,1305.25,-0.8218222,2.457943,23.0,7.51,45.35675,102.0,1.01623,23.0,12.333320999999998,30.348,0.08488532303801033,0.49022307611111116,0.5191760068027211,123333.20999999998,219581.43694005086,0.0012754711048184562,1.2754711048184562
2022-10-03 11:10:14,45.52738666670751,-73.61163666664709,63.133332925928194,1.891483696655192,4.0,1305.25,-0.8218222,2.457943,23.0,7.51,45.35675,102.0,1.01623,23.0,13.250957999999999,30.448,0.08488532297035332,0.49022307611111116,0.5191760068027211,132509.58,235841.2248350461,0.001369918476688991,1.369918476688991
2022-10-03 11:10:15,45.52738333338156,-73.61163833330974,63.166666185187864,1.4186139584405442,3.0,1293.75,-0.8252985,2.647771,23.0,8.09,48.62571,102.0,1.01623,23.0,13.8421255,30.306,0.08491417715242808,0.5280832161111111,0.5592721564625851,138421.255,246478.19478145574,0.001542275965489966,1.542275965489966
2022-10-03 11:10:16,45.52738000005556,-73.61163999997223,63.199999444447535,1.418613955290318,3.0,1293.75,-0.8252985,2.647771,23.0,8.09,48.62571,102.0,1.01623,23.0,14.2420215,30.281,0.08490793344107997,0.5280832161111111,0.5592721564625851,142420.215,253619.800922692,0.0015869627886646906,1.5869627886646906
2022-10-03 11:10:17,45.52738000004446,-73.61163999997777,63.19999955555803,4.728114981221136e-06,0.0,1307.75,-0.2536027,2.651044,20.0,8.1,49.11858,102.0,1.01623,20.0,14.868672,30.531,0.08488828426680387,0.5287359977777778,0.5599634693877551,148686.72,264561.0174169083,0.0016574709885350432,1.6574709885350432
2022-10-03 11:10:18,45.52738000003335,-73.61163999998332,63.19999966666852,4.728114979057111e-06,0.0,1307.75,-0.2536027,2.651044,20.0,8.1,49.11858,102.0,1.01623,20.0,15.050878499999998,30.456,0.0849084618443264,0.5287359977777778,0.5599634693877551,150508.78499999997,267869.2394796879,0.001678196952421279,1.678196952421279
2022-10-03 11:10:19,45.52738000002223,-73.6116399999889,63.19999977777901,4.7311958209929735e-06,0.0,1289.75,-0.1892247,2.664135,20.0,8.14,48.33804,102.0,1.01623,20.0,15.4986895,30.439,0.08489789816316015,0.5313469249999999,0.5627287210884354,154986.895,275854.64606622653,0.0017367598568946432,1.7367598568946432
2022-10-03 11:10:20,45.52738000001112,-73.61163999999444,63.19999988888951,4.728114981221136e-06,0.0,1289.75,-0.1892247,2.664135,20.0,8.14,48.33804,102.0,1.01623,20.0,15.507754499999999,30.406,0.06789197939554986,0.5313469249999999,0.5627287210884354,155077.54499999998,276046.01110426785,0.0017379646766097461,1.737964676609746
