DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1]
2020-01-07 12:32:14,45.5475,-73.63338,46.86691,5.076,4.0,1059.25,0.3223362,2.85869,15.0,8.59,45.0,100.0,0.999424,-4.0,17.43,32.4,0.026630767327246375,0.5701498388888889,0.5840171537414967,174300.0,302193.3522120101,0.002007766181066724,2.007766181066724
2020-01-07 12:32:15,45.54752,-73.63338,46.99215,5.94,4.0,1059.25,0.3223362,2.85869,15.0,8.59,45.0,100.0,0.999424,-4.0,17.43,32.4,0.0231188362321612,0.5701498388888889,0.5840171537414967,174300.0,302193.3522120101,0.002007766181066724,2.007766181066724
2020-01-07 12:32:16,45.54754,-73.63337,46.89523,9.144,4.0,1059.25,0.3223362,2.85869,15.0,8.59,45.0,100.0,0.999424,-4.0,17.44,32.4,0.019407650273598635,0.5701498388888889,0.5840171537414967,174400.0,302366.7276292287,0.002008918083637617,2.008918083637617
2020-01-07 12:32:17,45.54756,-73.63336,46.90005,9.144,4.0,1059.25,0.3223362,2.85869,15.0,8.59,45.0,100.0,0.999424,-4.0,17.43,32.4,0.015696464315036077,0.5701498388888889,0.5840171537414967,174300.0,302193.3522120101,0.002007766181066724,2.007766181066724
2020-01-07 12:32:18,45.54758,-73.63335,47.26687,9.144,4.0,1059.25,0.3223362,2.85869,15.0,8.59,45.0,100.0,0.999424,-4.0,17.44,32.4,0.003643267267973546,0.5701498388888889,0.5840171537414967,174400.0,302366.7276292287,0.002008918083637617,2.008918083637617
2020-01-07 12:32:19,45.54761,-73.63332,47.39163,12.024,4.0,1059.25,0.3223362,2.85869,15.0,8.59,45.0,100.0,0.999424,-4.0,17.44,32.4,-0.004571308400439532,0.5701498388888889,0.5840171537414967,174400.0,302366.7276292287,0.002008918083637617,2.008918083637617
2020-01-07 12:32:20,45.54764,-73.63329,47.37564,12.528,4.0,1059.25,0.3223362,2.85869,15.0,8.59,45.0,100.0,0.999424,-4.0,17.44,32.4,-0.02142242844268888,0.5701498388888889,0.5840171537414967,174400.0,302366.7276292287,0.002008918083637617,2.008918083637617
2020-01-07 12:32:21,45.54766,-73.63327,46.81369,12.528,4.0,1059.25,0.3223362,2.85869,15.0,8.59,45.0,100.0,0.999424,-4.0,17.44,32.4,-0.043987519267881865,0.5701498388888889,0.5840171537414967,174400.0,302366.7276292287,0.002008918083637617,2.008918083637617
2020-01-07 12:32:22,45.54767,-73.63325,46.56704,8.892,4.0,1059.25,0.3223362,2.85869,15.0,8.59,45.0,100.0,0.999424,-4.0,17.44,32.4,-0.06655261009307485,0.5701498388888889,0.5840171537414967,174400.0,302366.7276292287,0.002008918083637617,2.008918083637617
2020-01-07 12:32:23,45.54768,-73.63324,45.88412,7.308,12.0,785.25,0.2217581,1.820377,15.0,5.47,33.0,100.0,0.999424,-4.0,17.44,32.4,-0.08220979004263443,0.3630640794444444,0.3718945088435374,174400.0,302366.7276292287,0.001279252842549216,1.279252842549216
2020-01-07 12:32:24,45.54769,-73.63322,46.87448,7.812,12.0,785.25,0.2217581,1.820377,15.0,5.47,33.0,100.0,0.999424,-4.0,17.43,32.4,-0.061328606889709,0.3630640794444444,0.3718945088435374,174300.0,302193.3522120101,0.0012785193260110568,1.2785193260110568
2020-01-07 12:32:25,45.5477,-73.63322,46.78311,8.351999,12.0,785.25,0.2217581,1.820377,15.0,5.47,33.0,100.0,0.999424,-4.0,17.43,32.5,-0.03462374100207356,0.3630640794444444,0.3718945088435374,174300.0,302094.4345844448,0.0012781008254133446,1.2781008254133446
2020-01-07 12:32:26,45.54772,-73.6332,46.84341,8.28,6.0,1107.25,-0.106682,2.735557,15.0,8.22,42.0,100.0,0.999424,-4.0,17.43,32.4,-0.0204835552788143,0.5455916461111111,0.5588615836734695,174300.0,302193.3522120101,0.0019212849835120456,1.9212849835120456
2020-01-07 12:32:27,45.54773,-73.63317,46.97647,8.351999,6.0,1107.25,-0.106682,2.735557,15.0,8.22,42.0,100.0,0.999424,-4.0,17.43,32.4,-0.001986329109415627,0.5455916461111111,0.5588615836734695,174300.0,302193.3522120101,0.0019212849835120456,1.9212849835120456
2020-01-07 12:32:28,45.54773,-73.63313,46.94052,12.744,10.0,1368.75,-0.08708381,4.033449,15.0,12.12,48.0,100.0,0.999424,-4.0,17.43,32.4,0.015185766014405824,0.8044489950000001,0.8240148897959183,174300.0,302193.3522120101,0.0028328435523316286,2.8328435523316284
2020-01-07 12:32:29,45.54773,-73.63309,46.97262,14.616,10.0,1368.75,-0.08708381,4.033449,15.0,12.12,48.0,100.0,0.999424,-4.0,17.43,32.4,0.0017468638400708419,0.8044489950000001,0.8240148897959183,174300.0,302193.3522120101,0.0028328435523316286,2.8328435523316284
2020-01-07 12:32:30,45.54772,-73.63303,46.9902,14.616,10.0,1368.75,-0.08708381,4.033449,15.0,12.12,48.0,100.0,0.999424,-4.0,17.44,32.4,-0.014287674275781809,0.8044489950000001,0.8240148897959183,174400.0,302366.7276292287,0.0028344688211510965,2.8344688211510967
2020-01-07 12:32:31,45.54771,-73.63298,46.80752,14.616,14.0,1514.75,0.4369624,4.67241,15.0,14.04,50.0,100.0,0.999424,-4.0,17.43,32.4,-0.008573477546278272,0.9318862166666666,0.9545519020408163,174300.0,302193.3522120101,0.003281610847750501,3.2816108477505006
2020-01-07 12:32:32,45.54769,-73.63292,46.65786,16.308,14.0,1514.75,0.4369624,4.67241,15.0,14.04,50.0,100.0,0.999424,-4.0,17.43,32.4,-0.0034047636714567772,0.9318862166666666,0.9545519020408163,174300.0,302193.3522120101,0.003281610847750501,3.2816108477505006
2020-01-07 12:32:33,45.54767,-73.63287,46.73452,16.308,16.0,1441.5,0.348243,3.793838,15.0,11.4,36.0,100.0,0.999424,-4.0,17.44,32.4,0.006047779468966966,0.7566599122222222,0.7750635102040817,174400.0,302366.7276292287,0.002666084534746081,2.6660845347460813
2020-01-07 12:32:34,45.54765,-73.63281,46.92184,16.308,16.0,1441.5,0.348243,3.793838,15.0,11.4,36.0,100.0,0.999424,-4.0,17.43,32.5,0.026437440410728402,0.7566599122222222,0.7750635102040817,174300.0,302094.4345844448,0.0026636836215195845,2.6636836215195845
2020-01-07 12:32:35,45.54763,-73.63275,47.18588,16.344,16.0,1416.5,0.08127629,3.630769,15.0,10.91,32.0,100.0,0.999424,-4.0,17.43,32.4,0.03976482530703631,0.7241367061111111,0.7417493768707484,174300.0,302193.3522120101,0.002550026663031194,2.5500266630311943
2020-01-07 12:32:36,45.54762,-73.6327,47.41708,15.84,16.0,1416.5,0.08127629,3.630769,15.0,10.91,32.0,100.0,0.999424,-4.0,17.44,32.5,0.043908155522364226,0.7241367061111111,0.7417493768707484,174400.0,302267.7532502993,0.002550654488329156,2.550654488329156
2020-01-07 12:32:37,45.5476,-73.63264,46.85739,15.84,16.0,1416.5,0.08127629,3.630769,15.0,10.91,32.0,100.0,0.999424,-4.0,17.43,32.4,0.044239928146234765,0.7241367061111111,0.7417493768707484,174300.0,302193.3522120101,0.002550026663031194,2.5500266630311943
