DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1]
2019-07-02 16:14:35,45.5104,-73.57126,43.9006,3.456,4.0,1282.5,0.5468245,2.400618,67.0,7.26,54.93966,100.0,1.008909,34.0,16.01,37.5,0.011147681220413642,0.4787899233333333,0.49827750612244903,160100.00000000003,273014.8557878021,0.0015330558071153556,1.5330558071153557
2019-07-02 16:14:36,45.51041,-73.57129,43.358,8.064,7.0,1342.25,0.7278833,1.766999,67.0,5.36,37.65974,100.0,1.010343,34.0,16.05,37.5,0.01612253704673785,0.3524181338888889,0.3683971755102041,160500.0,273696.9666080089,0.001134670694577251,1.134670694577251
2019-07-02 16:14:37,45.51042,-73.57132,43.47287,8.676001,7.0,1342.25,0.7278833,1.766999,67.0,5.36,37.65974,100.0,1.010343,34.0,16.2,37.5,0.04006330804752698,0.3524181338888889,0.3683971755102041,162000.0,276254.88218378474,0.0011452750935919919,1.1452750935919918
2019-07-02 16:14:38,45.51043,-73.57136,43.42752,10.008,7.0,1342.25,0.7278833,1.766999,67.0,5.36,37.65974,100.0,1.010343,34.0,16.22,37.5,0.04744005855004399,0.3524181338888889,0.3683971755102041,162200.0,276595.93759388814,0.0011466890134606239,1.1466890134606238
2019-07-02 16:14:39,45.51045,-73.5714,42.95373,10.008,10.0,1593.0,0.3122807,2.983006,67.0,8.87,53.95916,100.0,0.9884135,34.0,16.05,37.5,0.05481680905256099,0.5949439744444445,0.5964100506802721,160500.0,273696.9666080089,0.0018777106456903385,1.8777106456903385
2019-07-02 16:14:40,45.51047,-73.57143,42.41446,12.168,10.0,1593.0,0.3122807,2.983006,67.0,8.87,53.95916,100.0,0.9884135,34.0,16.0,37.4,0.04990873831113782,0.5949439744444445,0.5964100506802721,160000.0,272932.228961643,0.0018724641278442056,1.8724641278442056
2019-07-02 16:14:41,45.51049,-73.57148,42.77929,13.968,12.0,1804.5,0.3270043,2.14014,67.0,6.36,35.97586,100.0,0.989115,34.0,16.05,37.5,0.05658983224166257,0.4268390333333334,0.42794363265306123,160500.0,273696.9666080089,0.0013463629883416635,1.3463629883416635
2019-07-02 16:14:42,45.51051,-73.57153,42.32013,15.768,13.0,1824.75,0.3831582,2.928836,67.0,8.71,43.49418,100.0,0.9895115,34.0,16.11,37.5,0.029163409667094166,0.5841400688888888,0.5863023921768707,161100.0,274720.1328383193,0.0018507327380476151,1.850732738047615
2019-07-02 16:14:43,45.51054,-73.57158,42.4215,15.768,13.0,1824.75,0.3831582,2.928836,67.0,8.71,43.49418,100.0,0.9895115,34.0,16.14,37.5,0.02086089668452572,0.5841400688888888,0.5863023921768707,161400.0,275231.7159534744,0.0018541791677274054,1.8541791677274053
2019-07-02 16:14:44,45.51057,-73.57166,42.02493,18.144,13.0,1824.75,0.3831582,2.928836,67.0,8.71,43.49418,100.0,0.9895115,34.0,16.01,37.5,0.021207738831958943,0.5841400688888888,0.5863023921768707,160100.00000000003,273014.8557878021,0.0018392446391149791,1.839244639114979
