DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1]
2019-09-30 11:35:36,45.54385,-73.60808,59.58596,3.24,3.0,724.0,0.4688433,1.281708,51.0,3.851368,40.0,102.0,0.999424,14.0,16.88,32.7,-0.07285605425795662,0.25562954,0.26184691238312924,168800.0,298217.91344513476,0.0008883493919633087,0.8883493919633086
2019-09-30 11:35:37,45.54385,-73.60809,59.76681,4.824,3.0,1081.0,0.1480396,1.481498,51.0,4.451712,44.0,102.0,0.999424,15.0,16.88,32.7,-0.07285605425795662,0.2954765455555556,0.3026631165910204,168800.0,298217.91344513476,0.0010268236243318647,1.0268236243318647
2019-09-30 11:35:38,45.54386,-73.60811,59.25314,4.824,3.0,1081.0,0.1480396,1.481498,51.0,4.451712,44.0,102.0,0.999424,15.0,16.88,32.7,-0.07285605425795662,0.2954765455555556,0.3026631165910204,168800.0,298217.91344513476,0.0010268236243318647,1.0268236243318647
2019-09-30 11:35:39,45.54386,-73.60812,58.50418,4.86,3.0,1081.0,0.1480396,1.481498,51.0,4.451712,44.0,102.0,0.999424,15.0,16.88,32.8,-0.07285605425795662,0.2954765455555556,0.3026631165910204,168800.0,298120.39287173876,0.0010264878415900951,1.026487841590095
2019-09-30 11:35:40,45.54387,-73.60815,57.75515,10.008,5.0,894.0,0.2190547,2.010923,51.0,6.042567,40.0,102.0,0.999424,15.0,16.88,32.8,-0.04924578223631732,0.4010674205555556,0.41082220961959187,168800.0,298120.39287173876,0.001393311507459049,1.393311507459049
2019-09-30 11:35:41,45.54388,-73.60819,57.51358,11.988,5.0,894.0,0.2190547,2.010923,51.0,6.042567,40.0,102.0,0.999424,15.0,16.88,32.7,-0.0337666794888898,0.4010674205555556,0.41082220961959187,168800.0,298217.91344513476,0.0013937672848576283,1.3937672848576284
2019-09-30 11:35:42,45.5439,-73.60823,57.68686,14.184,9.0,1479.0,0.4275142,2.120398,51.0,6.371527,51.0,102.0,0.999424,15.0,16.88,32.8,-0.03133351208128533,0.4229016011111111,0.4331875510508844,168800.0,298120.39287173876,0.001469163997550384,1.469163997550384
2019-09-30 11:35:43,45.54391,-73.60828,57.70529,16.236,15.0,1351.0,0.5036776,2.407387,51.0,7.233892,35.0,102.0,0.999424,15.0,16.88,32.8,-0.008742007664862151,0.48013996277777776,0.4918180461365987,168800.0,298120.39287173876,0.0016680104610037345,1.6680104610037345
2019-09-30 11:35:44,45.54393,-73.60835,57.34713,15.336,15.0,1351.0,0.5036776,2.407387,51.0,7.233892,35.0,102.0,0.999424,15.0,16.88,32.8,-0.004774336967723657,0.48013996277777776,0.4918180461365987,168800.0,298120.39287173876,0.0016680104610037345,1.6680104610037345
2019-09-30 11:35:45,45.54395,-73.60839,57.50088,11.232,16.0,1362.0,0.4582218,1.947721,51.0,5.852654,31.0,102.0,0.999424,14.0,16.88,32.7,0.006112810296650678,0.3884621327777778,0.3979103994078912,168800.0,298217.91344513476,0.0013499623048931256,1.3499623048931255
