DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1]
2020-01-03 11:07:29,45.57885,-73.55163,32.43036,5.904,8.0,1233.25,0.387632,2.195167,41.0,6.6,68.0,100.0,0.0,0.0,17.14,34.4,0.003963022386844558,0.4378138627777778,0.4378138627777778,171400.0,295232.05284778686,0.0015071015150401373,1.5071015150401372
2020-01-03 11:07:30,45.57887,-73.55162,32.39929,8.856,8.0,1233.25,0.387632,2.195167,41.0,6.6,68.0,100.0,0.0,0.0,17.15,34.4,0.005672530311013306,0.4378138627777778,0.4378138627777778,171500.0,295404.30025318236,0.0015079808041387607,1.5079808041387608
2020-01-03 11:07:31,45.5789,-73.55161,32.92056,9.9,8.0,1233.25,0.387632,2.195167,41.0,6.6,68.0,100.0,0.0,0.0,17.15,34.5,0.021604563650989006,0.4378138627777778,0.4378138627777778,171500.0,295308.23381407553,0.0015074904038772517,1.5074904038772516
2020-01-03 11:07:32,45.57892,-73.55161,32.97696,9.9,8.0,1233.25,0.387632,2.195167,41.0,6.6,68.0,100.0,0.0,0.0,17.15,34.5,0.046105578478070744,0.4378138627777778,0.4378138627777778,171500.0,295308.23381407553,0.0015074904038772517,1.5074904038772516
2020-01-03 11:07:33,45.57895,-73.55159,33.4104,10.476,9.0,1233.25,0.05545128,2.228427,41.0,6.7,57.0,100.0,0.0,0.0,17.14,34.4,0.051252989875195346,0.444447385,0.444447385,171400.0,295232.05284778686,0.0015299363864801395,1.5299363864801396
2020-01-03 11:07:34,45.57898,-73.55157,33.76562,12.672,11.0,1251.75,-0.01752645,0.7317224,41.0,2.2,20.0,100.0,0.0,0.0,17.15,34.5,0.05804721767077729,0.14593796755555555,0.14593796755555555,171500.0,295308.23381407553,0.0005024968012924174,0.5024968012924174
2020-01-03 11:07:35,45.57901,-73.55155,33.81182,10.116,11.0,1103.25,-0.1981599,0.6718542,41.0,2.02,19.0,100.0,0.0,0.0,17.15,34.4,0.05182916945658931,0.13399758766666667,0.13399758766666667,171500.0,295404.30025318236,0.0004615335188424692,0.4615335188424692
2020-01-03 11:07:36,45.57904,-73.55153,34.0303,11.196,11.0,1103.25,-0.1981599,0.6718542,41.0,2.02,19.0,100.0,0.0,0.0,17.14,34.4,0.03429285959643946,0.13399758766666667,0.13399758766666667,171400.0,295232.05284778686,0.000461264403088042,0.461264403088042
2020-01-03 11:07:37,45.57906,-73.55151,34.01477,8.892,11.0,1103.25,-0.1981599,0.6718542,41.0,2.02,19.0,100.0,0.0,0.0,17.14,34.5,0.029984376533929113,0.13399758766666667,0.13399758766666667,171400.0,295136.04242409655,0.00046111439840411096,0.46111439840411095
2020-01-03 11:07:38,45.57907,-73.55149,34.03164,7.74,8.0,692.5,-0.1583453,0.3625352,41.0,1.09,28.0,100.0,0.0,0.0,17.14,34.4,0.018818386450718337,0.07230563155555557,0.07230563155555557,171400.0,295232.05284778686,0.0002489000986960227,0.2489000986960227
