DateTime,Latitude [deg],Longitude [deg],Altitude [m],GPS Speed [km.h-1],Vehicle Speed [km.h-1],Engine Speed [rpm],Acceleration [m.s-2],Fuel Rate [l.h-1],Intake Air Temperature [c],Mass Air Flow Rate [g.s-1],Intake Manifold Absolute Pressure [kpa],Barometric Pressure [kpa],Phi,Ambient Air Temperature [c],CO2 Conc. [%],Temperature [c],Slope [%],Fuel Rate1 [g.s-1],Fuel Rate2 [g.s-1],CO2 Conc. [ppm],CO2 Conc. [mg.m-3],CO2 Rate [kg.s-1],CO2 Rate [g.s-1]
2023-07-18 11:32:47,45.50691,-73.58195,93.6,10.65475,14.0,1424.75,0.001847035,0.0,60.0,14.42819,88.0,100.0,1.004091,26.0,13.6034,34.919,-0.029382350693547322,0.0,0.9855248792714287,136034.0,233920.09554156187,0.0026104444143335197,2.6104444143335197
2023-07-18 11:32:48,45.50694,-73.58199,93.3,11.89811,18.0,1496.0,0.1564406,4.812744,60.0,14.52921,90.0,100.0,0.990457,26.0,13.6194,34.902,-0.027848254395752205,0.9598750533333333,0.9789495067326532,136194.0,234208.15734529783,0.0026319587762262168,2.6319587762262167
2023-07-18 11:32:49,45.50698,-73.58203,93.1,13.17483,18.0,1496.0,0.1564406,4.812744,60.0,14.52921,90.0,100.0,0.990457,26.0,13.6361,34.894,-0.019096312255189585,0.9598750533333333,0.9789495067326532,136361.0,234501.4344107741,0.0026352545331080235,2.6352545331080237
2023-07-18 11:32:50,45.50702,-73.58207,93.0,14.01239,19.0,1216.75,0.2657539,3.187634,60.0,9.492496,56.0,100.0,1.029101,26.0,13.6425,34.919,-0.015416225322977234,0.6357558922222222,0.6645399405507483,136425.0,234592.44772819724,0.0017223821422307384,1.7223821422307384
2023-07-18 11:32:51,45.50705,-73.58211,93.2,14.92592,19.0,1216.75,0.2657539,3.187634,60.0,9.492496,56.0,100.0,1.029101,26.0,13.6441,34.935,-0.009648507099444805,0.6357558922222222,0.6645399405507483,136441.0,234607.770238543,0.0017224946403884974,1.7224946403884973
2023-07-18 11:32:52,45.50709,-73.58214,93.2,15.62264,17.0,1345.5,-0.04334043,3.430984,60.0,10.6158,77.0,100.0,0.9934765,26.0,13.6537,34.91,-0.012101909792996222,0.6842906977777777,0.7174522332448979,136537.0,234791.90226601137,0.0019278396442691031,1.927839644269103
2023-07-18 11:32:53,45.50713,-73.58218,93.0,16.19707,17.0,1368.5,-0.1526537,4.134239,60.0,12.34893,81.0,100.0,1.027057,26.0,13.6991,34.919,-0.012401151675621006,0.8245510005555555,0.8627928570755102,136991.0,235565.72480654911,0.0022499687880233113,2.2499687880233115
2023-07-18 11:32:54,45.50716,-73.58221,92.8,16.58064,15.0,1437.25,-0.2045788,4.218072,60.0,13.02521,84.0,100.0,1.016351,26.0,13.7757,34.927,-0.029111757278107636,0.8412710266666668,0.9005568169190477,137757.0,236876.76178520874,0.002386394590743537,2.386394590743537
2023-07-18 11:32:55,45.5072,-73.58224,92.7,16.74927,15.0,1437.25,-0.2045788,4.218072,60.0,13.02521,84.0,100.0,1.016351,26.0,13.8004,34.902,-0.0487389287048559,0.8412710266666668,0.9005568169190477,138004.0,237320.75235532023,0.0023908675356068072,2.3908675356068074
2023-07-18 11:32:56,45.50724,-73.58227,92.5,16.71035,16.0,1393.5,-0.09198979,4.476639,60.0,13.67957,84.0,100.0,1.041819,26.0,13.8156,34.919,-0.0522412267340583,0.8928407783333332,0.969499043389796,138156.0,237569.02479997667,0.002513606701665262,2.513606701665262
2023-07-18 11:32:57,45.50727,-73.5823,92.1,16.24154,16.0,1232.25,0.1125891,3.276518,60.0,10.26316,65.0,100.0,1.042032,26.0,13.8132,34.894,-0.05329012840728414,0.6534833122222221,0.7275198055183674,138132.0,237547.04158835043,0.0018856704272162538,1.8856704272162539
2023-07-18 11:32:58,45.50729,-73.58232,91.7,15.64858,13.0,1025.0,-0.334579,3.030476,60.0,9.494421,68.0,100.0,1.030442,26.0,13.8259,34.91,-0.055501424981492894,0.6044116022222222,0.6655408274885716,138259.0,237753.08975147005,0.0017459416259194389,1.745941625919439
