Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
08/01/2022 12:48:39.6003 PM,45.51466,-73.59381,114.8,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
08/01/2022 12:48:40.6004 PM,45.51466,-73.59381,115.3,0.9505891,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
08/01/2022 12:48:41.6005 PM,45.51466,-73.5938,115.3,1.345278,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
08/01/2022 12:48:42.6007 PM,45.51466,-73.5938,115.1,0.781966,0,0.0,-0.00711435,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:43.6009 PM,45.51465,-73.5938,114.0,1.00062,0,0.0,-0.00711435,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:44.6010 PM,45.51465,-73.59379,113.2,0.9505891,0,0.0,-0.00711435,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:45.6014 PM,45.51465,-73.59379,112.7,0.781966,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:46.6013 PM,45.51465,-73.59378,112.3,0.770848,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:47.6014 PM,45.51465,-73.59378,112.0,0.672639,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:48.6016 PM,45.51465,-73.59377,111.8,0.579989,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:49.6017 PM,45.51465,-73.59377,111.5,0.513281,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:50.6018 PM,45.51465,-73.59377,111.3,0.435455,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:51.6021 PM,45.51467,-73.59374,105.3,0.327981,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:52.6023 PM,45.51466,-73.59374,106.0,0.264979,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:53.6024 PM,45.51467,-73.59373,102.9,0.174182,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:54.6025 PM,45.51467,-73.59373,102.4,0.150093,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:55.6027 PM,45.51467,-73.59373,102.4,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:56.6028 PM,45.51467,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:57.6030 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:58.6032 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:48:59.6035 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:00.6035 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:01.6041 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:02.6044 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:03.6045 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:04.6047 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:05.6049 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:06.6050 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:07.6052 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:08.6054 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:09.6055 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:10.6057 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:11.6058 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:12.6060 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:13.6061 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:14.6063 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:15.6065 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:16.6067 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:17.6069 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:18.6071 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:19.6074 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:20.6075 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:21.6077 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:22.6078 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:23.6080 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:24.6082 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:25.6085 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:26.6095 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:27.6088 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:28.6089 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:29.6092 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:30.6093 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:31.6095 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:32.6096 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:33.6098 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
08/01/2022 12:49:34.6099 PM,45.51468,-73.59373,101.9,0.0,0,0.0,0.0,0.0,43,0.0,99,99,0.393328,35
