Date,Time,Bag#,CO2 (%),Temperature (deg C)
8/1/2022,12:50:06 PM,Zeroing,NA,30.864
8/1/2022,12:50:08 PM,Zeroing,NA,30.955
8/1/2022,12:50:09 PM,Zeroing,NA,30.905
8/1/2022,12:50:10 PM,Zeroing,NA,30.872
8/1/2022,12:50:11 PM,Zeroing,NA,30.889
8/1/2022,12:50:12 PM,Zeroing,NA,30.963
8/1/2022,12:50:13 PM,Zeroing,NA,30.88
8/1/2022,12:50:14 PM,Zeroing,NA,30.922
8/1/2022,12:50:15 PM,Zeroing,NA,30.997
8/1/2022,12:50:16 PM,Zeroing,NA,30.98
8/1/2022,12:50:17 PM,Zeroing,NA,30.939
8/1/2022,12:50:18 PM,Zeroing,NA,30.939
8/1/2022,12:50:19 PM,Zeroing,NA,30.98
8/1/2022,12:50:20 PM,Zeroing,NA,30.963
8/1/2022,12:50:21 PM,Zeroing,NA,30.963
8/1/2022,12:50:22 PM,Zeroing,NA,30.963
8/1/2022,12:50:23 PM,Zeroing,NA,31.047
8/1/2022,12:50:24 PM,Zeroing,NA,31.055
8/1/2022,12:50:25 PM,Zeroing,NA,31.022
8/1/2022,12:50:26 PM,Zeroing,NA,31.022
8/1/2022,12:50:27 PM,Zeroing,NA,30.963
8/1/2022,12:50:28 PM,Zeroing,NA,31.005
8/1/2022,12:50:29 PM,Zeroing,NA,30.997
8/1/2022,12:50:30 PM,Zeroing,NA,31.03
8/1/2022,12:50:31 PM,Zeroing,NA,31.03
8/1/2022,12:50:32 PM,Zeroing,NA,31.038
8/1/2022,12:50:33 PM,Zeroing,NA,31.022
8/1/2022,12:50:34 PM,Zeroing,NA,31.022
8/1/2022,12:50:35 PM,Zeroing,NA,31.147
8/1/2022,12:50:36 PM,Zeroing,NA,31.13
8/1/2022,12:50:37 PM,Zeroing,NA,31.088
8/1/2022,12:50:38 PM,Zeroing,NA,31.188
8/1/2022,12:50:39 PM,Zeroing,NA,31.138
8/1/2022,12:50:40 PM,Zeroing,NA,31.155
8/1/2022,12:50:41 PM,Zeroing,NA,31.147
8/1/2022,12:50:42 PM,Zeroing,NA,31.163
8/1/2022,12:50:43 PM,Zeroing,NA,31.08
8/1/2022,12:50:44 PM,Zeroing,NA,31.147
8/1/2022,12:50:45 PM,Zeroing,NA,31.213
8/1/2022,12:50:46 PM,Zeroing,NA,31.113
8/1/2022,12:50:47 PM,Zeroing,NA,31.163
8/1/2022,12:50:48 PM,Zeroing,NA,31.122
8/1/2022,12:50:49 PM,Zeroing,NA,31.072
8/1/2022,12:50:50 PM,Zeroing,NA,31.196
8/1/2022,12:50:51 PM,Zeroing,NA,31.163
8/1/2022,12:50:52 PM,Zeroing,NA,31.246
8/1/2022,12:50:53 PM,Zeroing,NA,31.196
8/1/2022,12:50:54 PM,Zeroing,NA,31.23
8/1/2022,12:50:55 PM,Zeroing,NA,31.221
8/1/2022,12:50:56 PM,Zeroing,NA,31.263
8/1/2022,12:50:57 PM,Zeroing,NA,31.213
8/1/2022,12:50:58 PM,Zeroing,NA,31.213
8/1/2022,12:50:59 PM,Zeroing,NA,31.288
8/1/2022,12:51:00 PM,Zeroing,NA,31.28
8/1/2022,12:51:01 PM,Zeroing,NA,31.238
8/1/2022,12:51:02 PM,Zeroing,NA,31.238
8/1/2022,12:51:03 PM,Zeroing,NA,31.338
8/1/2022,12:51:04 PM,Zeroing,NA,31.28
8/1/2022,12:51:05 PM,Zeroing,NA,31.346
8/1/2022,12:51:06 PM,Zeroing,NA,31.388
8/1/2022,12:54:23 PM,Zeroing,NA,31.571
8/1/2022,12:54:25 PM,Zeroing,NA,31.579
8/1/2022,12:54:26 PM,Zeroing,NA,31.571
8/1/2022,12:54:27 PM,Zeroing,NA,31.571
8/1/2022,12:54:28 PM,Zeroing,NA,31.571
8/1/2022,12:54:29 PM,Zeroing,NA,31.571
8/1/2022,12:54:30 PM,Zeroing,NA,31.579
8/1/2022,12:54:31 PM,Zeroing,NA,31.587
8/1/2022,12:54:32 PM,Zeroing,NA,31.579
8/1/2022,12:54:33 PM,Zeroing,NA,31.579
8/1/2022,12:54:34 PM,Zeroing,NA,31.596
8/1/2022,12:54:35 PM,Zeroing,NA,31.579
8/1/2022,12:54:36 PM,Zeroing,NA,31.579
8/1/2022,12:54:37 PM,Zeroing,NA,31.579
8/1/2022,12:54:38 PM,Zeroing,NA,31.571
8/1/2022,12:54:39 PM,Zeroing,NA,31.604
8/1/2022,12:54:40 PM,Zeroing,NA,31.587
8/1/2022,12:54:41 PM,Zeroing,NA,31.587
8/1/2022,12:54:42 PM,Zeroing,NA,31.604
8/1/2022,12:54:43 PM,Zeroing,NA,31.587
8/1/2022,12:54:44 PM,Zeroing,NA,31.571
8/1/2022,12:54:45 PM,Zeroing,NA,31.579
8/1/2022,12:54:46 PM,Zeroing,NA,31.579
8/1/2022,12:54:47 PM,Zeroing,NA,31.587
8/1/2022,12:54:48 PM,Zeroing,NA,31.596
8/1/2022,12:54:49 PM,Zeroing,NA,31.587
8/1/2022,12:54:50 PM,Zeroing,NA,31.587
8/1/2022,12:54:51 PM,Zeroing,NA,31.587
8/1/2022,12:54:52 PM,Zeroing,NA,31.587
8/1/2022,12:54:53 PM,Zeroing,NA,31.579
8/1/2022,12:54:54 PM,Zeroing,NA,31.571
8/1/2022,12:54:55 PM,Zeroing,NA,31.621
8/1/2022,12:54:56 PM,Zeroing,NA,31.612
8/1/2022,12:54:57 PM,Zeroing,NA,31.579
8/1/2022,12:54:58 PM,Zeroing,NA,31.579
8/1/2022,12:54:59 PM,Zeroing,NA,31.604
8/1/2022,12:55:00 PM,Zeroing,NA,31.621
8/1/2022,12:55:01 PM,Zeroing,NA,31.637
8/1/2022,12:55:02 PM,Zeroing,NA,31.604
8/1/2022,12:55:03 PM,Zeroing,NA,31.612
8/1/2022,12:55:04 PM,Zeroing,NA,31.604
8/1/2022,12:55:05 PM,Zeroing,NA,31.629
8/1/2022,12:55:06 PM,Zeroing,NA,31.637
8/1/2022,12:55:07 PM,Zeroing,NA,31.596
8/1/2022,12:55:08 PM,Zeroing,NA,31.637
8/1/2022,12:55:09 PM,Zeroing,NA,31.612
8/1/2022,12:55:10 PM,Zeroing,NA,31.604
8/1/2022,12:55:11 PM,Zeroing,NA,31.637
8/1/2022,12:55:12 PM,Zeroing,NA,31.587
8/1/2022,12:55:13 PM,Zeroing,NA,31.612
8/1/2022,12:55:14 PM,Zeroing,NA,31.612
8/1/2022,12:55:15 PM,Zeroing,NA,31.637
8/1/2022,12:55:16 PM,Zeroing,NA,31.662
8/1/2022,12:55:17 PM,Zeroing,NA,31.587
8/1/2022,12:55:18 PM,Zeroing,NA,31.662
8/1/2022,12:55:19 PM,Zeroing,NA,31.679
8/1/2022,12:55:20 PM,Zeroing,NA,31.629
8/1/2022,12:55:21 PM,Zeroing,NA,31.621
8/1/2022,12:55:22 PM,Zeroing,NA,31.671
8/1/2022,12:55:23 PM,Zeroing,NA,31.629
8/1/2022,12:55:28 PM,0,0.0071,31.695
8/1/2022,12:55:30 PM,0,-0.0029,31.687
8/1/2022,12:55:31 PM,0,0.0071,31.637
8/1/2022,12:55:32 PM,0,-0.006,31.671
8/1/2022,12:55:33 PM,0,0.011,31.687
8/1/2022,12:55:34 PM,0,-0.0029,31.704
8/1/2022,12:55:35 PM,0,0.0071,31.704
8/1/2022,12:55:36 PM,0,-0.0076,31.671
8/1/2022,12:55:37 PM,0,0.0033,31.654
8/1/2022,12:55:38 PM,0,-0.0045,31.671
8/1/2022,12:55:39 PM,0,0.0102,31.695
8/1/2022,12:55:40 PM,0,-0.0115,31.787
8/1/2022,12:55:41 PM,0,0.0094,31.687
8/1/2022,12:55:42 PM,0,-0.0022,31.695
8/1/2022,12:55:43 PM,0,0.0118,31.704
8/1/2022,12:55:44 PM,0,-0.0053,31.737
8/1/2022,12:55:45 PM,0,0.0094,31.745
8/1/2022,12:55:46 PM,0,-0.0091,31.72
8/1/2022,12:55:47 PM,0,0.0118,31.729
8/1/2022,12:55:48 PM,0,0.0002,31.745
8/1/2022,12:55:49 PM,0,0.0079,31.762
8/1/2022,12:55:50 PM,0,-0.0029,31.77
8/1/2022,12:55:51 PM,0,0.0048,31.745
8/1/2022,12:55:52 PM,0,-0.0029,31.704
8/1/2022,12:55:53 PM,0,0.0033,31.695
