Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
03/20/2023 10:00:16.8807 AM,45.50532,-73.57634,61.4,0.605931,0,0.0,0.0,0.0,0,6.08,0,0,1.015558,0
03/20/2023 10:00:17.8694 AM,45.50532,-73.57634,61.4,0.50031,0,0.0,0.0,0.0,0,6.08,0,0,1.015558,0
03/20/2023 10:00:18.8697 AM,45.50532,-73.57634,61.4,0.44472,0,1493.25,0.0,1.820931,23,5.56,47,101,1.012203,1
03/20/2023 10:00:19.8698 AM,45.50531,-73.57634,61.4,0.415072,0,1493.25,0.0,1.820931,23,5.56,47,101,1.012203,1
03/20/2023 10:00:20.8700 AM,45.50531,-73.57633,61.4,0.387277,0,1491.0,0.0,1.987976,23,6.05,48,101,1.02239,1
03/20/2023 10:00:21.8701 AM,45.50531,-73.57633,61.4,0.402101,0,1491.0,0.0,1.987976,23,6.05,48,101,1.02239,1
03/20/2023 10:00:22.8703 AM,45.50531,-73.57632,61.4,0.411366,0,1498.0,0.0,1.987976,23,6.05,48,101,0.99674,1
03/20/2023 10:00:23.8704 AM,45.50531,-73.57632,61.4,0.0,0,1498.0,0.0,1.987976,23,6.05,48,101,0.99674,1
03/20/2023 10:00:24.8705 AM,45.50531,-73.57632,61.4,0.0,0,1490.75,0.0,2.409234,23,7.22,53,101,0.975329,1
03/20/2023 10:00:25.8707 AM,45.50531,-73.57632,61.4,0.0,0,1490.75,0.0,2.409234,23,7.22,53,101,0.975329,1
03/20/2023 10:00:26.8709 AM,45.50531,-73.57632,61.4,0.0,0,1490.75,0.0,2.409234,23,7.22,53,101,0.975329,1
03/20/2023 10:00:27.8712 AM,45.50531,-73.57632,61.4,0.0,0,1490.75,0.0,2.329127,23,6.83,52,101,0.9921345,1
03/20/2023 10:00:28.8713 AM,45.50531,-73.57632,61.4,0.0,0,1490.75,0.0,2.329127,23,6.83,52,101,0.9921345,1
03/20/2023 10:00:29.8714 AM,45.50531,-73.57632,61.4,0.0,0,1501.0,0.0,2.101942,23,6.27,49,101,1.023336,1
03/20/2023 10:00:30.8716 AM,45.50531,-73.57632,61.4,0.0,0,1501.0,0.0,2.101942,23,6.27,49,101,1.023336,1
03/20/2023 10:00:31.8718 AM,45.50531,-73.57632,61.4,0.0,0,1501.0,0.0,2.101942,23,6.27,49,101,1.023336,1
03/20/2023 10:00:32.8721 AM,45.50531,-73.57632,61.4,0.0,0,1499.0,0.0,1.9631,23,6.04,50,101,1.016199,1
03/20/2023 10:00:33.8722 AM,45.50531,-73.57632,61.4,0.0,0,1511.0,0.0,2.222361,23,6.79,53,101,0.9924395,1
03/20/2023 10:00:34.8725 AM,45.50531,-73.57632,61.4,0.0,0,1511.0,0.0,2.222361,23,6.79,53,101,0.9924395,1
03/20/2023 10:00:35.8726 AM,45.50531,-73.57632,61.4,0.0,0,1483.5,0.0,1.943782,23,5.8,48,101,1.018121,1
03/20/2023 10:00:36.8726 AM,45.50531,-73.57632,61.4,0.0,0,1509.5,0.0,2.2051,23,6.75,53,101,0.972584,1
03/20/2023 10:00:37.8728 AM,45.50531,-73.57632,61.4,0.0,0,1509.5,0.0,2.2051,23,6.75,53,101,0.972584,1
03/20/2023 10:00:38.8730 AM,45.50531,-73.57632,61.4,0.0,0,1509.5,0.0,2.2051,23,6.75,53,101,0.972584,1
03/20/2023 10:00:39.8732 AM,45.50531,-73.57632,61.4,0.0,0,1509.5,0.0,2.106577,23,6.16,50,101,1.009946,1
03/20/2023 10:00:40.8733 AM,45.50531,-73.57632,61.4,0.0,0,1496.75,0.0,2.028645,23,6.16,50,101,1.009946,1
