Date,Time,Bag#,CO2 (%),Temperature (deg C)
3/20/2023,10:02:33 AM,0,0.7098,33.225
3/20/2023,10:02:35 AM,0,0.6881,33.225
3/20/2023,10:02:36 AM,0,0.6997,33.233
3/20/2023,10:02:37 AM,0,0.6819,33.217
3/20/2023,10:02:38 AM,0,0.6943,33.208
3/20/2023,10:02:39 AM,0,0.6819,33.208
3/20/2023,10:02:40 AM,0,0.7012,33.233
3/20/2023,10:02:41 AM,0,0.6648,33.217
3/20/2023,10:02:42 AM,0,0.6772,33.208
3/20/2023,10:02:43 AM,0,0.6463,33.225
3/20/2023,10:02:44 AM,0,0.6439,33.225
3/20/2023,10:02:45 AM,0,0.6145,33.208
3/20/2023,10:02:46 AM,0,0.6331,33.217
3/20/2023,10:02:47 AM,0,0.6091,33.233
3/20/2023,10:02:48 AM,0,0.6192,33.2
3/20/2023,10:02:49 AM,0,0.5851,33.225
3/20/2023,10:02:50 AM,0,0.5913,33.233
3/20/2023,10:02:51 AM,0,0.5642,33.225
3/20/2023,10:02:52 AM,0,0.575,33.225
3/20/2023,10:02:53 AM,0,0.5456,33.192
3/20/2023,10:02:54 AM,0,0.5526,33.233
3/20/2023,10:02:55 AM,0,0.5402,33.233
3/20/2023,10:02:56 AM,0,0.5386,33.217
3/20/2023,10:02:57 AM,0,0.5138,33.233
3/20/2023,10:02:58 AM,0,0.5378,33.208
3/20/2023,10:02:59 AM,0,0.5138,33.208
3/20/2023,10:03:00 AM,0,0.5123,33.225
3/20/2023,10:03:01 AM,0,0.4836,33.225
3/20/2023,10:03:02 AM,0,0.4852,33.192
3/20/2023,10:03:03 AM,0,0.472,33.217
3/20/2023,10:03:04 AM,0,0.4751,33.225
3/20/2023,10:03:05 AM,0,0.4651,33.225
3/20/2023,10:03:06 AM,0,0.4697,33.217
3/20/2023,10:03:07 AM,0,0.455,33.225
3/20/2023,10:03:08 AM,0,0.4689,33.233
3/20/2023,10:03:09 AM,0,0.4403,33.233
3/20/2023,10:03:10 AM,0,0.4488,33.217
3/20/2023,10:03:11 AM,0,0.4201,33.217
3/20/2023,10:03:12 AM,0,0.4217,33.208
3/20/2023,10:03:13 AM,0,0.3961,33.208
3/20/2023,10:03:14 AM,0,0.4039,33.208
3/20/2023,10:03:15 AM,0,0.3915,33.225
3/20/2023,10:03:16 AM,0,0.3915,33.217
3/20/2023,10:03:17 AM,0,0.3667,33.233
3/20/2023,10:03:18 AM,0,0.3814,33.208
3/20/2023,10:03:19 AM,0,0.3543,33.208
3/20/2023,10:03:20 AM,0,0.369,33.2
3/20/2023,10:03:21 AM,0,0.3303,33.217
3/20/2023,10:03:22 AM,0,0.3536,33.208
3/20/2023,10:03:23 AM,0,0.3319,33.208
3/20/2023,10:03:24 AM,0,0.3342,33.233
3/20/2023,10:03:25 AM,0,0.3234,33.192
3/20/2023,10:03:26 AM,0,0.3257,33.2
3/20/2023,10:03:27 AM,0,0.3055,33.225
