Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
10/21/2022 12:20:44.4671 PM,0.0,0.0,0.0,0.0,0,0,0,0.2779878,0,0,0,0,0.849486,0
10/21/2022 12:20:45.4673 PM,45.472,-73.61085,55.1,0.022236,0,0,0,0.2779878,0,0,0,0,0.849486,0
10/21/2022 12:20:46.4674 PM,45.472,-73.61084,55.1,0.209389,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:20:47.4674 PM,45.472,-73.61083,55.1,0.326128,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:20:48.4677 PM,45.472,-73.61082,55.0,0.164917,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:20:49.4678 PM,45.472,-73.61082,55.0,0.22236,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:20:50.4679 PM,45.47201,-73.61082,54.9,0.366894,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:20:51.4681 PM,45.47201,-73.61083,55.0,0.472515,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:20:52.4682 PM,45.47201,-73.61084,55.1,0.933912,0,0,0,0.2779878,37,0,100,101,0.849486,10
10/21/2022 12:20:53.4683 PM,45.47201,-73.61085,55.0,0.9913549,0,0,0,0.2779878,37,0,100,101,0.849486,10
10/21/2022 12:20:54.4684 PM,45.47201,-73.61086,55.1,0.768995,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:20:55.4685 PM,45.47202,-73.61086,54.8,0.422484,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:20:56.4686 PM,45.47202,-73.61086,54.8,0.422484,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:20:57.4689 PM,45.47202,-73.61086,54.8,0.452132,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:20:58.4690 PM,45.47203,-73.61086,54.8,0.302039,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:20:59.4690 PM,45.47203,-73.61086,54.9,0.289068,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:00.4692 PM,45.47203,-73.61086,54.9,0.253861,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:01.4693 PM,45.47203,-73.61086,55.0,0.205683,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:02.4697 PM,45.47202,-73.61086,55.0,0.146387,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:03.4698 PM,45.47202,-73.61086,55.1,0.063002,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:04.4700 PM,45.47202,-73.61086,55.1,0.311304,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:05.4700 PM,45.47202,-73.61086,55.1,0.144534,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:06.4702 PM,45.47202,-73.61085,55.1,0.235331,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:07.4703 PM,45.47202,-73.61085,55.0,0.196418,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:08.4706 PM,45.47202,-73.61085,55.0,0.177888,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:09.4705 PM,45.47201,-73.61085,55.1,0.151946,0,0,0,0.2779878,37,0,100,101,0.849486,10
10/21/2022 12:21:10.4709 PM,45.47201,-73.61085,55.1,0.137122,0,0,0,0.2779878,37,0,100,101,0.849486,10
10/21/2022 12:21:11.4710 PM,45.47201,-73.61084,55.1,0.131563,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:12.4710 PM,45.47201,-73.61084,55.1,0.127857,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:13.4711 PM,45.47201,-73.61083,55.1,0.159358,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:14.4712 PM,45.472,-73.61082,55.1,0.183447,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:15.4713 PM,45.472,-73.61082,55.1,0.192712,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:16.4716 PM,45.472,-73.61082,55.2,0.0,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:17.4717 PM,45.472,-73.61082,55.2,0.0,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:18.4720 PM,45.472,-73.61082,55.2,0.0,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:19.4720 PM,45.472,-73.61082,55.2,0.0,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:20.4722 PM,45.472,-73.61082,55.2,0.0,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:21.4724 PM,45.472,-73.61082,55.2,0.0,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:22.4727 PM,45.472,-73.61082,55.2,0.0,0,0,0,0.2779878,37,0,101,101,0.849486,10
10/21/2022 12:21:23.4727 PM,45.472,-73.61082,55.2,0.0,0,0,0,0.2779878,37,0,101,101,0.849486,10
