Date,Time,Bag#,CO2 (%),Temperature (deg C)
10/21/2022,11:21:11 AM,Zeroing,NA,31.571
10/21/2022,11:21:13 AM,Zeroing,NA,31.562
10/21/2022,11:21:14 AM,Zeroing,NA,31.571
10/21/2022,11:21:15 AM,Zeroing,NA,31.571
10/21/2022,11:21:16 AM,Zeroing,NA,31.571
10/21/2022,11:21:17 AM,Zeroing,NA,31.571
10/21/2022,11:21:18 AM,Zeroing,NA,31.571
10/21/2022,11:21:19 AM,Zeroing,NA,31.571
10/21/2022,11:21:20 AM,Zeroing,NA,31.571
10/21/2022,11:21:21 AM,Zeroing,NA,31.571
10/21/2022,11:21:22 AM,Zeroing,NA,31.571
10/21/2022,11:21:23 AM,Zeroing,NA,31.571
10/21/2022,11:21:24 AM,Zeroing,NA,31.571
10/21/2022,11:21:25 AM,Zeroing,NA,31.571
10/21/2022,11:21:26 AM,Zeroing,NA,31.571
10/21/2022,11:21:27 AM,Zeroing,NA,31.571
10/21/2022,11:21:28 AM,Zeroing,NA,31.571
10/21/2022,11:21:29 AM,Zeroing,NA,31.571
10/21/2022,11:21:30 AM,Zeroing,NA,31.571
10/21/2022,11:21:31 AM,Zeroing,NA,31.571
10/21/2022,11:21:32 AM,Zeroing,NA,31.571
10/21/2022,11:21:33 AM,Zeroing,NA,31.571
10/21/2022,11:21:34 AM,Zeroing,NA,31.571
10/21/2022,11:21:35 AM,Zeroing,NA,31.571
10/21/2022,11:21:36 AM,Zeroing,NA,31.571
10/21/2022,11:21:37 AM,Zeroing,NA,31.579
10/21/2022,11:21:38 AM,Zeroing,NA,31.571
10/21/2022,11:21:39 AM,Zeroing,NA,31.571
10/21/2022,11:21:40 AM,Zeroing,NA,31.579
10/21/2022,11:21:41 AM,Zeroing,NA,31.571
10/21/2022,11:21:42 AM,Zeroing,NA,31.571
10/21/2022,11:21:43 AM,Zeroing,NA,31.571
10/21/2022,11:21:44 AM,Zeroing,NA,31.571
10/21/2022,11:21:45 AM,Zeroing,NA,31.571
10/21/2022,11:21:46 AM,Zeroing,NA,31.571
10/21/2022,11:21:47 AM,Zeroing,NA,31.571
10/21/2022,11:21:48 AM,Zeroing,NA,31.571
10/21/2022,11:21:49 AM,Zeroing,NA,31.571
10/21/2022,11:21:50 AM,Zeroing,NA,31.571
10/21/2022,11:21:51 AM,Zeroing,NA,31.571
10/21/2022,11:21:52 AM,Zeroing,NA,31.571
10/21/2022,11:21:53 AM,Zeroing,NA,31.571
10/21/2022,11:21:54 AM,Zeroing,NA,31.571
10/21/2022,11:21:55 AM,Zeroing,NA,31.571
10/21/2022,11:21:56 AM,Zeroing,NA,31.571
10/21/2022,11:21:57 AM,Zeroing,NA,31.571
10/21/2022,11:21:58 AM,Zeroing,NA,31.571
10/21/2022,11:21:59 AM,Zeroing,NA,31.571
10/21/2022,11:22:00 AM,Zeroing,NA,31.571
10/21/2022,11:22:01 AM,Zeroing,NA,31.571
10/21/2022,11:22:02 AM,Zeroing,NA,31.579
10/21/2022,11:22:03 AM,Zeroing,NA,31.571
10/21/2022,11:22:04 AM,Zeroing,NA,31.571
10/21/2022,11:22:05 AM,Zeroing,NA,31.571
10/21/2022,11:22:06 AM,Zeroing,NA,31.571
10/21/2022,11:22:07 AM,Zeroing,NA,31.571
10/21/2022,11:22:08 AM,Zeroing,NA,31.571
10/21/2022,11:22:09 AM,Zeroing,NA,31.571
10/21/2022,11:22:10 AM,Zeroing,NA,31.571
10/21/2022,11:22:11 AM,Zeroing,NA,31.571
10/21/2022,11:22:16 AM,0,0.0015,31.571
10/21/2022,11:22:17 AM,0,0.0046,31.571
10/21/2022,11:22:18 AM,0,-0.0023,31.571
10/21/2022,11:22:19 AM,0,0.0007,31.571
10/21/2022,11:22:20 AM,0,0.0007,31.571
10/21/2022,11:22:21 AM,0,-0.0039,31.571
10/21/2022,11:22:22 AM,0,-0.0016,31.571
10/21/2022,11:22:23 AM,0,-0.0016,31.571
10/21/2022,11:22:24 AM,0,0.0023,31.571
10/21/2022,11:22:25 AM,0,0.0038,31.571
10/21/2022,11:22:26 AM,0,0.0054,31.571
10/21/2022,11:22:27 AM,0,0.0038,31.587
10/21/2022,11:22:28 AM,0,0.0085,31.571
10/21/2022,11:22:29 AM,0,0.0069,31.571
10/21/2022,11:22:30 AM,0,-0.0,31.571
10/21/2022,11:22:31 AM,0,0.0015,31.571
10/21/2022,11:22:32 AM,0,-0.0039,31.571
10/21/2022,11:22:33 AM,0,0.0007,31.571
10/21/2022,11:22:34 AM,0,-0.0016,31.571
10/21/2022,11:22:35 AM,0,-0.0039,31.587
10/21/2022,11:22:36 AM,0,-0.0031,31.571
10/21/2022,11:22:37 AM,0,-0.0077,31.571
10/21/2022,11:22:38 AM,0,-0.0031,31.571
10/21/2022,11:22:39 AM,0,0.0007,31.571
10/21/2022,11:22:40 AM,0,-0.0039,31.579
10/21/2022,11:22:41 AM,0,-0.0016,31.571
10/21/2022,11:22:42 AM,0,-0.0085,31.571
10/21/2022,11:22:43 AM,0,0.0015,31.571
10/21/2022,11:22:44 AM,0,-0.0023,31.579
10/21/2022,11:22:45 AM,0,-0.0039,31.571
10/21/2022,11:22:46 AM,0,-0.0023,31.571
10/21/2022,11:22:47 AM,0,0.0015,31.571
10/21/2022,11:22:48 AM,0,-0.0008,31.571
10/21/2022,11:22:49 AM,0,-0.0031,31.571
10/21/2022,11:22:50 AM,0,0.01,31.571
10/21/2022,11:22:51 AM,0,0.0023,31.571
10/21/2022,11:22:52 AM,0,0.0031,31.571
10/21/2022,11:22:53 AM,0,0.0007,31.571
10/21/2022,11:22:54 AM,0,-0.0023,31.579
10/21/2022,11:22:55 AM,0,-0.0008,31.571
10/21/2022,11:22:56 AM,0,0.0007,31.571
10/21/2022,11:22:57 AM,0,0.0038,31.571
10/21/2022,11:22:58 AM,0,-0.0016,31.571
10/21/2022,11:22:59 AM,0,0.0054,31.579
10/21/2022,11:23:00 AM,0,-0.0016,31.571
10/21/2022,11:23:01 AM,0,0.0015,31.571
10/21/2022,11:23:02 AM,0,0.0007,31.571
10/21/2022,11:23:03 AM,0,0.0038,31.579
10/21/2022,11:23:04 AM,0,0.0077,31.571
10/21/2022,11:23:05 AM,0,0.0061,31.571
10/21/2022,11:23:06 AM,0,-0.0008,31.571
10/21/2022,11:23:07 AM,0,-0.0008,31.579
10/21/2022,11:23:08 AM,0,-0.0,31.571
10/21/2022,11:23:09 AM,0,0.0046,31.571
10/21/2022,11:23:10 AM,0,-0.0054,31.579
10/21/2022,11:23:11 AM,0,-0.0016,31.571
10/21/2022,11:23:12 AM,0,0.0015,31.587
10/21/2022,11:23:13 AM,0,0.0046,31.571
10/21/2022,11:23:14 AM,0,0.0015,31.587
10/21/2022,11:23:15 AM,0,0.0038,31.571
10/21/2022,11:23:16 AM,0,0.0007,31.587
10/21/2022,11:23:17 AM,0,0.0023,31.579
10/21/2022,11:23:18 AM,0,-0.0023,31.579
10/21/2022,11:23:19 AM,0,0.0007,31.579
10/21/2022,11:23:20 AM,0,0.0023,31.571
10/21/2022,11:23:21 AM,0,0.0023,31.571
10/21/2022,11:23:22 AM,0,0.0031,31.571
10/21/2022,11:23:23 AM,0,0.0023,31.579
10/21/2022,11:23:24 AM,0,0.0023,31.579
10/21/2022,11:23:25 AM,0,0.0031,31.571
10/21/2022,11:23:26 AM,0,-0.0008,31.579
10/21/2022,11:23:27 AM,0,0.0015,31.571
10/21/2022,11:23:28 AM,0,-0.0047,31.571
10/21/2022,11:23:29 AM,0,-0.0023,31.571
10/21/2022,11:23:30 AM,0,-0.0047,31.587
10/21/2022,11:23:31 AM,0,0.0038,31.571
10/21/2022,11:23:32 AM,0,-0.0047,31.587
10/21/2022,11:23:33 AM,0,0.0085,31.579
10/21/2022,11:23:34 AM,0,-0.0039,31.571
10/21/2022,11:23:35 AM,0,0.0023,31.579
10/21/2022,11:23:36 AM,0,0.0015,31.571
10/21/2022,11:23:37 AM,0,-0.0016,31.579
10/21/2022,11:23:38 AM,0,-0.0016,31.579
10/21/2022,11:23:39 AM,0,0.0007,31.579
10/21/2022,11:23:40 AM,0,0.0031,31.571
10/21/2022,11:23:41 AM,0,0.0023,31.571
10/21/2022,11:23:42 AM,0,-0.0054,31.571
10/21/2022,11:23:43 AM,0,0.0046,31.587
10/21/2022,11:23:44 AM,0,-0.0016,31.587
10/21/2022,11:23:45 AM,0,0.0046,31.571
10/21/2022,11:23:46 AM,0,-0.0047,31.587
10/21/2022,11:23:47 AM,0,-0.0031,31.571
10/21/2022,11:23:48 AM,0,-0.0039,31.579
10/21/2022,11:23:49 AM,0,-0.0047,31.579
10/21/2022,11:23:50 AM,0,-0.0062,31.579
10/21/2022,11:23:51 AM,0,-0.0008,31.571
10/21/2022,11:23:52 AM,0,-0.0023,31.571
10/21/2022,11:23:53 AM,0,-0.0016,31.579
10/21/2022,11:23:54 AM,0,-0.0016,31.587
10/21/2022,11:23:55 AM,0,-0.0047,31.587
10/21/2022,11:23:56 AM,0,-0.0008,31.596
10/21/2022,11:23:57 AM,0,-0.0,31.571
10/21/2022,11:23:58 AM,0,0.0023,31.571
10/21/2022,11:23:59 AM,0,0.0061,31.579
10/21/2022,11:24:00 AM,0,0.0054,31.587
10/21/2022,11:24:01 AM,0,0.0031,31.571
10/21/2022,11:24:02 AM,0,0.0007,31.571
10/21/2022,11:24:03 AM,0,0.0061,31.579
10/21/2022,11:24:04 AM,0,0.0061,31.579
10/21/2022,11:24:05 AM,0,0.0069,31.587
10/21/2022,11:24:06 AM,0,-0.0047,31.579
10/21/2022,11:24:07 AM,0,-0.0016,31.571
10/21/2022,11:24:08 AM,0,0.0054,31.596
10/21/2022,11:24:09 AM,0,0.0015,31.579
10/21/2022,11:24:10 AM,0,-0.0016,31.579
10/21/2022,11:24:11 AM,0,0.01,31.587
10/21/2022,11:24:12 AM,0,-0.0031,31.579
10/21/2022,11:24:13 AM,0,0.0077,31.579
10/21/2022,11:24:14 AM,0,0.0007,31.571
10/21/2022,11:24:15 AM,0,0.0015,31.587
10/21/2022,11:24:16 AM,0,0.0031,31.579
10/21/2022,11:24:17 AM,0,-0.0016,31.571
10/21/2022,11:24:18 AM,0,0.0031,31.596
10/21/2022,11:24:19 AM,0,0.0046,31.579
10/21/2022,11:24:20 AM,0,-0.0008,31.579
10/21/2022,11:24:21 AM,0,0.0046,31.579
10/21/2022,11:24:22 AM,0,-0.0023,31.596
10/21/2022,11:24:23 AM,0,0.0054,31.579
10/21/2022,11:24:24 AM,0,-0.0062,31.596
10/21/2022,11:24:25 AM,0,0.0054,31.571
10/21/2022,11:24:26 AM,0,-0.0016,31.579
10/21/2022,11:24:27 AM,0,-0.0008,31.587
10/21/2022,11:24:28 AM,0,-0.0016,31.571
10/21/2022,11:24:29 AM,0,0.0038,31.571
10/21/2022,11:24:30 AM,0,-0.0,31.587
10/21/2022,11:24:31 AM,0,0.0023,31.579
10/21/2022,11:24:32 AM,0,0.0023,31.596
10/21/2022,11:24:33 AM,0,0.0069,31.579
10/21/2022,11:24:34 AM,0,0.0023,31.571
10/21/2022,11:24:35 AM,0,0.0046,31.579
10/21/2022,11:24:36 AM,0,0.0015,31.604
10/21/2022,11:24:37 AM,0,0.0007,31.587
