Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
08/31/2023 12:59:41.1064 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:42.1019 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:43.1020 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:44.1023 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:45.1022 PM,45.52748,-73.61039,70.3,1.486106,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:46.1024 PM,45.52748,-73.61039,70.3,1.441634,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:47.1025 PM,45.52748,-73.61039,70.3,1.332307,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:48.1027 PM,45.52749,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:49.1027 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:50.1028 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:51.1030 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:52.1031 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:53.1032 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:54.1034 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:55.1035 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:56.1035 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:57.1036 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:58.1038 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 12:59:59.1038 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 01:00:00.1041 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 01:00:01.1042 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 01:00:02.1047 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 01:00:03.1049 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 01:00:04.1049 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 01:00:05.1051 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 01:00:06.1051 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 01:00:07.1053 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 01:00:08.1055 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 01:00:09.1056 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 01:00:10.1056 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
08/31/2023 01:00:11.1058 PM,45.52748,-73.61039,70.3,0.0,0,0.0,0.0,0.289363,48,0.87,100,100,0,0
