Date,Time,Bag#,CO2 (%),Temperature (deg C)
8/31/2023,1:03:07 PM,Zeroing,NA,35.815
8/31/2023,1:03:08 PM,Zeroing,NA,35.806
8/31/2023,1:03:09 PM,Zeroing,NA,35.798
8/31/2023,1:03:10 PM,Zeroing,NA,35.815
8/31/2023,1:03:11 PM,Zeroing,NA,35.815
8/31/2023,1:03:12 PM,Zeroing,NA,35.806
8/31/2023,1:03:13 PM,Zeroing,NA,35.798
8/31/2023,1:03:14 PM,Zeroing,NA,35.864
8/31/2023,1:03:15 PM,Zeroing,NA,35.823
8/31/2023,1:03:16 PM,Zeroing,NA,35.806
8/31/2023,1:03:17 PM,Zeroing,NA,35.848
8/31/2023,1:03:18 PM,Zeroing,NA,35.831
8/31/2023,1:03:19 PM,Zeroing,NA,35.79
8/31/2023,1:03:20 PM,Zeroing,NA,35.831
8/31/2023,1:03:21 PM,Zeroing,NA,35.84
8/31/2023,1:03:22 PM,Zeroing,NA,35.831
8/31/2023,1:03:23 PM,Zeroing,NA,35.881
8/31/2023,1:03:24 PM,Zeroing,NA,35.848
8/31/2023,1:03:25 PM,Zeroing,NA,35.922
8/31/2023,1:03:26 PM,Zeroing,NA,35.84
8/31/2023,1:03:27 PM,Zeroing,NA,35.889
8/31/2023,1:03:28 PM,Zeroing,NA,35.939
8/31/2023,1:03:29 PM,Zeroing,NA,35.881
8/31/2023,1:03:30 PM,Zeroing,NA,35.873
8/31/2023,1:03:31 PM,Zeroing,NA,35.881
8/31/2023,1:03:32 PM,Zeroing,NA,35.848
8/31/2023,1:03:33 PM,Zeroing,NA,35.889
8/31/2023,1:03:34 PM,Zeroing,NA,35.881
8/31/2023,1:03:35 PM,Zeroing,NA,35.856
8/31/2023,1:03:36 PM,Zeroing,NA,35.873
8/31/2023,1:03:37 PM,Zeroing,NA,35.898
8/31/2023,1:03:38 PM,Zeroing,NA,35.922
8/31/2023,1:03:39 PM,Zeroing,NA,35.864
8/31/2023,1:03:40 PM,Zeroing,NA,35.914
8/31/2023,1:03:41 PM,Zeroing,NA,35.939
8/31/2023,1:03:42 PM,Zeroing,NA,35.889
8/31/2023,1:03:43 PM,Zeroing,NA,35.848
8/31/2023,1:03:44 PM,Zeroing,NA,35.898
8/31/2023,1:03:45 PM,Zeroing,NA,35.881
8/31/2023,1:03:46 PM,Zeroing,NA,35.922
8/31/2023,1:03:47 PM,Zeroing,NA,35.947
8/31/2023,1:03:48 PM,Zeroing,NA,35.906
8/31/2023,1:03:49 PM,Zeroing,NA,35.914
8/31/2023,1:03:50 PM,Zeroing,NA,35.898
8/31/2023,1:03:51 PM,Zeroing,NA,35.922
8/31/2023,1:03:52 PM,Zeroing,NA,35.947
8/31/2023,1:03:53 PM,Zeroing,NA,35.964
8/31/2023,1:03:54 PM,Zeroing,NA,35.964
8/31/2023,1:03:55 PM,Zeroing,NA,35.989
8/31/2023,1:03:56 PM,Zeroing,NA,35.947
8/31/2023,1:03:57 PM,Zeroing,NA,35.956
8/31/2023,1:03:58 PM,Zeroing,NA,35.989
8/31/2023,1:03:59 PM,Zeroing,NA,35.939
8/31/2023,1:04:00 PM,Zeroing,NA,35.989
8/31/2023,1:04:01 PM,Zeroing,NA,35.931
8/31/2023,1:04:02 PM,Zeroing,NA,35.956
8/31/2023,1:04:03 PM,Zeroing,NA,35.947
8/31/2023,1:04:04 PM,Zeroing,NA,35.964
8/31/2023,1:04:05 PM,Zeroing,NA,35.931
8/31/2023,1:04:06 PM,Zeroing,NA,35.972
8/31/2023,1:05:46 PM,0,0.0016,36.37
8/31/2023,1:05:48 PM,0,0.007,36.345
8/31/2023,1:05:49 PM,0,-0.003,36.354
8/31/2023,1:05:50 PM,0,0.0039,36.42
8/31/2023,1:05:51 PM,0,0.0016,36.254
8/31/2023,1:05:52 PM,0,0.0109,36.37
8/31/2023,1:05:53 PM,0,0.0039,36.37
8/31/2023,1:05:54 PM,0,0.0039,36.37
8/31/2023,1:05:55 PM,0,0.0016,36.412
8/31/2023,1:05:56 PM,0,0.0032,36.387
8/31/2023,1:05:57 PM,0,0.0024,36.403
