Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
09/05/2023 02:07:36.5827 PM,45.52735,-73.61051,78.8,0.33354,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:37.5727 PM,45.52735,-73.61051,78.8,0.305745,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:38.5731 PM,45.52735,-73.61051,78.8,0.318716,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:39.5730 PM,45.52735,-73.61051,78.8,0.357629,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:40.5732 PM,45.52735,-73.61051,78.8,0.398395,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:41.5734 PM,45.52735,-73.61052,78.8,0.374306,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:42.5736 PM,45.52735,-73.61052,78.8,0.357629,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:43.5738 PM,45.52735,-73.61053,78.8,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:44.5740 PM,45.52735,-73.61053,78.8,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:45.5741 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:46.5743 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:47.5745 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:48.5746 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:49.5748 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:50.5748 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:51.5753 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:52.5752 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:53.5752 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:54.5754 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:55.5755 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:56.6337 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:57.5758 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:58.5760 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:07:59.5761 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:08:00.5763 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:08:01.5765 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:08:02.5767 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:08:03.5768 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:08:04.5768 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
09/05/2023 02:08:05.5769 PM,45.52735,-73.61053,78.9,0.0,0,0,0.0,1.104708,54,3.42,99,100,1.02968,32
