Date,Time,Bag#,CO2 (%),Temperature (deg C)
9/5/2023,2:01:53 PM,Zeroing,NA,41.584
9/5/2023,2:01:54 PM,Zeroing,NA,41.584
9/5/2023,2:01:55 PM,Zeroing,NA,41.584
9/5/2023,2:01:56 PM,Zeroing,NA,41.592
9/5/2023,2:01:57 PM,Zeroing,NA,41.576
9/5/2023,2:01:58 PM,Zeroing,NA,41.617
9/5/2023,2:01:59 PM,Zeroing,NA,41.576
9/5/2023,2:02:00 PM,Zeroing,NA,41.675
9/5/2023,2:02:01 PM,Zeroing,NA,41.551
9/5/2023,2:02:02 PM,Zeroing,NA,41.667
9/5/2023,2:02:03 PM,Zeroing,NA,41.659
9/5/2023,2:02:04 PM,Zeroing,NA,41.576
9/5/2023,2:02:05 PM,Zeroing,NA,41.559
9/5/2023,2:02:06 PM,Zeroing,NA,41.576
9/5/2023,2:02:07 PM,Zeroing,NA,41.667
9/5/2023,2:02:08 PM,Zeroing,NA,41.601
9/5/2023,2:02:09 PM,Zeroing,NA,41.725
9/5/2023,2:02:10 PM,Zeroing,NA,41.659
9/5/2023,2:02:11 PM,Zeroing,NA,41.601
9/5/2023,2:02:12 PM,Zeroing,NA,41.659
9/5/2023,2:02:13 PM,Zeroing,NA,41.65
9/5/2023,2:02:14 PM,Zeroing,NA,41.642
9/5/2023,2:02:15 PM,Zeroing,NA,41.65
9/5/2023,2:02:16 PM,Zeroing,NA,41.592
9/5/2023,2:02:17 PM,Zeroing,NA,41.617
9/5/2023,2:02:18 PM,Zeroing,NA,41.634
9/5/2023,2:02:19 PM,Zeroing,NA,41.617
9/5/2023,2:02:20 PM,Zeroing,NA,41.667
9/5/2023,2:02:21 PM,Zeroing,NA,41.642
9/5/2023,2:02:22 PM,Zeroing,NA,41.634
9/5/2023,2:02:23 PM,Zeroing,NA,41.535
9/5/2023,2:02:24 PM,Zeroing,NA,41.733
9/5/2023,2:02:25 PM,Zeroing,NA,41.692
9/5/2023,2:02:26 PM,Zeroing,NA,41.667
9/5/2023,2:02:27 PM,Zeroing,NA,41.609
9/5/2023,2:02:28 PM,Zeroing,NA,41.708
9/5/2023,2:02:29 PM,Zeroing,NA,41.617
9/5/2023,2:02:30 PM,Zeroing,NA,41.683
9/5/2023,2:02:31 PM,Zeroing,NA,41.601
9/5/2023,2:02:32 PM,Zeroing,NA,41.683
9/5/2023,2:02:33 PM,Zeroing,NA,41.708
9/5/2023,2:02:34 PM,Zeroing,NA,41.65
9/5/2023,2:02:35 PM,Zeroing,NA,41.617
9/5/2023,2:02:36 PM,Zeroing,NA,41.7
9/5/2023,2:02:37 PM,Zeroing,NA,41.725
9/5/2023,2:02:38 PM,Zeroing,NA,41.7
9/5/2023,2:02:39 PM,Zeroing,NA,41.708
9/5/2023,2:02:40 PM,Zeroing,NA,41.683
9/5/2023,2:02:41 PM,Zeroing,NA,41.7
9/5/2023,2:02:42 PM,Zeroing,NA,41.716
9/5/2023,2:02:43 PM,Zeroing,NA,41.675
9/5/2023,2:02:44 PM,Zeroing,NA,41.716
9/5/2023,2:02:45 PM,Zeroing,NA,41.7
9/5/2023,2:02:46 PM,Zeroing,NA,41.617
9/5/2023,2:02:47 PM,Zeroing,NA,41.617
9/5/2023,2:02:48 PM,Zeroing,NA,41.667
9/5/2023,2:02:49 PM,Zeroing,NA,41.626
9/5/2023,2:02:50 PM,Zeroing,NA,41.758
9/5/2023,2:02:51 PM,Zeroing,NA,41.733
9/5/2023,2:02:52 PM,Zeroing,NA,41.749
9/5/2023,2:03:38 PM,0,0.0073,41.774
9/5/2023,2:03:39 PM,0,-0.0035,41.749
9/5/2023,2:03:40 PM,0,0.0019,41.741
9/5/2023,2:03:41 PM,0,-0.0074,41.783
9/5/2023,2:03:42 PM,0,0.0027,41.774
9/5/2023,2:03:43 PM,0,0.0003,41.807
9/5/2023,2:03:44 PM,0,-0.0035,41.783
9/5/2023,2:03:45 PM,0,-0.0051,41.774
9/5/2023,2:03:46 PM,0,0.0027,41.799
9/5/2023,2:03:47 PM,0,-0.0012,41.766
9/5/2023,2:03:48 PM,0,0.0042,41.799
9/5/2023,2:03:49 PM,0,-0.0028,41.799
9/5/2023,2:03:50 PM,0,-0.0012,41.783
9/5/2023,2:03:51 PM,0,0.0034,41.774
9/5/2023,2:03:52 PM,0,0.0042,41.766
9/5/2023,2:03:53 PM,0,0.0011,41.791
9/5/2023,2:03:54 PM,0,0.0019,41.791
9/5/2023,2:03:55 PM,0,-0.0012,41.799
9/5/2023,2:03:56 PM,0,0.0011,41.783
9/5/2023,2:03:57 PM,0,-0.0012,41.774
9/5/2023,2:03:58 PM,0,0.005,41.84
9/5/2023,2:03:59 PM,0,0.0034,41.783
