Date,Time,Bag#,CO2 (%),Temperature (deg C)
11/7/2022,10:30:34 AM,0,-0.0476,31.313
11/7/2022,10:30:35 AM,0,-0.0483,31.255
11/7/2022,10:30:36 AM,0,-0.0476,31.238
11/7/2022,10:30:37 AM,0,-0.0491,31.23
11/7/2022,10:30:38 AM,0,-0.0468,31.296
11/7/2022,10:30:39 AM,0,-0.0398,31.321
11/7/2022,10:30:40 AM,0,-0.0514,31.379
11/7/2022,10:30:41 AM,0,-0.0476,31.288
11/7/2022,10:30:42 AM,0,-0.0491,31.288
11/7/2022,10:30:43 AM,0,-0.039,31.288
11/7/2022,10:30:44 AM,0,-0.0445,31.255
11/7/2022,10:30:45 AM,0,-0.053,31.288
11/7/2022,10:30:46 AM,0,-0.0452,31.33
11/7/2022,10:30:47 AM,0,-0.0491,31.305
11/7/2022,10:30:48 AM,0,-0.0514,31.28
11/7/2022,10:30:49 AM,0,-0.0437,31.305
11/7/2022,10:30:50 AM,0,-0.0522,31.33
11/7/2022,10:30:51 AM,0,-0.0406,31.346
11/7/2022,10:30:52 AM,0,-0.0507,31.263
11/7/2022,10:30:53 AM,0,-0.0476,31.321
11/7/2022,10:30:54 AM,0,-0.0507,31.296
11/7/2022,10:30:55 AM,0,-0.0421,31.321
11/7/2022,10:30:56 AM,0,-0.0499,31.296
11/7/2022,10:30:57 AM,0,-0.0429,31.404
11/7/2022,10:30:58 AM,0,-0.0437,31.321
11/7/2022,10:30:59 AM,0,-0.0414,31.363
11/7/2022,10:31:00 AM,0,-0.0429,31.388
11/7/2022,10:31:01 AM,0,-0.039,31.371
11/7/2022,10:31:02 AM,0,-0.0514,31.288
11/7/2022,10:31:03 AM,0,-0.039,31.321
11/7/2022,10:31:04 AM,0,-0.0545,31.363
11/7/2022,10:31:05 AM,0,-0.0499,31.354
11/7/2022,10:31:06 AM,0,-0.0499,31.421
11/7/2022,10:31:07 AM,0,-0.0476,31.421
11/7/2022,10:31:08 AM,0,-0.0468,31.404
11/7/2022,10:31:09 AM,0,-0.0507,31.296
11/7/2022,10:31:10 AM,0,-0.053,31.379
11/7/2022,10:31:11 AM,0,-0.053,31.446
11/7/2022,10:31:12 AM,0,-0.0491,31.413
11/7/2022,10:31:13 AM,0,-0.0352,31.429
11/7/2022,10:31:14 AM,0,-0.0491,31.388
11/7/2022,10:31:15 AM,0,-0.0561,31.404
11/7/2022,10:31:16 AM,0,-0.0553,31.379
11/7/2022,10:31:17 AM,0,-0.0468,31.429
11/7/2022,10:31:19 AM,0,-0.0576,31.463
11/7/2022,10:31:20 AM,0,-0.0421,31.413
11/7/2022,10:31:21 AM,0,-0.0507,31.363
11/7/2022,10:31:22 AM,0,-0.0491,31.354
11/7/2022,10:31:23 AM,0,-0.053,31.371
11/7/2022,10:31:24 AM,0,-0.0406,31.363
11/7/2022,10:31:25 AM,0,-0.0414,31.338
11/7/2022,10:31:26 AM,0,-0.0468,31.438
11/7/2022,10:31:27 AM,0,-0.0437,31.404
11/7/2022,10:31:28 AM,0,-0.0383,31.413
11/7/2022,10:31:29 AM,0,-0.0398,31.396
11/7/2022,10:31:30 AM,0,-0.0561,31.471
11/7/2022,10:31:31 AM,0,-0.0491,31.396
11/7/2022,10:31:32 AM,0,-0.0538,31.421
11/7/2022,10:31:33 AM,0,-0.0476,31.413
11/7/2022,10:31:34 AM,0,-0.0514,31.404
11/7/2022,10:31:35 AM,0,-0.0483,31.396
11/7/2022,10:31:36 AM,0,-0.0538,31.471
11/7/2022,10:31:37 AM,0,-0.0406,31.413
11/7/2022,10:31:38 AM,0,-0.0476,31.404
11/7/2022,10:31:39 AM,0,-0.0576,31.454
11/7/2022,10:31:40 AM,0,-0.0561,31.429
11/7/2022,10:31:41 AM,0,-0.0576,31.413
11/7/2022,10:31:42 AM,0,-0.0553,31.479
11/7/2022,10:31:43 AM,0,-0.0414,31.438
11/7/2022,10:31:44 AM,0,-0.046,31.454
11/7/2022,10:31:45 AM,0,-0.0499,31.496
11/7/2022,10:31:46 AM,0,-0.0398,31.496
11/7/2022,10:31:47 AM,0,-0.0538,31.471
11/7/2022,10:31:48 AM,0,-0.0514,31.429
11/7/2022,10:31:49 AM,0,-0.0507,31.446
11/7/2022,10:31:50 AM,0,-0.0429,31.463
11/7/2022,10:31:51 AM,0,-0.0437,31.513
11/7/2022,10:31:52 AM,0,-0.0445,31.521
