Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
07/07/2022 11:12:23.6445 AM,45.52727,-73.61004,69.8,1.054357,0,0,0,0.0,0,0.0,0,0,0.0,0
07/07/2022 11:12:24.6334 AM,45.52727,-73.61003,70.1,0.635579,0,0,0,0.0488667,53,0.14,101,100,0.952881,53
07/07/2022 11:12:25.6336 AM,45.52727,-73.61004,70.3,0.678198,0,0,0,0.0488667,53,0.14,101,100,0.952881,53
07/07/2022 11:12:26.6337 AM,45.52726,-73.61004,70.4,0.822732,0,0,0,0.0488667,53,0.14,101,100,0.952881,53
07/07/2022 11:12:27.6339 AM,45.52725,-73.61005,70.4,0.276097,0,0,0,0.0488667,53,0.14,101,100,0.952881,53
07/07/2022 11:12:28.6339 AM,45.52725,-73.61005,70.4,0.289068,0,0,0,0.0488667,53,0.14,101,100,0.952881,53
07/07/2022 11:12:29.6339 AM,45.52725,-73.61004,70.5,0.339099,0,0,0,0.0488667,53,0.14,101,100,0.9510815,53
07/07/2022 11:12:30.6343 AM,45.52724,-73.61003,70.5,0.237184,0,0,0,0.04895916,53,0.14,101,100,0.9510815,53
07/07/2022 11:12:31.6343 AM,45.52724,-73.61003,70.5,0.170476,0,0,0,0.04895916,53,0.14,101,100,0.9510815,53
07/07/2022 11:12:32.6345 AM,45.52724,-73.61003,70.5,0.309451,0,0,0,0.04895916,53,0.14,101,100,0.9510815,53
07/07/2022 11:12:33.6346 AM,45.52725,-73.61002,70.5,0.650403,0,0,0,0.04895916,53,0.14,101,100,0.9510815,53
07/07/2022 11:12:34.6347 AM,45.52725,-73.61002,70.5,0.552194,0,0,0,0.04895916,53,0.14,101,100,0.9510815,53
07/07/2022 11:12:35.6350 AM,45.52724,-73.61002,70.5,0.140828,0,0,0,0.04895916,53,0.14,101,100,0.9510815,53
07/07/2022 11:12:36.6350 AM,45.52724,-73.61002,70.5,0.113033,0,0,0,0.04895916,53,0.14,101,100,0.9510815,53
07/07/2022 11:12:37.6350 AM,45.52724,-73.61002,70.5,0.283509,0,0,0,0.04895916,53,0.14,101,100,0.9510815,53
07/07/2022 11:12:38.6351 AM,45.52724,-73.61002,70.4,0.298333,0,0,0,0.04895916,53,0.14,101,100,0.9510815,53
07/07/2022 11:12:39.6354 AM,45.52723,-73.61002,70.4,0.322422,0,0,0,0.04895916,53,0.14,101,100,0.9510815,53
07/07/2022 11:12:40.6356 AM,45.52723,-73.61002,70.4,0.322422,0,0,0,0.04895916,53,0.14,101,100,0.9510815,53
07/07/2022 11:12:41.6358 AM,45.52723,-73.61002,70.4,0.331687,0,0,0,0.04895916,53,0.14,101,100,0.9510815,53
