Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
03/22/2023 10:41:07.7192 AM,45.50521,-73.57619,62.6,0.522546,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
03/22/2023 10:41:08.7118 AM,45.5052,-73.57619,62.6,0.515134,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
03/22/2023 10:41:09.7119 AM,45.5052,-73.5762,62.6,0.505869,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
03/22/2023 10:41:10.7126 AM,45.5052,-73.5762,62.6,0.53737,0,0.0,0.0,0.04777785,0,0.0,0,0,0.0,0
03/22/2023 10:41:11.7448 AM,45.50521,-73.57619,62.5,0.578136,0,0.0,0.0,0.04777785,20,0.14,102,102,0.974597,20
03/22/2023 10:41:12.7128 AM,45.50521,-73.57619,62.5,0.0,0,0.0,0.0,0.04777785,20,0.14,102,102,0.974597,20
03/22/2023 10:41:13.7129 AM,45.50521,-73.57619,62.5,0.0,0,0.0,0.0,0.04777785,20,0.14,102,102,0.974597,20
03/22/2023 10:41:14.7130 AM,45.50521,-73.57619,62.5,0.0,0,0.0,0.0,0.04777785,20,0.14,102,102,0.974597,20
03/22/2023 10:41:15.7132 AM,45.50521,-73.57619,62.5,0.0,0,0.0,0.0,0.04777785,20,0.14,102,102,0.9727975,20
03/22/2023 10:41:16.7134 AM,45.50521,-73.57619,62.5,0.0,0,0.0,0.0,0.04777785,20,0.14,102,102,0.9727975,20
03/22/2023 10:41:17.7137 AM,45.50521,-73.57619,62.5,0.0,0,0.0,0.0,0.04786623,20,0.14,102,102,0.9727975,20
03/22/2023 10:41:18.7137 AM,45.50521,-73.57619,62.5,0.0,0,0.0,0.0,0.04786623,20,0.14,102,102,0.9727975,20
03/22/2023 10:41:19.7140 AM,45.50521,-73.57619,62.5,0.0,0,0.0,0.0,0.04786623,20,0.14,102,102,0.9727975,20
03/22/2023 10:41:20.7142 AM,45.50521,-73.57619,62.5,0.0,0,0.0,0.0,0.04786623,20,0.14,102,102,0.9727975,20
03/22/2023 10:41:21.7143 AM,45.50521,-73.57619,62.5,0.0,0,0.0,0.0,0.04786623,21,0.14,102,102,0.9727975,21
03/22/2023 10:41:22.7144 AM,45.50521,-73.57619,62.5,0.0,0,0.0,0.0,0.04786623,21,0.14,102,102,0.9727975,21
