Date,Time,Bag#,CO2 (%),Temperature (deg C)
3/22/2023,10:33:49 AM,Zeroing,NA,35.209
3/22/2023,10:33:51 AM,Zeroing,NA,35.242
3/22/2023,10:33:52 AM,Zeroing,NA,35.201
3/22/2023,10:33:53 AM,Zeroing,NA,35.168
3/22/2023,10:33:54 AM,Zeroing,NA,35.193
3/22/2023,10:33:55 AM,Zeroing,NA,35.134
3/22/2023,10:33:56 AM,Zeroing,NA,35.151
3/22/2023,10:33:57 AM,Zeroing,NA,35.201
3/22/2023,10:33:58 AM,Zeroing,NA,35.184
3/22/2023,10:33:59 AM,Zeroing,NA,35.151
3/22/2023,10:34:00 AM,Zeroing,NA,35.126
3/22/2023,10:34:01 AM,Zeroing,NA,35.143
3/22/2023,10:34:02 AM,Zeroing,NA,35.134
3/22/2023,10:34:03 AM,Zeroing,NA,35.176
3/22/2023,10:34:04 AM,Zeroing,NA,35.193
3/22/2023,10:34:05 AM,Zeroing,NA,35.068
3/22/2023,10:34:06 AM,Zeroing,NA,35.143
3/22/2023,10:34:07 AM,Zeroing,NA,35.134
3/22/2023,10:34:08 AM,Zeroing,NA,35.126
3/22/2023,10:34:09 AM,Zeroing,NA,35.093
3/22/2023,10:34:10 AM,Zeroing,NA,35.118
3/22/2023,10:34:11 AM,Zeroing,NA,35.11
3/22/2023,10:34:12 AM,Zeroing,NA,35.018
3/22/2023,10:34:13 AM,Zeroing,NA,35.11
3/22/2023,10:34:14 AM,Zeroing,NA,35.11
3/22/2023,10:34:15 AM,Zeroing,NA,35.085
3/22/2023,10:34:16 AM,Zeroing,NA,35.027
3/22/2023,10:34:17 AM,Zeroing,NA,35.11
3/22/2023,10:34:18 AM,Zeroing,NA,35.035
3/22/2023,10:34:19 AM,Zeroing,NA,35.035
3/22/2023,10:34:20 AM,Zeroing,NA,35.085
3/22/2023,10:34:21 AM,Zeroing,NA,35.068
3/22/2023,10:34:22 AM,Zeroing,NA,35.018
3/22/2023,10:34:23 AM,Zeroing,NA,35.035
3/22/2023,10:34:24 AM,Zeroing,NA,34.977
3/22/2023,10:34:25 AM,Zeroing,NA,35.01
3/22/2023,10:34:26 AM,Zeroing,NA,35.018
3/22/2023,10:34:27 AM,Zeroing,NA,35.043
3/22/2023,10:34:28 AM,Zeroing,NA,34.968
3/22/2023,10:34:29 AM,Zeroing,NA,35.043
3/22/2023,10:34:30 AM,Zeroing,NA,34.952
3/22/2023,10:34:31 AM,Zeroing,NA,34.968
3/22/2023,10:34:32 AM,Zeroing,NA,35.002
3/22/2023,10:34:33 AM,Zeroing,NA,35.018
3/22/2023,10:34:34 AM,Zeroing,NA,35.018
3/22/2023,10:34:35 AM,Zeroing,NA,35.01
3/22/2023,10:34:36 AM,Zeroing,NA,34.935
3/22/2023,10:34:37 AM,Zeroing,NA,34.993
3/22/2023,10:34:38 AM,Zeroing,NA,34.985
3/22/2023,10:34:39 AM,Zeroing,NA,34.985
3/22/2023,10:34:40 AM,Zeroing,NA,35.043
3/22/2023,10:34:41 AM,Zeroing,NA,34.977
3/22/2023,10:34:42 AM,Zeroing,NA,34.985
3/22/2023,10:34:43 AM,Zeroing,NA,35.01
3/22/2023,10:34:44 AM,Zeroing,NA,34.944
3/22/2023,10:34:45 AM,Zeroing,NA,34.968
3/22/2023,10:34:46 AM,Zeroing,NA,34.944
3/22/2023,10:34:47 AM,Zeroing,NA,34.96
3/22/2023,10:34:48 AM,Zeroing,NA,34.993
3/22/2023,10:34:49 AM,Zeroing,NA,34.952
3/22/2023,10:36:08 AM,0,-0.0072,34.894
3/22/2023,10:36:10 AM,0,0.0099,34.894
3/22/2023,10:36:11 AM,0,-0.0153,34.894
3/22/2023,10:36:12 AM,0,0.0129,34.894
3/22/2023,10:36:13 AM,0,-0.011,34.894
3/22/2023,10:36:14 AM,0,0.0099,34.894
3/22/2023,10:36:15 AM,0,0.4606,34.894
3/22/2023,10:36:16 AM,0,3.2397,34.894
3/22/2023,10:36:17 AM,0,6.8735,34.894
3/22/2023,10:36:18 AM,0,9.4076,34.894
3/22/2023,10:36:19 AM,0,10.5607,34.894
3/22/2023,10:36:20 AM,0,11.3257,34.894
3/22/2023,10:36:21 AM,0,11.9254,34.894
3/22/2023,10:36:22 AM,0,12.3112,34.894
3/22/2023,10:36:23 AM,0,12.7504,34.894
3/22/2023,10:36:24 AM,0,13.0081,34.894
3/22/2023,10:36:25 AM,0,13.2294,34.894
3/22/2023,10:36:26 AM,0,13.33,34.894
3/22/2023,10:36:27 AM,0,13.3254,34.894
3/22/2023,10:36:28 AM,0,13.4353,34.894
3/22/2023,10:36:29 AM,0,13.5374,34.894
3/22/2023,10:36:30 AM,0,13.597,34.894
3/22/2023,10:36:31 AM,0,13.611,34.894
3/22/2023,10:36:32 AM,0,13.6435,34.885
3/22/2023,10:36:33 AM,0,13.6311,34.894
3/22/2023,10:36:34 AM,0,13.6458,34.894
3/22/2023,10:36:35 AM,0,13.6334,34.894
3/22/2023,10:36:36 AM,0,13.6528,34.894
3/22/2023,10:36:37 AM,0,13.6365,34.902
3/22/2023,10:36:38 AM,0,13.6558,34.894
3/22/2023,10:36:39 AM,0,13.628,34.894
3/22/2023,10:36:40 AM,0,13.6435,34.894
3/22/2023,10:36:41 AM,0,13.6257,34.894
3/22/2023,10:36:42 AM,0,13.6597,34.894
3/22/2023,10:36:43 AM,0,13.6466,34.885
3/22/2023,10:36:44 AM,0,13.734,34.894
3/22/2023,10:36:45 AM,0,13.7781,34.894
3/22/2023,10:36:46 AM,0,13.8811,34.894
3/22/2023,10:36:47 AM,0,13.9112,34.894
3/22/2023,10:36:48 AM,0,13.9592,34.894
3/22/2023,10:36:49 AM,0,14.0304,34.894
3/22/2023,10:36:50 AM,0,14.0598,34.894
3/22/2023,10:36:51 AM,0,14.0645,34.894
3/22/2023,10:36:52 AM,0,14.0799,34.894
3/22/2023,10:36:53 AM,0,14.0652,34.894
3/22/2023,10:36:54 AM,0,14.1001,34.894
3/22/2023,10:36:55 AM,0,14.0885,34.894
3/22/2023,10:36:56 AM,0,14.1055,34.894
3/22/2023,10:36:57 AM,0,14.1012,34.894
3/22/2023,10:36:58 AM,0,14.162,34.894
3/22/2023,10:36:59 AM,0,14.15,34.894
3/22/2023,10:37:00 AM,0,14.299,34.885
3/22/2023,10:37:01 AM,0,14.2862,34.894
3/22/2023,10:37:02 AM,0,14.3152,34.885
3/22/2023,10:37:03 AM,0,14.3098,34.894
3/22/2023,10:37:04 AM,0,14.3241,34.885
3/22/2023,10:37:05 AM,0,14.2931,34.894
3/22/2023,10:37:06 AM,0,14.2908,34.894
3/22/2023,10:37:07 AM,0,14.1953,34.894
3/22/2023,10:37:08 AM,0,14.2014,34.894
3/22/2023,10:37:09 AM,0,14.1732,34.894
3/22/2023,10:37:10 AM,0,14.1941,34.894
3/22/2023,10:37:11 AM,0,14.2421,34.894
3/22/2023,10:37:12 AM,0,14.3079,34.894
3/22/2023,10:37:13 AM,0,14.297,34.894
3/22/2023,10:37:14 AM,0,14.3195,34.894
3/22/2023,10:37:15 AM,0,14.2475,34.894
3/22/2023,10:37:16 AM,0,14.2107,34.885
3/22/2023,10:37:17 AM,0,14.2011,34.894
3/22/2023,10:37:18 AM,0,14.2247,34.877
3/22/2023,10:37:19 AM,0,14.2169,34.885
3/22/2023,10:37:20 AM,0,14.2394,34.877
3/22/2023,10:37:21 AM,0,14.2103,34.894
3/22/2023,10:37:22 AM,0,14.2328,34.894
3/22/2023,10:37:23 AM,0,14.2185,34.894
3/22/2023,10:37:24 AM,0,14.2479,34.869
3/22/2023,10:37:25 AM,0,14.2363,34.885
3/22/2023,10:37:26 AM,0,14.28,34.877
3/22/2023,10:37:27 AM,0,14.2583,34.894
3/22/2023,10:37:28 AM,0,14.2719,34.885
3/22/2023,10:37:29 AM,0,14.2529,34.894
3/22/2023,10:37:30 AM,0,14.268,34.894
3/22/2023,10:37:31 AM,0,14.2568,34.894
3/22/2023,10:37:32 AM,0,14.297,34.885
3/22/2023,10:37:33 AM,0,14.28,34.869
3/22/2023,10:37:34 AM,0,14.3198,34.885
3/22/2023,10:37:35 AM,0,14.3055,34.877
3/22/2023,10:37:36 AM,0,14.3164,34.894
3/22/2023,10:37:37 AM,0,14.2955,34.894
3/22/2023,10:37:38 AM,0,14.2978,34.885
3/22/2023,10:37:39 AM,0,14.2912,34.894
3/22/2023,10:37:40 AM,0,14.3113,34.877
3/22/2023,10:37:41 AM,0,14.2842,34.885
3/22/2023,10:37:42 AM,0,14.3071,34.869
