Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
06/30/2022 11:59:47.9208 AM,45.52655,-73.61038,64.6,2.323662,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
06/30/2022 11:59:48.9208 AM,45.52654,-73.61038,65.4,2.101302,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
06/30/2022 11:59:49.9210 AM,45.5269,-73.61028,82.2,1.643611,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
06/30/2022 11:59:50.9213 AM,45.52697,-73.61022,81.3,1.560226,0,0.0,0.0,0.0,46,0.43,0.0,101,0.9807885,46
06/30/2022 11:59:51.9214 AM,45.52699,-73.61028,83.6,0.541076,0,0.0,0.0,0.0,46,0.43,0.0,101,0.9807885,46
06/30/2022 11:59:52.9217 AM,45.52697,-73.61028,85.0,0.233478,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 11:59:53.9218 AM,45.52695,-73.61028,85.8,0.033354,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 11:59:54.9220 AM,45.52697,-73.61026,84.3,0.113033,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 11:59:55.9222 AM,45.52696,-73.6102,79.0,0.248302,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 11:59:56.9224 AM,45.52696,-73.61021,77.6,0.264979,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 11:59:57.9226 AM,45.52696,-73.61021,78.7,0.250155,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 11:59:58.9228 AM,45.52697,-73.61021,80.4,0.468809,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 11:59:59.9230 AM,45.52697,-73.6102,80.6,0.594813,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 12:00:00.9232 PM,45.52699,-73.61021,80.2,0.142681,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 12:00:01.9233 PM,45.527,-73.61021,80.5,0.25942,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 12:00:02.9235 PM,45.52702,-73.61021,80.8,0.479927,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 12:00:03.9236 PM,45.52703,-73.6102,80.4,0.596666,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 12:00:04.9238 PM,45.52703,-73.6102,80.3,0.663374,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 12:00:05.9240 PM,45.52704,-73.6102,79.9,0.429896,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 12:00:06.9242 PM,45.52705,-73.6102,79.5,0.46325,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 12:00:07.9244 PM,45.52705,-73.61019,79.2,0.470662,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
06/30/2022 12:00:08.9245 PM,45.52705,-73.61019,78.9,0.474368,0,0.0,0.0,0.1458199,46,0.43,0.0,101,0.9807885,46
