Date,Time,Bag#,CO2 (%),Temperature (deg C)
6/30/2022,12:02:38 PM,Zeroing,NA,30.015
6/30/2022,12:02:40 PM,Zeroing,NA,29.99
6/30/2022,12:02:41 PM,Zeroing,NA,30.023
6/30/2022,12:02:42 PM,Zeroing,NA,30.015
6/30/2022,12:02:43 PM,Zeroing,NA,30.015
6/30/2022,12:02:44 PM,Zeroing,NA,29.981
6/30/2022,12:02:45 PM,Zeroing,NA,30.031
6/30/2022,12:02:46 PM,Zeroing,NA,29.99
6/30/2022,12:02:47 PM,Zeroing,NA,30.006
6/30/2022,12:02:48 PM,Zeroing,NA,29.973
6/30/2022,12:02:49 PM,Zeroing,NA,30.023
6/30/2022,12:02:50 PM,Zeroing,NA,29.99
6/30/2022,12:02:51 PM,Zeroing,NA,30.04
6/30/2022,12:02:52 PM,Zeroing,NA,30.04
6/30/2022,12:02:53 PM,Zeroing,NA,30.073
6/30/2022,12:02:54 PM,Zeroing,NA,30.015
6/30/2022,12:02:55 PM,Zeroing,NA,30.031
6/30/2022,12:02:56 PM,Zeroing,NA,30.006
6/30/2022,12:02:57 PM,Zeroing,NA,30.04
6/30/2022,12:02:58 PM,Zeroing,NA,29.973
6/30/2022,12:02:59 PM,Zeroing,NA,30.09
6/30/2022,12:03:00 PM,Zeroing,NA,30.006
6/30/2022,12:03:01 PM,Zeroing,NA,30.073
6/30/2022,12:03:02 PM,Zeroing,NA,30.023
6/30/2022,12:03:03 PM,Zeroing,NA,29.998
6/30/2022,12:03:04 PM,Zeroing,NA,30.065
6/30/2022,12:03:05 PM,Zeroing,NA,30.048
6/30/2022,12:03:06 PM,Zeroing,NA,30.023
6/30/2022,12:03:07 PM,Zeroing,NA,30.023
6/30/2022,12:03:08 PM,Zeroing,NA,30.056
6/30/2022,12:03:09 PM,Zeroing,NA,30.081
6/30/2022,12:03:10 PM,Zeroing,NA,29.998
6/30/2022,12:03:11 PM,Zeroing,NA,30.031
6/30/2022,12:03:12 PM,Zeroing,NA,30.081
6/30/2022,12:03:13 PM,Zeroing,NA,30.006
6/30/2022,12:03:14 PM,Zeroing,NA,29.99
6/30/2022,12:03:15 PM,Zeroing,NA,30.065
6/30/2022,12:03:16 PM,Zeroing,NA,30.031
6/30/2022,12:03:17 PM,Zeroing,NA,30.023
6/30/2022,12:03:18 PM,Zeroing,NA,30.123
6/30/2022,12:03:19 PM,Zeroing,NA,30.14
6/30/2022,12:03:20 PM,Zeroing,NA,30.098
6/30/2022,12:03:21 PM,Zeroing,NA,30.081
6/30/2022,12:03:22 PM,Zeroing,NA,30.165
6/30/2022,12:03:23 PM,Zeroing,NA,30.09
6/30/2022,12:03:24 PM,Zeroing,NA,30.156
6/30/2022,12:03:25 PM,Zeroing,NA,30.131
6/30/2022,12:03:26 PM,Zeroing,NA,30.006
6/30/2022,12:03:27 PM,Zeroing,NA,30.098
