Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
10/03/2022 11:09:09.1759 AM,45.52764,-73.61111,62.6,0.274244,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
10/03/2022 11:09:10.1760 AM,45.52764,-73.61111,62.5,0.279803,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
10/03/2022 11:09:11.1761 AM,45.52764,-73.61111,62.5,0.274244,0,0.0,-1.110223e-16,0.0,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:12.1763 AM,45.52764,-73.61111,62.5,0.272391,0,0.0,-1.110223e-16,0.0,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:13.1765 AM,45.52763,-73.61111,62.5,0.263126,0,0.0,-1.110223e-16,0.0,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:14.1766 AM,45.52763,-73.61111,62.4,0.231625,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:15.1768 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:16.1768 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:17.1771 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:18.1771 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:19.1773 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:20.1773 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:21.1775 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:22.1776 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:23.1779 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:24.1780 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:25.1781 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:26.1782 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:27.1783 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:28.1785 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:29.1786 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:30.1788 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:31.1789 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:32.1790 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:33.1794 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:34.1793 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:35.1795 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:36.1797 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:37.1798 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:38.1800 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:39.1801 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:40.1801 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:41.1803 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:42.1805 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:43.1805 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:44.1807 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:45.1809 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:46.1810 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:47.1811 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:48.1812 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:49.1813 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:50.1816 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:51.1817 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:52.1819 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:53.1820 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:54.1822 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:55.1823 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:56.1826 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:57.1826 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:58.1829 AM,45.52763,-73.61111,62.4,0.0,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:09:59.1828 AM,45.52761,-73.61115,63.2,1.109947,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:10:00.1830 AM,45.52761,-73.61118,62.9,1.793704,0,0.0,-1.110223e-16,0.003325999,24,0.01,0.0,102,1.000003,24
10/03/2022 11:10:01.1833 AM,45.52761,-73.61121,62.8,2.736881,7,0.0,0.3443553,0.003325999,24,0.01,0.0,102,1.000003,24
