Date,Time,Bag#,CO2 (%),Temperature (deg C)
10/3/2022,11:00:20 AM,Zeroing,NA,29.115
10/3/2022,11:00:21 AM,Zeroing,NA,29.107
10/3/2022,11:00:22 AM,Zeroing,NA,29.132
10/3/2022,11:00:23 AM,Zeroing,NA,29.157
10/3/2022,11:00:24 AM,Zeroing,NA,29.132
10/3/2022,11:00:25 AM,Zeroing,NA,29.157
10/3/2022,11:00:26 AM,Zeroing,NA,29.115
10/3/2022,11:00:27 AM,Zeroing,NA,29.165
10/3/2022,11:00:28 AM,Zeroing,NA,29.107
10/3/2022,11:00:29 AM,Zeroing,NA,29.124
10/3/2022,11:00:30 AM,Zeroing,NA,29.107
10/3/2022,11:00:31 AM,Zeroing,NA,29.149
10/3/2022,11:00:32 AM,Zeroing,NA,29.14
10/3/2022,11:00:33 AM,Zeroing,NA,29.115
10/3/2022,11:00:34 AM,Zeroing,NA,29.157
10/3/2022,11:00:35 AM,Zeroing,NA,29.14
10/3/2022,11:00:36 AM,Zeroing,NA,29.124
10/3/2022,11:00:37 AM,Zeroing,NA,29.14
10/3/2022,11:00:38 AM,Zeroing,NA,29.149
10/3/2022,11:00:39 AM,Zeroing,NA,29.132
10/3/2022,11:00:40 AM,Zeroing,NA,29.132
10/3/2022,11:00:41 AM,Zeroing,NA,29.174
10/3/2022,11:00:42 AM,Zeroing,NA,29.174
10/3/2022,11:00:43 AM,Zeroing,NA,29.19
10/3/2022,11:00:44 AM,Zeroing,NA,29.174
10/3/2022,11:00:45 AM,Zeroing,NA,29.19
10/3/2022,11:00:46 AM,Zeroing,NA,29.157
10/3/2022,11:00:47 AM,Zeroing,NA,29.165
10/3/2022,11:00:48 AM,Zeroing,NA,29.215
10/3/2022,11:00:49 AM,Zeroing,NA,29.124
10/3/2022,11:00:50 AM,Zeroing,NA,29.14
10/3/2022,11:00:51 AM,Zeroing,NA,29.224
10/3/2022,11:00:52 AM,Zeroing,NA,29.174
10/3/2022,11:00:53 AM,Zeroing,NA,29.165
10/3/2022,11:00:54 AM,Zeroing,NA,29.232
10/3/2022,11:00:55 AM,Zeroing,NA,29.199
10/3/2022,11:00:56 AM,Zeroing,NA,29.207
10/3/2022,11:00:57 AM,Zeroing,NA,29.224
10/3/2022,11:00:58 AM,Zeroing,NA,29.19
10/3/2022,11:00:59 AM,Zeroing,NA,29.165
10/3/2022,11:01:00 AM,Zeroing,NA,29.24
10/3/2022,11:01:01 AM,Zeroing,NA,29.257
10/3/2022,11:01:02 AM,Zeroing,NA,29.174
10/3/2022,11:01:03 AM,Zeroing,NA,29.19
10/3/2022,11:01:04 AM,Zeroing,NA,29.174
10/3/2022,11:01:05 AM,Zeroing,NA,29.249
10/3/2022,11:01:06 AM,Zeroing,NA,29.224
10/3/2022,11:01:07 AM,Zeroing,NA,29.19
10/3/2022,11:01:08 AM,Zeroing,NA,29.257
10/3/2022,11:01:09 AM,Zeroing,NA,29.34
10/3/2022,11:01:10 AM,Zeroing,NA,29.215
10/3/2022,11:01:11 AM,Zeroing,NA,29.19
10/3/2022,11:01:12 AM,Zeroing,NA,29.232
10/3/2022,11:01:13 AM,Zeroing,NA,29.232
10/3/2022,11:01:14 AM,Zeroing,NA,29.174
10/3/2022,11:01:15 AM,Zeroing,NA,29.282
10/3/2022,11:01:16 AM,Zeroing,NA,29.224
10/3/2022,11:01:17 AM,Zeroing,NA,29.224
10/3/2022,11:01:18 AM,Zeroing,NA,29.265
10/3/2022,11:01:19 AM,Zeroing,NA,29.29
10/3/2022,11:09:58 AM,0,-0.0023,30.373
10/3/2022,11:10:00 AM,0,0.0024,30.398
10/3/2022,11:10:01 AM,0,0.0016,30.373
10/3/2022,11:10:02 AM,0,0.0008,30.314
10/3/2022,11:10:03 AM,0,0.0008,30.348
10/3/2022,11:10:04 AM,0,0.0,30.339
10/3/2022,11:10:05 AM,0,0.0062,30.423
10/3/2022,11:10:06 AM,0,-0.0007,30.398
