Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
10-07-2019 01:36:21.4494 PM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
10-07-2019 01:36:22.4488 PM,0.0,0.0,0.0,0.0,0,806.5,0.0,0.0,37,3.322328,34.5098,100,0.999424,17
10-07-2019 01:36:23.4493 PM,0.0,0.0,0.0,0.0,0,806.5,0.0,0.0,37,3.322328,34.5098,100,0.999424,17
10-07-2019 01:36:24.4496 PM,0.0,0.0,0.0,0.0,0,806.5,0.0,0.0,37,3.322328,34.5098,100,0.999424,17
10-07-2019 01:36:25.4498 PM,0.0,0.0,0.0,0.0,0,806.5,0.0,0.0,37,3.322328,34.5098,100,0.999424,17
10-07-2019 01:36:26.4494 PM,0.0,0.0,0.0,0.0,0,816.5,0.0,0.9318198,37,3.363522,34.5098,100,0.999424,17
10-07-2019 01:36:27.4496 PM,0.0,0.0,0.0,0.0,0,815.5,0.0,0.9384757,37,3.191433,32.78431,100,0.999424,17
10-07-2019 01:36:28.4496 PM,0.0,0.0,0.0,0.0,0,813.0,0.0,0.9251639,37,3.014194,31.05882,100,0.999424,17
10-07-2019 01:36:29.4503 PM,0.0,0.0,0.0,0.0,0,813.0,0.0,0.9251639,37,3.014194,31.05882,100,0.999424,17
10-07-2019 01:36:30.4503 PM,0.0,0.0,0.0,0.0,0,813.0,0.0,0.9251639,37,3.014194,31.05882,100,0.999424,17
10-07-2019 01:36:31.4505 PM,0.0,0.0,0.0,0.0,0,813.0,0.0,0.9251639,37,3.014194,31.05882,100,0.999424,17
10-07-2019 01:36:32.4504 PM,0.0,0.0,0.0,0.0,0,812.5,0.0,0.9418036,37,3.347044,34.5098,100,0.999424,17
10-07-2019 01:36:33.4505 PM,0.0,0.0,0.0,0.0,0,822.0,0.0,0.9351477,37,3.047561,31.05882,100,0.999424,17
10-07-2019 01:36:34.4505 PM,0.0,0.0,0.0,0.0,0,820.75,0.0,0.9318198,37,3.042927,31.05882,100,0.999424,17
10-07-2019 01:36:35.4505 PM,0.0,0.0,0.0,0.0,0,820.75,0.0,0.9318198,37,3.042927,31.05882,100,0.999424,17
10-07-2019 01:36:36.4505 PM,0.0,0.0,0.0,0.0,0,820.75,0.0,0.9318198,37,3.042927,31.05882,100,0.999424,17
10-07-2019 01:36:37.4506 PM,0.0,0.0,0.0,0.0,0,820.75,0.0,0.9318198,37,3.042927,31.05882,100,0.999424,17
10-07-2019 01:36:38.4506 PM,0.0,0.0,0.0,0.0,0,820.75,0.0,0.9318198,37,3.042927,31.05882,100,0.999424,17
10-07-2019 01:36:39.4507 PM,0.0,0.0,0.0,0.0,0,814.75,0.0,0.9251639,37,3.356313,34.5098,100,0.999424,17
10-07-2019 01:36:40.4507 PM,0.0,0.0,0.0,0.0,0,814.75,0.0,0.9251639,37,3.356313,34.5098,100,0.999424,17
10-07-2019 01:36:41.4507 PM,0.0,0.0,0.0,0.0,0,816.5,0.0,0.9351477,37,3.363522,34.5098,100,0.999424,17
10-07-2019 01:36:42.4508 PM,0.0,0.0,0.0,0.0,0,810.0,0.0,0.9284919,37,3.169909,32.78431,100,0.999424,17
10-07-2019 01:36:43.4509 PM,0.0,0.0,0.0,0.0,0,816.25,0.0,0.9351477,37,3.194368,32.78431,100,0.999424,17
10-07-2019 01:36:44.4509 PM,0.0,0.0,0.0,0.0,0,816.5,0.0,0.9318198,37,3.195346,32.78431,100,0.999424,17
10-07-2019 01:36:45.4511 PM,0.0,0.0,0.0,0.0,0,815.25,0.0,0.9351477,37,3.358373,34.5098,100,0.999424,17
10-07-2019 01:36:46.4512 PM,0.0,0.0,0.0,0.0,0,815.25,0.0,0.9351477,37,3.358373,34.5098,100,0.999424,17
10-07-2019 01:36:47.4512 PM,0.0,0.0,0.0,0.0,0,815.25,0.0,0.9351477,37,3.358373,34.5098,100,0.999424,17
10-07-2019 01:36:48.4513 PM,0.0,0.0,0.0,0.0,0,816.0,0.0,0.9284919,37,3.361463,34.5098,100,0.999424,17
10-07-2019 01:36:49.4514 PM,0.0,0.0,0.0,0.0,0,814.0,0.0,0.9318198,37,3.185563,32.78431,100,0.999424,17
10-07-2019 01:36:50.4515 PM,0.0,0.0,0.0,0.0,0,814.75,0.0,0.9318198,37,3.020682,31.05882,100,0.999424,17
10-07-2019 01:36:51.4516 PM,0.0,0.0,0.0,0.0,0,810.5,0.0,0.9384757,38,2.995268,31.05882,100,0.999424,17
10-07-2019 01:36:52.4516 PM,0.0,0.0,0.0,0.0,0,816.5,0.0,0.9318198,38,3.352712,34.5098,100,0.999424,17
10-07-2019 01:36:53.4519 PM,0.0,0.0,0.0,0.0,0,817.25,0.0,0.9384757,38,3.355792,34.5098,100,0.999424,17
10-07-2019 01:36:54.4519 PM,0.0,0.0,0.0,0.0,0,807.5,0.0,0.9318198,38,3.149969,32.78431,100,0.999424,17
10-07-2019 01:36:55.4520 PM,0.0,0.0,0.0,0.0,0,813.75,0.0,0.9351477,38,3.34142,34.5098,100,0.999424,17
10-07-2019 01:36:56.4522 PM,0.0,0.0,0.0,0.0,0,813.25,0.0,0.9451315,38,3.00543,31.05882,100,0.999424,17
10-07-2019 01:36:57.4526 PM,0.0,0.0,0.0,0.0,0,818.5,0.0,0.9351477,38,3.024832,31.05882,100,0.999424,17
10-07-2019 01:36:58.4526 PM,0.0,0.0,0.0,0.0,0,811.75,0.0,0.9384757,38,3.166548,32.78431,100,0.999424,17
10-07-2019 01:36:59.4527 PM,0.0,0.0,0.0,0.0,0,811.75,0.0,0.9384757,38,3.166548,32.78431,100,0.999424,17
10-07-2019 01:37:00.4528 PM,0.0,0.0,0.0,0.0,0,816.25,0.0,0.9418036,38,3.016517,31.05882,100,0.999424,17
10-07-2019 01:37:01.4529 PM,0.0,0.0,0.0,0.0,0,821.5,0.0,0.9418036,38,3.373243,34.5098,100,0.999424,17
10-07-2019 01:37:02.4531 PM,0.0,0.0,0.0,0.0,0,808.75,0.0,0.9318198,38,3.320889,34.5098,100,0.999424,17
10-07-2019 01:37:03.4532 PM,0.0,0.0,0.0,0.0,0,812.5,0.0,0.9551153,38,3.336287,34.5098,100,0.999424,17
10-07-2019 01:37:04.4533 PM,0.0,0.0,0.0,0.0,0,809.25,0.0,0.9351477,38,3.156795,32.78431,100,0.999424,17
10-07-2019 01:37:05.4533 PM,0.0,0.0,0.0,0.0,0,821.75,0.0,0.9418036,38,3.37427,34.5098,100,0.999424,17
10-07-2019 01:37:06.4537 PM,0.0,0.0,0.0,0.0,0,821.75,0.0,0.9418036,38,3.37427,34.5098,100,0.999424,17
10-07-2019 01:37:07.4538 PM,0.0,0.0,0.0,0.0,0,821.75,0.0,0.9418036,38,3.37427,34.5098,100,0.999424,17
10-07-2019 01:37:08.4540 PM,0.0,0.0,0.0,0.0,0,811.5,0.0,0.9384757,38,3.165572,32.78431,100,0.999424,17
10-07-2019 01:37:09.4539 PM,0.0,0.0,0.0,0.0,0,819.5,0.0,0.9351477,38,3.365031,34.5098,100,0.999424,17
10-07-2019 01:37:10.4540 PM,0.0,0.0,0.0,0.0,0,817.25,0.0,0.9284919,38,3.188002,32.78431,100,0.999424,18
10-07-2019 01:37:11.4541 PM,0.0,0.0,0.0,0.0,0,819.5,0.0,0.9351477,38,3.196779,32.78431,100,0.999424,18
10-07-2019 01:37:12.4547 PM,0.0,0.0,0.0,0.0,0,815.25,0.0,0.9517874,38,3.012822,31.05882,100,0.999424,18
10-07-2019 01:37:13.4542 PM,0.0,0.0,0.0,0.0,0,812.0,0.0,0.9318198,38,3.167523,32.78431,100,0.999424,18
10-07-2019 01:37:14.4544 PM,0.0,0.0,0.0,0.0,0,813.5,0.0,0.9451315,38,3.173374,32.78431,100,0.999424,18
10-07-2019 01:37:15.4546 PM,0.0,0.0,0.0,0.0,0,813.25,0.0,0.9318198,38,3.339367,34.5098,100,0.999424,18
10-07-2019 01:37:16.4547 PM,0.0,0.0,0.0,0.0,0,813.25,0.0,0.9318198,38,3.339367,34.5098,100,0.999424,18
10-07-2019 01:37:17.4550 PM,0.0,0.0,0.0,0.0,0,813.25,0.0,0.9318198,38,3.339367,34.5098,100,0.999424,18
10-07-2019 01:37:18.4550 PM,0.0,0.0,0.0,0.0,0,814.5,0.0,0.9451315,38,3.01005,31.05882,100,0.999424,18
10-07-2019 01:37:19.4550 PM,0.0,0.0,0.0,0.0,0,816.75,0.0,0.9351477,38,3.186052,32.78431,100,0.999424,18
10-07-2019 01:37:20.4555 PM,0.0,0.0,0.0,0.0,0,816.75,0.0,0.9351477,38,3.186052,32.78431,100,0.999424,18
10-07-2019 01:37:21.4556 PM,0.0,0.0,0.0,0.0,0,819.0,0.0,0.9384757,38,3.194829,32.78431,100,0.999424,17
10-07-2019 01:37:22.4559 PM,0.0,0.0,0.0,0.0,0,800.0,0.0,0.9351477,38,3.28496,34.5098,100,0.999424,17
10-07-2019 01:37:23.4559 PM,0.0,0.0,0.0,0.0,0,819.5,0.0,0.9517874,38,3.365031,34.5098,100,0.999424,17
10-07-2019 01:37:24.4561 PM,0.0,0.0,0.0,0.0,0,813.25,0.0,0.9351477,38,3.172399,32.78431,100,0.999424,17
10-07-2019 01:37:25.4562 PM,0.0,0.0,0.0,0.0,0,815.75,0.0,0.9484594,38,3.349633,34.5098,100,0.999424,17
10-07-2019 01:37:26.4563 PM,0.0,0.0,0.0,0.0,0,810.5,0.0,0.9451315,38,3.161671,32.78431,100,0.999424,17
10-07-2019 01:37:27.4564 PM,0.0,0.0,0.0,0.0,0,819.25,0.0,0.9484594,38,3.195804,32.78431,100,0.999424,17
10-07-2019 01:37:28.4565 PM,0.0,0.0,0.0,0.0,0,810.0,0.0,0.9484594,38,2.99342,31.05882,100,0.999424,17
10-07-2019 01:37:29.4566 PM,0.0,0.0,0.0,0.0,0,820.0,0.0,0.9451315,38,3.367084,34.5098,100,0.999424,17
10-07-2019 01:37:30.4568 PM,0.0,0.0,0.0,0.0,0,809.5,0.0,0.9517874,38,3.15777,32.78431,100,0.999424,17
10-07-2019 01:37:31.4570 PM,0.0,0.0,0.0,0.0,0,815.75,0.0,0.9351477,38,3.182151,32.78431,100,0.999424,17
10-07-2019 01:37:32.4570 PM,0.0,0.0,0.0,0.0,0,820.25,0.0,0.9551153,38,3.0313,31.05882,100,0.999424,17
10-07-2019 01:37:33.4572 PM,0.0,0.0,0.0,0.0,0,820.25,0.0,0.9551153,38,3.0313,31.05882,100,0.999424,17
10-07-2019 01:37:34.4573 PM,0.0,0.0,0.0,0.0,0,813.5,0.0,0.9451315,38,3.340394,34.5098,100,0.999424,17
10-07-2019 01:37:35.4575 PM,0.0,0.0,0.0,0.0,0,821.75,0.0,0.9484594,38,3.37427,34.5098,100,0.999424,17
10-07-2019 01:37:36.4574 PM,0.0,0.0,0.0,0.0,0,809.5,0.0,0.9418036,38,3.15777,32.78431,100,0.999424,17
10-07-2019 01:37:37.4576 PM,0.0,0.0,0.0,0.0,0,809.5,0.0,0.9418036,38,3.15777,32.78431,100,0.999424,17
10-07-2019 01:37:38.4576 PM,0.0,0.0,0.0,0.0,0,821.25,0.0,0.9484594,38,3.372217,34.5098,100,0.999424,17
10-07-2019 01:37:39.4578 PM,0.0,0.0,0.0,0.0,0,806.0,0.0,0.9384757,38,3.144117,32.78431,100,0.999424,17
10-07-2019 01:37:40.4581 PM,0.0,0.0,0.0,0.0,0,823.5,0.0,0.9451315,38,3.212383,32.78431,100,0.999424,17
10-07-2019 01:37:41.4583 PM,0.0,0.0,0.0,0.0,0,801.0,0.0,0.9418036,38,3.124613,32.78431,100,0.999424,17
10-07-2019 01:37:42.4584 PM,0.0,0.0,0.0,0.0,0,820.75,0.0,0.9484594,38,3.201655,32.78431,100,0.999424,17
10-07-2019 01:37:43.4584 PM,0.0,0.0,0.0,0.0,0,820.75,0.0,0.9484594,38,3.201655,32.78431,100,0.999424,17
10-07-2019 01:37:44.4586 PM,0.0,0.0,0.0,0.0,0,812.25,0.0,0.9418036,38,3.335261,34.5098,100,0.999424,17
10-07-2019 01:37:45.4588 PM,0.0,0.0,0.0,0.0,0,816.25,0.0,0.9418036,38,3.351686,34.5098,100,0.999424,17
10-07-2019 01:37:46.4592 PM,0.0,0.0,0.0,0.0,0,813.0,0.0,0.9451315,38,3.338341,34.5098,100,0.999424,17
10-07-2019 01:37:47.4593 PM,0.0,0.0,0.0,0.0,0,820.75,0.0,0.9418036,38,3.370164,34.5098,100,0.999424,17
10-07-2019 01:37:48.4599 PM,0.0,0.0,0.0,0.0,0,820.75,0.0,0.9418036,38,3.370164,34.5098,100,0.999424,17
10-07-2019 01:37:49.4602 PM,0.0,0.0,0.0,0.0,0,820.75,0.0,0.9418036,38,3.370164,34.5098,100,0.999424,17
10-07-2019 01:37:50.4602 PM,0.0,0.0,0.0,0.0,0,820.5,0.0,0.9451315,38,3.20068,32.78431,100,0.999424,17
10-07-2019 01:37:51.4607 PM,0.0,0.0,0.0,0.0,0,811.75,0.0,0.9351477,38,2.999887,31.05882,100,0.999424,17
10-07-2019 01:37:52.4616 PM,0.0,0.0,0.0,0.0,0,819.5,0.0,0.9418036,38,3.028528,31.05882,100,0.999424,17
10-07-2019 01:37:53.4631 PM,0.0,0.0,0.0,0.0,0,816.75,0.0,0.9351477,38,3.353739,34.5098,100,0.999424,17
10-07-2019 01:37:54.4615 PM,0.0,0.0,0.0,0.0,0,814.75,0.0,0.9351477,38,3.345526,34.5098,100,0.999424,17
10-07-2019 01:37:55.4617 PM,0.0,0.0,0.0,0.0,0,819.0,0.0,0.9418036,38,3.02668,31.05882,100,0.999424,17
10-07-2019 01:37:56.4622 PM,0.0,0.0,0.0,0.0,0,805.75,0.0,0.9384757,38,3.308571,34.5098,100,0.999424,17
10-07-2019 01:37:57.4623 PM,0.0,0.0,0.0,0.0,0,816.75,0.0,0.9351477,38,3.353739,34.5098,100,0.999424,17
10-07-2019 01:37:58.4625 PM,0.0,0.0,0.0,0.0,0,816.75,0.0,0.9351477,38,3.353739,34.5098,100,0.999424,17
10-07-2019 01:37:59.4624 PM,0.0,0.0,0.0,0.0,0,810.25,0.0,0.9551153,38,3.160696,32.78431,100,0.999424,17
10-07-2019 01:38:00.4625 PM,0.0,0.0,0.0,0.0,0,815.0,0.0,0.9384757,38,3.179225,32.78431,100,0.999424,17
10-07-2019 01:38:01.4626 PM,0.0,0.0,0.0,0.0,0,817.25,0.0,0.9451315,38,3.020213,31.05882,100,0.999424,17
10-07-2019 01:38:02.4627 PM,0.0,0.0,0.0,0.0,0,813.25,0.0,0.9418036,38,3.172399,32.78431,100,0.999424,17
10-07-2019 01:38:03.4628 PM,0.0,0.0,0.0,0.0,0,819.5,0.0,0.9451315,39,3.354251,34.5098,100,0.999424,17
10-07-2019 01:38:04.4630 PM,0.0,0.0,0.0,0.0,0,813.0,0.0,0.9418036,39,3.161264,32.78431,100,0.999424,17
10-07-2019 01:38:05.4632 PM,0.0,0.0,0.0,0.0,0,817.25,0.0,0.9551153,39,3.345041,34.5098,100,0.999424,17
10-07-2019 01:38:06.4634 PM,0.0,0.0,0.0,0.0,0,808.75,0.0,0.9484594,39,3.310251,34.5098,100,0.999424,17
10-07-2019 01:38:07.4634 PM,0.0,0.0,0.0,0.0,0,818.0,0.0,0.9451315,39,3.180706,32.78431,100,0.999424,17
10-07-2019 01:38:08.4638 PM,0.0,0.0,0.0,0.0,0,818.0,0.0,0.9451315,39,3.180706,32.78431,100,0.999424,17
10-07-2019 01:38:09.4638 PM,0.0,0.0,0.0,0.0,0,818.0,0.0,0.9451315,39,3.180706,32.78431,100,0.999424,17
10-07-2019 01:38:10.4638 PM,0.0,0.0,0.0,0.0,0,814.25,0.0,0.9551153,39,3.332762,34.5098,100,0.999424,17
10-07-2019 01:38:11.4652 PM,0.0,0.0,0.0,0.0,0,822.5,0.0,0.9517874,39,3.029877,31.05882,100,0.999424,17
10-07-2019 01:38:12.4640 PM,0.0,0.0,0.0,0.0,0,816.25,0.0,0.9484594,39,3.173901,32.78431,100,0.999424,17
10-07-2019 01:38:13.4645 PM,0.0,0.0,0.0,0.0,0,816.0,0.0,0.9517874,39,3.339925,34.5098,100,0.999424,17
10-07-2019 01:38:14.4646 PM,0.0,0.0,0.0,0.0,0,819.25,0.0,0.9551153,39,3.017905,31.05882,100,0.999424,17
10-07-2019 01:38:15.4648 PM,0.0,0.0,0.0,0.0,0,816.5,0.0,0.9418036,39,3.174873,32.78431,100,0.999424,17
10-07-2019 01:38:16.4650 PM,0.0,0.0,0.0,0.0,0,817.25,0.0,0.9517874,39,3.177789,32.78431,100,0.999424,17
10-07-2019 01:38:17.4653 PM,0.0,0.0,0.0,0.0,0,813.5,0.0,0.9484594,39,3.329692,34.5098,100,0.999424,17
10-07-2019 01:38:18.4653 PM,0.0,0.0,0.0,0.0,0,813.5,0.0,0.9484594,39,3.329692,34.5098,100,0.999424,17
10-07-2019 01:38:19.4655 PM,0.0,0.0,0.0,0.0,0,813.5,0.0,0.9484594,39,3.329692,34.5098,100,0.999424,17
10-07-2019 01:38:20.4655 PM,0.0,0.0,0.0,0.0,0,824.75,0.0,0.9551153,39,3.206952,32.78431,100,0.999424,17
10-07-2019 01:38:21.4656 PM,0.0,0.0,0.0,0.0,0,823.0,0.0,0.9318198,39,3.200148,32.78431,100,0.999424,17
10-07-2019 01:38:22.4657 PM,0.0,0.0,0.0,0.0,0,817.75,0.0,0.9351477,39,3.347088,34.5098,100,0.999424,17
10-07-2019 01:38:23.4658 PM,0.0,0.0,0.0,0.0,0,816.0,0.0,0.9451315,39,3.339925,34.5098,100,0.999424,17
10-07-2019 01:38:24.4660 PM,0.0,0.0,0.0,0.0,0,816.0,0.0,0.9451315,39,3.339925,34.5098,100,0.999424,17
10-07-2019 01:38:25.4661 PM,0.0,0.0,0.0,0.0,0,805.0,0.0,0.9517874,39,4.118627,43.13726,100,0.999424,17
10-07-2019 01:38:26.4664 PM,0.0,0.0,0.0,0.0,0,869.25,0.0,1.304548,39,4.803138,46.58823,100,0.999424,17
10-07-2019 01:38:27.4665 PM,0.0,0.0,0.0,0.0,0,802.25,0.0,1.291236,39,4.432922,46.58823,100,0.999424,17
10-07-2019 01:38:28.4666 PM,0.0,0.0,0.0,0.0,0,812.75,0.0,1.277924,39,4.158278,43.13726,100,0.999424,17
10-07-2019 01:38:29.4667 PM,0.0,0.0,0.0,0.0,0,815.5,0.0,1.297892,39,4.506136,46.58823,100,0.999424,17
10-07-2019 01:38:30.4667 PM,0.0,0.0,0.0,0.0,0,814.25,0.0,1.314531,39,4.332591,44.86274,100,0.999424,17
10-07-2019 01:38:31.4669 PM,0.0,0.0,0.0,0.0,0,814.0,0.0,1.304548,39,4.497848,46.58823,100,0.999424,17
10-07-2019 01:38:32.4669 PM,0.0,0.0,0.0,0.0,1,811.5,0.1479296,1.304548,39,4.484034,46.58823,100,0.999424,17
10-07-2019 01:38:33.4671 PM,0.0,0.0,0.0,0.0,0,815.0,0.05922417,1.307876,39,4.503373,46.58823,100,0.999424,17
10-07-2019 01:38:34.4671 PM,0.0,0.0,0.0,0.0,0,767.25,-0.08870542,1.104872,39,3.140389,34.5098,100,0.999424,17
10-07-2019 01:38:35.4671 PM,0.0,0.0,0.0,0.0,0,799.25,0.0,1.344483,39,4.579913,48.31372,100,0.999424,17
10-07-2019 01:38:36.4673 PM,0.0,0.0,0.0,0.0,0,822.25,0.0,1.38109,39,4.543434,46.58823,100,0.999424,17
10-07-2019 01:38:37.4673 PM,0.0,0.0,0.0,0.0,0,822.25,0.0,1.38109,39,4.543434,46.58823,100,0.999424,17
10-07-2019 01:38:38.4678 PM,0.0,0.0,0.0,0.0,2,815.25,0.2099365,1.38109,39,4.671597,48.31372,100,0.999424,17
10-07-2019 01:38:39.4677 PM,0.0,0.0,0.0,0.0,3,810.0,0.1321726,1.341155,39,4.309977,44.86274,100,0.999424,17
10-07-2019 01:38:40.4678 PM,45.55132,-73.61095,55.01742,3.888,3,810.0,0.1321726,1.341155,39,4.309977,44.86274,100,0.999424,17
10-07-2019 01:38:41.4678 PM,45.55131,-73.61095,53.64254,4.464,3,812.0,0.1321726,1.357795,39,4.320619,44.86274,100,0.999424,17
10-07-2019 01:38:42.4679 PM,45.5513,-73.61095,53.56027,4.428,5,885.25,0.2096903,1.384418,39,6.8844,65.56863,100,0.999424,17
10-07-2019 01:38:43.4680 PM,45.55128,-73.61092,53.2109,4.464,5,885.25,0.2096903,1.384418,39,6.8844,65.56863,100,0.999424,17
10-07-2019 01:38:44.4681 PM,45.55127,-73.61089,53.21218,10.08,6,1286.5,0.3588938,3.028414,39,9.478266,62.11765,100,0.999424,17
10-07-2019 01:38:45.4684 PM,45.55125,-73.61085,52.87832,14.4,6,1286.5,0.3588938,3.028414,39,9.478266,62.11765,100,0.999424,17
10-07-2019 01:38:46.4683 PM,45.55123,-73.61079,52.82199,15.048,15,1239.25,0.5859423,1.92687,39,5.579537,37.96078,100,0.999424,17
10-07-2019 01:38:47.4683 PM,45.55121,-73.61074,52.54239,15.048,15,1239.25,0.5859423,1.92687,39,5.579537,37.96078,100,0.999424,17
10-07-2019 01:38:48.4683 PM,45.55118,-73.61069,52.0325,16.956,15,1239.25,0.5859423,1.92687,39,5.579537,37.96078,100,0.999424,17
10-07-2019 01:38:49.4683 PM,45.55116,-73.61063,52.11087,17.676,15,1239.25,0.5859423,1.92687,39,5.579537,37.96078,100,0.999424,17
10-07-2019 01:38:50.4685 PM,45.55113,-73.61058,51.2883,17.712,15,1176.75,0.4367389,1.321187,39,8.42886,60.39216,100,0.999424,17
10-07-2019 01:38:51.4685 PM,45.55111,-73.61053,51.44699,17.712,15,1176.75,0.4367389,1.321187,39,8.42886,60.39216,100,0.999424,17
10-07-2019 01:38:52.4687 PM,45.55107,-73.61047,51.48825,17.712,18,1425.0,0.1304697,2.695621,39,9.623773,56.94118,100,0.999424,17
10-07-2019 01:38:53.4694 PM,45.55105,-73.61042,51.66195,19.944,20,1470.5,0.287247,2.822083,39,9.630117,55.21569,100,0.999424,17
