Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
08-21-2019 12:15:23.0923 PM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
08-21-2019 12:15:24.0922 PM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
08-21-2019 12:15:25.0922 PM,0.0,0.0,0.0,0.0,0,799.25,0.0,1.454304,40,4.37,0.0,100,0.999424,18
08-21-2019 12:15:26.0922 PM,0.0,0.0,0.0,0.0,0,799.25,0.0,1.454304,40,4.37,0.0,100,0.999424,18
08-21-2019 12:15:27.0922 PM,0.0,0.0,0.0,0.0,0,799.25,0.0,1.454304,40,4.37,0.0,100,0.999424,18
08-21-2019 12:15:28.0923 PM,0.0,0.0,0.0,0.0,0,799.25,0.0,1.454304,40,4.37,0.0,100,0.999424,18
08-21-2019 12:15:29.0922 PM,0.0,0.0,0.0,0.0,0,815.0,0.0,1.500896,40,4.51,31.20718,100,0.999424,18
08-21-2019 12:15:30.0924 PM,0.0,0.0,0.0,0.0,0,815.0,0.0,1.500896,40,4.51,31.20718,100,0.999424,18
08-21-2019 12:15:31.0925 PM,0.0,0.0,0.0,0.0,0,1162.5,0.0,1.777113,40,5.34,36.23633,100,0.999424,18
08-21-2019 12:15:32.0927 PM,0.0,0.0,0.0,0.0,0,1162.5,0.0,1.777113,40,5.34,36.23633,100,0.999424,18
08-21-2019 12:15:33.0924 PM,0.0,0.0,0.0,0.0,0,1162.5,0.0,1.777113,40,5.34,36.23633,100,0.999424,18
08-21-2019 12:15:34.0924 PM,0.0,0.0,0.0,0.0,0,818.0,0.0,1.321187,40,3.97,18.88679,100,0.999424,18
08-21-2019 12:15:35.0926 PM,0.0,0.0,0.0,0.0,0,818.0,0.0,1.321187,40,3.97,18.88679,100,0.999424,18
08-21-2019 12:15:36.0926 PM,0.0,0.0,0.0,0.0,0,818.0,0.0,1.321187,40,3.97,18.88679,100,0.999424,18
08-21-2019 12:15:37.0927 PM,0.0,0.0,0.0,0.0,0,770.5,0.0,1.221349,40,3.67,24.81266,100,0.999424,18
08-21-2019 12:15:38.0927 PM,0.0,0.0,0.0,0.0,0,770.5,0.0,1.221349,40,3.67,24.81266,100,0.999424,18
08-21-2019 12:15:39.0929 PM,0.0,0.0,0.0,0.0,0,770.5,0.0,1.221349,40,3.67,24.81266,100,0.999424,18
08-21-2019 12:15:40.0929 PM,0.0,0.0,0.0,0.0,0,770.5,0.0,1.221349,40,3.67,24.81266,100,0.999424,18
08-21-2019 12:15:41.0928 PM,0.0,0.0,0.0,0.0,0,757.25,0.0,1.221349,40,3.67,26.34232,100,0.999424,18
08-21-2019 12:15:42.0929 PM,0.0,0.0,0.0,0.0,0,757.25,0.0,1.221349,40,3.67,26.34232,100,0.999424,18
08-21-2019 12:15:43.0929 PM,0.0,0.0,0.0,0.0,0,764.5,0.0,1.208038,40,3.63,26.51111,100,0.999424,18
08-21-2019 12:15:44.0929 PM,0.0,0.0,0.0,0.0,0,764.5,0.0,1.208038,40,3.63,26.51111,100,0.999424,18
08-21-2019 12:15:45.0928 PM,0.0,0.0,0.0,0.0,0,764.5,0.0,1.208038,40,3.63,26.51111,100,0.999424,18
08-21-2019 12:15:46.0928 PM,0.0,0.0,0.0,0.0,0,759.0,0.0,1.194726,40,3.59,25.97033,100,0.999424,18
08-21-2019 12:15:47.0929 PM,0.0,0.0,0.0,0.0,0,759.0,0.0,1.194726,40,3.59,25.97033,100,0.999424,18
08-21-2019 12:15:48.0929 PM,0.0,0.0,0.0,0.0,0,748.75,0.0,1.184742,40,3.56,25.93993,100,0.999424,18
08-21-2019 12:15:49.0929 PM,0.0,0.0,0.0,0.0,0,748.75,0.0,1.184742,40,3.56,25.93993,100,0.999424,18
08-21-2019 12:15:50.0982 PM,0.0,0.0,0.0,0.0,0,734.75,0.0,1.454304,40,4.37,32.27789,100,0.999424,18
08-21-2019 12:15:51.0957 PM,0.0,0.0,0.0,0.0,0,734.75,0.0,1.454304,40,4.37,32.27789,100,0.999424,18
08-21-2019 12:15:52.0958 PM,0.0,0.0,0.0,0.0,0,662.5,0.0,1.454304,40,4.37,32.89292,100,0.999424,18
08-21-2019 12:15:53.0960 PM,0.0,0.0,0.0,0.0,0,662.5,0.0,1.454304,40,4.37,32.89292,100,0.999424,18
08-21-2019 12:15:54.1944 PM,0.0,0.0,0.0,0.0,0,672.25,0.0,1.427681,40,4.29,35.81228,100,0.999424,18
08-21-2019 12:15:55.2811 PM,0.0,0.0,0.0,0.0,0,672.25,0.0,1.427681,40,4.29,35.81228,100,0.999424,18
08-21-2019 12:15:56.3249 PM,0.0,0.0,0.0,0.0,0,666.25,0.0,1.440993,40,4.33,35.62195,100,0.999424,18
08-21-2019 12:15:57.4226 PM,0.0,0.0,0.0,0.0,0,685.25,0.0,1.484256,40,4.46,37.02186,100,0.999424,18
08-21-2019 12:15:58.4964 PM,0.0,0.0,0.0,0.0,0,685.25,0.0,1.484256,40,4.46,37.02186,100,0.999424,18
08-21-2019 12:15:59.5779 PM,0.0,0.0,0.0,0.0,0,679.5,0.0,1.484256,40,4.46,35.99535,100,0.999424,18
08-21-2019 12:16:00.6758 PM,0.0,0.0,0.0,0.0,0,679.5,0.0,1.484256,40,4.46,35.99535,100,0.999424,18
08-21-2019 12:16:01.7213 PM,0.0,0.0,0.0,0.0,0,688.0,0.0,1.500896,40,4.51,36.70689,100,0.999424,18
08-21-2019 12:16:03.0438 PM,0.0,0.0,0.0,0.0,0,686.25,0.0,1.514207,40,4.55,36.57493,100,0.999424,18
08-21-2019 12:16:04.1119 PM,0.0,0.0,0.0,0.0,0,686.25,0.0,1.514207,40,4.55,36.57493,100,0.999424,18
08-21-2019 12:16:05.1123 PM,0.0,0.0,0.0,0.0,0,676.0,0.0,1.500896,40,4.51,36.34584,100,0.999424,18
08-21-2019 12:16:06.1123 PM,0.0,0.0,0.0,0.0,0,676.0,0.0,1.500896,40,4.51,36.34584,100,0.999424,18
08-21-2019 12:16:07.1124 PM,0.0,0.0,0.0,0.0,0,681.5,0.0,1.500896,40,4.51,36.89695,100,0.999424,18
08-21-2019 12:16:08.1125 PM,0.0,0.0,0.0,0.0,0,681.5,0.0,1.500896,40,4.51,36.89695,100,0.999424,18
08-21-2019 12:16:09.1125 PM,0.0,0.0,0.0,0.0,0,681.5,0.0,1.500896,40,4.51,36.89695,100,0.999424,18
08-21-2019 12:16:10.1125 PM,0.0,0.0,0.0,0.0,0,681.5,0.0,1.500896,40,4.51,36.89695,100,0.999424,18
08-21-2019 12:16:11.1125 PM,0.0,0.0,0.0,0.0,0,708.25,0.0,1.500896,40,4.51,36.59917,100,0.999424,18
08-21-2019 12:16:12.1128 PM,0.0,0.0,0.0,0.0,0,798.75,0.0,1.717211,40,5.16,40.29245,100,0.999424,18
08-21-2019 12:16:13.1128 PM,0.0,0.0,0.0,0.0,0,798.75,0.0,1.717211,40,5.16,40.29245,100,0.999424,18
08-21-2019 12:16:14.1129 PM,0.0,0.0,0.0,0.0,0,1249.25,0.0,3.723951,40,11.19,77.47825,100,0.999424,18
08-21-2019 12:16:15.1129 PM,0.0,0.0,0.0,0.0,0,1249.25,0.0,3.723951,40,11.19,77.47825,100,0.999424,18
08-21-2019 12:16:16.1129 PM,0.0,0.0,0.0,0.0,0,1249.25,0.0,3.723951,40,11.19,77.47825,100,0.999424,18
08-21-2019 12:16:17.1130 PM,0.0,0.0,0.0,0.0,0,1249.25,0.0,3.723951,40,11.19,77.47825,100,0.999424,18
08-21-2019 12:16:18.1130 PM,0.0,0.0,0.0,0.0,0,680.5,0.0,1.600733,41,4.81,21.29395,100,0.999424,18
08-21-2019 12:16:19.1130 PM,0.0,0.0,0.0,0.0,0,680.5,0.0,1.600733,41,4.81,21.29395,100,0.999424,18
08-21-2019 12:16:20.1131 PM,45.5158,-73.57261,46.51937,1.944,0,680.5,0.0,1.600733,41,4.81,21.29395,100,0.999424,18
08-21-2019 12:16:21.1130 PM,45.5158,-73.57261,46.51937,1.944,0,680.5,0.0,1.600733,41,4.81,21.29395,100,0.999424,18
08-21-2019 12:16:22.1131 PM,45.51579,-73.57259,46.60641,1.98,0,680.5,0.0,1.600733,41,4.81,21.29395,100,0.999424,18
08-21-2019 12:16:23.1134 PM,45.51579,-73.5726,46.33468,1.98,0,1283.25,0.0,3.454389,41,10.38,84.62807,100,0.999424,18
08-21-2019 12:16:24.1134 PM,45.51579,-73.5726,46.33468,1.98,0,1283.25,0.0,3.454389,41,10.38,84.62807,100,0.999424,18
08-21-2019 12:16:25.1135 PM,45.51579,-73.5726,46.32919,1.476,0,854.5,0.0,1.454304,41,4.37,18.89363,100,0.999424,18
