Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
01-07-2020 12:29:01.8583 PM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
01-07-2020 12:29:02.8578 PM,0.0,0.0,0.0,0.0,0,752.25,-7.771561e-16,1.271268,0,3.82,28,100,0.999424,0
01-07-2020 12:29:03.8582 PM,0.0,0.0,0.0,0.0,0,752.25,-7.771561e-16,1.271268,0,3.82,28,100,0.999424,0
01-07-2020 12:29:04.8580 PM,0.0,0.0,0.0,0.0,0,752.25,-7.771561e-16,1.271268,0,3.82,28,100,0.999424,0
01-07-2020 12:29:05.8581 PM,0.0,0.0,0.0,0.0,0,752.25,-7.771561e-16,1.271268,0,3.82,28,100,0.999424,0
01-07-2020 12:29:06.8576 PM,0.0,0.0,0.0,0.0,0,743.5,-7.771561e-16,1.234661,14,3.71,28,100,0.999424,-4
01-07-2020 12:29:07.8575 PM,0.0,0.0,0.0,0.0,0,743.5,-7.771561e-16,1.234661,14,3.71,28,100,0.999424,-4
01-07-2020 12:29:08.8575 PM,45.54755,-73.63332,46.62082,0.0,0,743.5,-7.771561e-16,1.234661,14,3.71,28,100,0.999424,-4
01-07-2020 12:29:09.8574 PM,45.54755,-73.63332,46.62082,0.0,0,743.5,-7.771561e-16,1.234661,14,3.71,28,100,0.999424,-4
01-07-2020 12:29:10.8575 PM,45.54755,-73.63332,46.62082,0.0,0,743.5,-7.771561e-16,1.234661,14,3.71,28,100,0.999424,-4
01-07-2020 12:29:11.8574 PM,45.54755,-73.63332,46.62082,0.0,0,743.5,-7.771561e-16,1.234661,14,3.71,28,100,0.999424,-4
01-07-2020 12:29:12.8574 PM,45.54755,-73.63332,46.62082,0.0,0,743.5,-7.771561e-16,1.234661,14,3.71,28,100,0.999424,-4
01-07-2020 12:29:13.8575 PM,45.54755,-73.63332,46.62082,0.0,0,743.5,-7.771561e-16,1.234661,14,3.71,28,100,0.999424,-4
01-07-2020 12:29:14.8575 PM,45.54755,-73.63332,46.62082,0.0,0,743.5,-7.771561e-16,1.234661,14,3.71,28,100,0.999424,-4
01-07-2020 12:29:15.8576 PM,45.54755,-73.63332,46.62082,0.0,0,743.5,-7.771561e-16,1.234661,14,3.71,28,100,0.999424,-4
01-07-2020 12:29:16.8576 PM,45.54755,-73.63332,46.62082,0.0,0,743.5,-7.771561e-16,1.234661,14,3.71,28,100,0.999424,-4
01-07-2020 12:29:17.8576 PM,45.54755,-73.63332,46.62082,0.0,0,741.75,-7.771561e-16,1.257957,14,3.78,28,100,0.999424,-4
01-07-2020 12:29:18.8576 PM,45.54755,-73.63332,46.62082,0.0,0,741.75,-7.771561e-16,1.257957,14,3.78,28,100,0.999424,-4
01-07-2020 12:29:19.8577 PM,45.54755,-73.63332,46.62082,0.0,0,741.75,-7.771561e-16,1.257957,14,3.78,28,100,0.999424,-4
01-07-2020 12:29:20.8577 PM,45.54755,-73.63332,46.62082,0.0,0,741.75,-7.771561e-16,1.257957,14,3.78,28,100,0.999424,-4
01-07-2020 12:29:21.8578 PM,45.54755,-73.63332,46.62082,0.0,0,761.25,-7.771561e-16,1.257957,14,3.78,27,100,0.999424,-4
01-07-2020 12:29:22.8580 PM,45.54755,-73.63332,46.62082,0.0,0,761.25,-7.771561e-16,1.257957,14,3.78,27,100,0.999424,-4
01-07-2020 12:29:23.8579 PM,45.54755,-73.63332,46.62082,0.0,0,761.25,-7.771561e-16,1.257957,14,3.78,27,100,0.999424,-4
01-07-2020 12:29:24.8579 PM,45.54755,-73.63332,46.62082,0.0,0,747.25,-7.771561e-16,1.234661,14,3.71,27,100,0.999424,-4
01-07-2020 12:29:25.8580 PM,45.54755,-73.63332,46.62082,0.0,0,747.25,-7.771561e-16,1.234661,14,3.71,27,100,0.999424,-4
01-07-2020 12:29:26.8579 PM,45.54755,-73.63332,46.62082,0.0,0,749.5,-7.771561e-16,1.234661,14,3.71,27,100,0.999424,-4
01-07-2020 12:29:27.8579 PM,45.54755,-73.63332,46.62082,0.0,0,749.5,-7.771561e-16,1.234661,14,3.71,27,100,0.999424,-4
01-07-2020 12:29:28.8580 PM,45.54755,-73.63332,46.62082,0.0,0,768.0,-7.771561e-16,1.234661,14,3.71,27,100,0.999424,-4
01-07-2020 12:29:29.8580 PM,45.54755,-73.63332,46.62082,0.0,0,768.0,-7.771561e-16,1.234661,14,3.71,27,100,0.999424,-4
01-07-2020 12:29:30.8579 PM,45.54751,-73.63334,46.57754,0.0,0,753.5,-7.771561e-16,1.221349,14,3.67,27,100,0.999424,-4
01-07-2020 12:29:31.8580 PM,45.54751,-73.63334,46.57754,0.0,0,768.75,-7.771561e-16,1.244645,14,3.74,27,100,0.999424,-4
01-07-2020 12:29:32.8581 PM,45.54751,-73.63334,46.57754,0.0,0,768.75,-7.771561e-16,1.244645,14,3.74,27,100,0.999424,-4
01-07-2020 12:29:33.8581 PM,45.54751,-73.63334,46.57754,0.0,0,768.75,-7.771561e-16,1.244645,14,3.74,27,100,0.999424,-4
01-07-2020 12:29:34.8581 PM,45.54751,-73.63334,46.57754,0.0,0,768.5,-7.771561e-16,1.234661,14,3.71,27,100,0.999424,-4
01-07-2020 12:29:35.8585 PM,45.54751,-73.63334,46.57754,0.0,0,766.25,-7.771561e-16,1.244645,14,3.74,27,100,0.999424,-4
