Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
07-15-2019 01:29:21.7487 PM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
07-15-2019 01:29:22.7485 PM,0.0,0.0,0.0,0.0,0,758.75,0.0,1.184742,0,3.56,26.58581,101,0.999424,0
07-15-2019 01:29:23.7489 PM,0.0,0.0,0.0,0.0,0,758.75,0.0,1.184742,0,3.56,26.58581,101,0.999424,0
07-15-2019 01:29:24.7491 PM,0.0,0.0,0.0,0.0,0,758.75,0.0,1.184742,0,3.56,26.58581,101,0.999424,0
07-15-2019 01:29:25.7492 PM,0.0,0.0,0.0,0.0,0,758.75,0.0,1.184742,0,3.56,26.58581,101,0.999424,0
07-15-2019 01:29:26.7491 PM,0.0,0.0,0.0,0.0,0,767.25,0.0,1.221349,46,3.67,27.26279,101,0.999424,13
07-15-2019 01:29:27.7491 PM,0.0,0.0,0.0,0.0,0,743.5,0.0,1.57411,46,4.73,34.7478,101,0.999424,13
07-15-2019 01:29:28.7492 PM,0.0,0.0,0.0,0.0,0,743.5,0.0,1.57411,46,4.73,34.7478,101,0.999424,13
07-15-2019 01:29:29.7493 PM,0.0,0.0,0.0,0.0,0,738.25,0.0,1.514207,46,4.55,34.49319,101,0.999424,13
07-15-2019 01:29:30.7493 PM,0.0,0.0,0.0,0.0,0,752.75,0.0,1.587422,46,4.77,36.41816,101,0.999424,13
07-15-2019 01:29:31.7494 PM,0.0,0.0,0.0,0.0,0,752.75,0.0,1.587422,46,4.77,36.41816,101,0.999424,13
07-15-2019 01:29:32.7495 PM,0.0,0.0,0.0,0.0,0,744.25,0.0,1.484256,46,4.46,33.39544,101,0.999424,13
07-15-2019 01:29:33.7496 PM,0.0,0.0,0.0,0.0,0,754.75,0.0,1.544158,46,4.64,35.14003,101,0.999424,13
07-15-2019 01:29:34.7497 PM,0.0,0.0,0.0,0.0,0,754.75,0.0,1.544158,46,4.64,35.14003,101,0.999424,13
07-15-2019 01:29:35.7497 PM,0.0,0.0,0.0,0.0,0,752.75,0.0,1.527519,46,4.59,34.27777,101,0.999424,13
07-15-2019 01:29:36.7498 PM,0.0,0.0,0.0,0.0,0,752.75,0.0,1.527519,46,4.59,34.27777,101,0.999424,13
07-15-2019 01:29:37.7500 PM,0.0,0.0,0.0,0.0,0,752.75,0.0,1.527519,46,4.59,34.27777,101,0.999424,13
07-15-2019 01:29:38.7501 PM,0.0,0.0,0.0,0.0,0,817.25,0.0,1.55747,46,4.68,35.04274,101,0.999424,13
07-15-2019 01:29:39.7501 PM,0.0,0.0,0.0,0.0,0,817.25,0.0,1.55747,46,4.68,35.04274,101,0.999424,13
07-15-2019 01:29:40.7503 PM,0.0,0.0,0.0,0.0,0,745.5,0.0,1.514207,46,4.55,31.38047,101,0.999424,13
07-15-2019 01:29:41.7504 PM,0.0,0.0,0.0,0.0,0,717.5,0.0,1.484256,46,4.46,33.72021,101,0.999424,13
07-15-2019 01:29:42.7505 PM,0.0,0.0,0.0,0.0,0,717.5,0.0,1.484256,46,4.46,33.72021,101,0.999424,13
07-15-2019 01:29:43.7504 PM,0.0,0.0,0.0,0.0,0,720.5,0.0,1.514207,46,4.55,35.74312,101,0.999424,13
07-15-2019 01:29:44.7505 PM,0.0,0.0,0.0,0.0,0,720.5,0.0,1.514207,46,4.55,35.74312,101,0.999424,13
07-15-2019 01:29:45.7505 PM,45.51582,-73.5728,46.84719,3.636,1,845.0,0.07954773,2.276303,46,6.84,53.50879,101,0.999424,13
07-15-2019 01:29:46.7506 PM,45.51582,-73.57281,47.37533,4.356,3,1093.0,0.263739,3.431094,46,10.31,68.77094,101,0.999424,13
07-15-2019 01:29:47.7509 PM,45.51583,-73.57281,47.79403,0.792,3,1093.0,0.263739,3.431094,46,10.31,68.77094,101,0.999424,13
07-15-2019 01:29:48.7515 PM,45.51583,-73.57281,47.79403,0.792,3,1093.0,0.263739,3.431094,46,10.31,68.77094,101,0.999424,13
07-15-2019 01:29:49.7517 PM,45.51583,-73.57281,47.79403,0.792,3,1093.0,0.263739,3.431094,46,10.31,68.77094,101,0.999424,13
07-15-2019 01:29:50.7517 PM,45.51583,-73.57281,47.79403,0.792,1,736.5,0.03476482,1.986773,46,5.97,30.78628,101,0.999424,13
07-15-2019 01:29:51.7518 PM,45.51583,-73.57281,47.79403,0.792,0,717.75,-0.1896374,1.833688,46,5.51,42.16789,101,0.999424,13
07-15-2019 01:29:52.7519 PM,45.51583,-73.57281,47.79403,0.792,0,717.75,-0.1896374,1.833688,46,5.51,42.16789,101,0.999424,13
07-15-2019 01:29:53.7520 PM,45.51583,-73.57281,47.79403,0.792,0,732.25,-0.04021097,1.883607,46,5.66,44.44739,101,0.999424,13
07-15-2019 01:29:54.7522 PM,45.51583,-73.57281,47.79403,0.792,0,732.25,-0.04021097,1.883607,46,5.66,44.44739,101,0.999424,13
07-15-2019 01:29:55.7523 PM,45.51583,-73.57281,47.79403,0.792,0,732.25,-0.04021097,1.883607,46,5.66,44.44739,101,0.999424,13
07-15-2019 01:29:56.7523 PM,45.51583,-73.57281,47.79403,0.792,0,758.25,-1.387779e-17,1.527519,46,4.59,35.33103,101,0.999424,13
07-15-2019 01:29:57.7524 PM,45.51583,-73.57281,47.79403,0.792,0,758.25,-1.387779e-17,1.527519,46,4.59,35.33103,101,0.999424,13
07-15-2019 01:29:58.7525 PM,45.51583,-73.57281,47.79403,0.792,0,724.5,-1.387779e-17,1.527519,46,4.59,34.11955,101,0.999424,13
07-15-2019 01:29:59.7527 PM,45.51583,-73.57281,47.79403,0.792,0,765.5,-1.387779e-17,1.484256,46,4.46,34.69761,101,0.999424,13
07-15-2019 01:30:00.7528 PM,45.51585,-73.57282,47.71939,2.304,0,765.5,-1.387779e-17,1.484256,46,4.46,34.69761,101,0.999424,13
07-15-2019 01:30:01.7529 PM,45.51585,-73.57283,47.84726,2.304,0,765.5,-1.387779e-17,1.484256,46,4.46,34.69761,101,0.999424,13
07-15-2019 01:30:02.7531 PM,45.51587,-73.57285,48.04013,5.112,0,765.5,-1.387779e-17,1.484256,46,4.46,34.69761,101,0.999424,13
07-15-2019 01:30:03.7531 PM,45.51588,-73.57286,48.2275,7.812,2,904.25,0.1790155,4.236452,46,12.73,93.73164,101,0.999424,13
