Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
09-17-2019 01:33:20.8556 PM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
09-17-2019 01:33:21.8463 PM,45.51414,-73.56915,40.73922,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
09-17-2019 01:33:22.8449 PM,45.51414,-73.56915,40.73922,0.0,0,752.75,0.0,0.0,32,0.0,27,0,0.999424,0
09-17-2019 01:33:23.8431 PM,45.51414,-73.56915,40.73922,0.0,0,752.75,0.0,0.0,32,0.0,27,0,0.999424,0
09-17-2019 01:33:24.8415 PM,45.51414,-73.56915,40.73922,0.0,0,759.0,0.0,0.0,32,3.49,27,102,0.999424,13
09-17-2019 01:33:25.8405 PM,45.51414,-73.56915,40.73922,0.0,0,759.0,0.0,0.0,32,3.49,27,102,0.999424,13
09-17-2019 01:33:26.8392 PM,45.51414,-73.56915,40.73922,0.0,0,748.5,0.0,1.161447,32,3.49,27,102,0.999424,13
09-17-2019 01:33:27.8381 PM,45.51414,-73.56915,40.73922,0.0,0,748.5,0.0,1.161447,32,3.49,27,102,0.999424,13
09-17-2019 01:33:28.8370 PM,45.51414,-73.56915,40.73922,0.0,0,748.5,0.0,1.161447,32,3.49,27,102,0.999424,13
09-17-2019 01:33:29.8360 PM,45.51414,-73.56915,40.73922,0.0,0,748.75,0.0,1.174759,32,3.53,27,102,0.999424,13
09-17-2019 01:33:30.8350 PM,45.51414,-73.56915,40.73922,0.0,0,748.75,0.0,1.174759,32,3.53,27,102,0.999424,13
09-17-2019 01:33:31.8345 PM,45.51414,-73.56915,40.73922,0.0,0,753.25,0.0,1.194726,32,3.59,27,102,0.999424,13
09-17-2019 01:33:32.8338 PM,45.51414,-73.56915,40.73922,0.0,0,753.25,0.0,1.194726,32,3.59,27,102,0.999424,13
09-17-2019 01:33:33.8332 PM,45.51414,-73.56915,40.73922,0.0,0,753.25,0.0,1.194726,32,3.59,27,102,0.999424,13
09-17-2019 01:33:34.8326 PM,45.51414,-73.56915,40.73922,0.0,0,753.25,0.0,1.194726,32,3.59,27,102,0.999424,13
09-17-2019 01:33:35.8315 PM,45.51414,-73.56915,40.73922,0.0,0,745.0,0.0,1.161447,32,3.49,27,102,0.999424,13
09-17-2019 01:33:36.8310 PM,45.51414,-73.56915,40.73922,0.0,0,745.0,0.0,1.161447,32,3.49,27,102,0.999424,13
09-17-2019 01:33:37.8304 PM,45.51414,-73.56915,40.73922,0.0,0,753.0,0.0,1.184742,32,3.56,27,102,0.999424,13
09-17-2019 01:33:38.8299 PM,45.51413,-73.56917,42.0671,0.54,0,753.0,0.0,1.184742,32,3.56,27,102,0.999424,13
09-17-2019 01:33:39.8294 PM,45.51413,-73.56917,42.0671,0.54,0,753.0,0.0,1.184742,32,3.56,27,102,0.999424,13
09-17-2019 01:33:40.8290 PM,45.51413,-73.56917,42.0671,0.54,0,753.0,0.0,1.184742,32,3.56,27,102,0.999424,13
09-17-2019 01:33:41.8286 PM,45.51413,-73.56917,42.0671,0.54,0,757.25,0.0,1.174759,32,3.53,27,102,0.999424,13
09-17-2019 01:33:42.8286 PM,45.51413,-73.56917,42.0671,0.54,0,757.25,0.0,1.174759,32,3.53,27,102,0.999424,13
09-17-2019 01:33:43.8889 PM,45.51413,-73.56917,42.0671,0.54,0,757.25,0.0,1.174759,32,3.53,27,102,0.999424,13
09-17-2019 01:33:44.9584 PM,45.51413,-73.56917,42.0671,0.54,0,757.25,0.0,1.174759,32,3.53,27,102,0.999424,13
09-17-2019 01:33:46.0536 PM,45.51413,-73.56917,42.0671,0.54,0,757.25,0.0,1.174759,32,3.53,27,102,0.999424,13
09-17-2019 01:33:47.0700 PM,45.51413,-73.56917,42.0671,0.54,0,757.25,0.0,1.174759,32,3.53,27,102,0.999424,13
