Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
07-02-2019 08:26:27.7808 PM,0.0,0.0,0.0,0.0,0,799.0,9.922618e-16,0.9210821,0,2.8,29.63729,100,0.9904875,0
07-02-2019 08:26:28.7814 PM,0.0,0.0,0.0,0.0,0,799.0,9.922618e-16,0.9210821,0,2.8,29.63729,100,0.9904875,0
07-02-2019 08:26:29.7811 PM,0.0,0.0,0.0,0.0,0,792.0,9.922618e-16,0.940227,44,2.8,29.44255,100,1.010617,42
07-02-2019 08:26:30.7812 PM,0.0,0.0,0.0,0.0,0,802.25,9.922618e-16,0.8885884,44,2.7,28.64196,100,0.9901215,42
07-02-2019 08:26:31.7813 PM,0.0,0.0,0.0,0.0,0,807.0,9.922618e-16,0.9338561,44,2.78,29.11382,100,0.9901215,42
07-02-2019 08:26:32.7814 PM,0.0,0.0,0.0,0.0,0,1048.75,9.922618e-16,0.8700314,44,2.59,26.96437,100,1.010496,42
07-02-2019 08:26:33.7815 PM,0.0,0.0,0.0,0.0,0,1048.75,9.922618e-16,0.8700314,44,2.59,26.96437,100,1.010496,42
07-02-2019 08:26:34.7816 PM,0.0,0.0,0.0,0.0,0,2730.0,9.922618e-16,3.515285,44,10.68,85.55855,100,1.009489,42
07-02-2019 08:26:35.7818 PM,0.0,0.0,0.0,0.0,0,1758.0,9.922618e-16,1.765984,44,5.36,16.49553,100,0.999424,42
07-02-2019 08:26:36.7817 PM,45.57065,-73.74889,35.60837,3.672,0,1483.25,9.922618e-16,4.812184,44,14.46,69.10565,100,1.009489,42
07-02-2019 08:26:37.7818 PM,45.57064,-73.7489,35.64847,5.94,3,1171.5,0.3762753,1.354141,44,4.11,23.28046,100,0.987468,42
07-02-2019 08:26:38.7819 PM,45.57063,-73.74891,35.67543,3.672,3,1171.5,0.3762753,1.354141,44,4.11,23.28046,100,0.987468,42
07-02-2019 08:26:39.7821 PM,45.57062,-73.74892,35.6438,3.6,3,1171.5,0.3762753,1.354141,44,4.11,23.28046,100,0.987468,42
07-02-2019 08:26:40.7823 PM,45.57062,-73.74892,35.6438,3.6,3,1171.5,0.3762753,1.354141,44,4.11,23.28046,100,0.987468,42
07-02-2019 08:26:41.7824 PM,45.57063,-73.74893,35.47846,1.548,4,1084.25,0.5085064,1.354025,44,4.02,28.83022,100,0.9923785,42
07-02-2019 08:26:42.7828 PM,45.57063,-73.74895,35.36123,3.42,4,1084.25,0.5085064,1.354025,44,4.02,28.83022,100,0.9923785,42
07-02-2019 08:26:43.7835 PM,45.57063,-73.74897,35.40161,3.42,4,1084.25,0.5085064,1.354025,44,4.02,28.83022,100,0.9923785,42
