Date,Time,Bag#,CO2 (%),Temperature (deg C)
2019-07-02,3:45:52 PM,Zeroing,NA,33.7
2019-07-02,3:45:54 PM,Zeroing,NA,33.5
2019-07-02,3:45:55 PM,Zeroing,NA,33.5
2019-07-02,3:45:56 PM,Zeroing,NA,33.6
2019-07-02,3:45:57 PM,Zeroing,NA,33.6
2019-07-02,3:45:58 PM,Zeroing,NA,33.6
2019-07-02,3:45:59 PM,Zeroing,NA,33.6
2019-07-02,3:46:00 PM,Zeroing,NA,33.6
2019-07-02,3:46:01 PM,Zeroing,NA,33.7
2019-07-02,3:46:02 PM,Zeroing,NA,33.7
2019-07-02,3:46:03 PM,Zeroing,NA,33.6
2019-07-02,3:46:04 PM,Zeroing,NA,33.7
2019-07-02,3:46:05 PM,Zeroing,NA,33.7
2019-07-02,3:46:06 PM,Zeroing,NA,33.6
2019-07-02,3:46:07 PM,Zeroing,NA,33.7
2019-07-02,3:46:08 PM,Zeroing,NA,33.7
2019-07-02,3:46:09 PM,Zeroing,NA,33.7
2019-07-02,3:46:10 PM,Zeroing,NA,33.7
2019-07-02,3:46:11 PM,Zeroing,NA,33.8
2019-07-02,3:46:12 PM,Zeroing,NA,33.8
2019-07-02,3:46:13 PM,Zeroing,NA,33.8
2019-07-02,3:46:14 PM,Zeroing,NA,33.8
2019-07-02,3:46:15 PM,Zeroing,NA,33.7
2019-07-02,3:46:16 PM,Zeroing,NA,33.8
2019-07-02,3:46:17 PM,Zeroing,NA,33.8
2019-07-02,3:46:18 PM,Zeroing,NA,33.7
2019-07-02,3:46:19 PM,Zeroing,NA,33.8
2019-07-02,3:46:20 PM,Zeroing,NA,33.8
2019-07-02,3:46:21 PM,Zeroing,NA,33.8
2019-07-02,3:46:22 PM,Zeroing,NA,33.8
2019-07-02,3:46:27 PM,0,-0.0,33.8
2019-07-02,3:46:29 PM,0,-0.0,33.8
2019-07-02,3:46:30 PM,0,0.0,33.9
2019-07-02,3:46:31 PM,0,-0.0,33.8
2019-07-02,3:46:32 PM,0,-0.0,33.8
2019-07-02,3:46:33 PM,0,-0.0,33.9
2019-07-02,3:46:34 PM,0,0.0,33.9
2019-07-02,3:46:35 PM,0,-0.0,33.9
2019-07-02,3:46:36 PM,0,-0.0,33.9
2019-07-02,3:46:37 PM,0,-0.0,33.9
2019-07-02,3:46:38 PM,0,-0.0,33.9
2019-07-02,3:46:39 PM,0,0.0,33.9
2019-07-02,3:46:40 PM,0,0.0,33.9
2019-07-02,3:46:41 PM,0,-0.0,33.9
2019-07-02,3:46:42 PM,0,-0.0,33.9
2019-07-02,3:46:43 PM,0,0.02,33.9
2019-07-02,3:46:44 PM,0,0.05,34.0
2019-07-02,3:46:45 PM,0,0.01,34.0
2019-07-02,3:46:46 PM,0,0.0,33.9
2019-07-02,3:46:47 PM,0,0.0,33.9
2019-07-02,3:46:48 PM,0,0.0,33.9
2019-07-02,3:46:49 PM,0,-0.0,33.9
2019-07-02,3:46:50 PM,0,0.01,34.0
2019-07-02,3:46:51 PM,0,0.0,34.0
2019-07-02,3:46:52 PM,0,0.0,34.0
2019-07-02,3:46:53 PM,0,0.0,34.0
2019-07-02,3:46:54 PM,0,0.0,34.0
2019-07-02,3:46:55 PM,0,0.0,34.0
2019-07-02,3:46:56 PM,0,0.0,34.0
2019-07-02,3:46:57 PM,0,-0.0,34.0
2019-07-02,3:46:58 PM,0,-0.0,34.0
2019-07-02,3:46:59 PM,0,0.0,34.0
2019-07-02,3:47:00 PM,0,0.06,34.0
