Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
11-08-2019 03:30:17.6561 PM,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
11-08-2019 03:30:18.6459 PM,0.0,0.0,0.0,0.0,0,726,0.0,0.0,9,2.21,27,101,0.9963435,0
11-08-2019 03:30:19.6462 PM,0.0,0.0,0.0,0.0,0,724,0.0,0.7177167,9,2.15,27,101,0.9957945,0
11-08-2019 03:30:20.6460 PM,0.0,0.0,0.0,0.0,0,724,0.0,0.7177167,9,2.15,27,101,0.9957945,0
11-08-2019 03:30:21.6544 PM,0.0,0.0,0.0,0.0,0,724,0.0,0.7177167,9,2.15,27,101,0.9957945,0
11-08-2019 03:30:22.6539 PM,0.0,0.0,0.0,0.0,0,724,0.0,0.7177167,9,2.15,27,101,0.9957945,0
11-08-2019 03:30:23.6540 PM,0.0,0.0,0.0,0.0,0,722,0.0,0.7314726,9,2.19,27,101,0.9982345,0
11-08-2019 03:30:24.6540 PM,0.0,0.0,0.0,0.0,0,721,0.0,0.7230209,9,2.17,26,101,1.001437,0
11-08-2019 03:30:25.6539 PM,0.0,0.0,0.0,0.0,0,723,0.0,0.6708902,9,2.02,27,101,1.000217,0
11-08-2019 03:30:26.6546 PM,0.0,0.0,0.0,0.0,0,723,0.0,0.6708902,9,2.02,27,101,1.000217,0
11-08-2019 03:30:27.6543 PM,0.0,0.0,0.0,0.0,0,723,0.0,0.6708902,9,2.02,27,101,1.000217,0
11-08-2019 03:30:28.6547 PM,0.0,0.0,0.0,0.0,0,724,0.0,0.6983108,9,2.1,26,101,0.9981125,0
11-08-2019 03:30:29.6545 PM,0.0,0.0,0.0,0.0,0,720,0.0,0.7064477,9,2.12,27,101,0.9991495,0
11-08-2019 03:30:30.6550 PM,0.0,0.0,0.0,0.0,0,726,0.0,0.6724261,9,2.02,26,101,0.998265,0
11-08-2019 03:30:31.6545 PM,0.0,0.0,0.0,0.0,0,726,0.0,0.6724261,9,2.02,26,101,0.998265,0
11-08-2019 03:30:32.6545 PM,0.0,0.0,0.0,0.0,0,721,0.0,0.7163352,9,2.15,27,101,0.99857,0
11-08-2019 03:30:33.6546 PM,0.0,0.0,0.0,0.0,0,721,0.0,0.7163352,9,2.15,27,101,0.99857,0
11-08-2019 03:30:34.6550 PM,0.0,0.0,0.0,0.0,0,721,0.0,0.7163352,9,2.15,27,101,0.99857,0
11-08-2019 03:30:35.6552 PM,0.0,0.0,0.0,0.0,0,721,0.0,0.7163352,9,2.15,27,101,0.99857,0
11-08-2019 03:30:36.6550 PM,0.0,0.0,0.0,0.0,0,721,0.0,0.7163352,9,2.15,27,101,0.99857,0
11-08-2019 03:30:37.6554 PM,0.0,0.0,0.0,0.0,0,721,0.0,0.7294395,9,2.19,27,101,0.9981735,0
11-08-2019 03:30:38.6556 PM,0.0,0.0,0.0,0.0,0,721,0.0,0.7294395,9,2.19,27,101,0.9981735,0
11-08-2019 03:30:39.6557 PM,0.0,0.0,0.0,0.0,0,721,0.0,0.7294395,9,2.19,27,101,0.9981735,0
11-08-2019 03:30:40.6558 PM,0.0,0.0,0.0,0.0,0,721,0.0,0.6997404,9,2.1,28,101,0.998814,0
11-08-2019 03:30:41.6559 PM,0.0,0.0,0.0,0.0,0,728,0.0,0.6926317,9,2.08,27,101,0.9993325,0
11-08-2019 03:30:42.6558 PM,0.0,0.0,0.0,0.0,0,710,0.0,0.7288829,9,2.19,27,101,1.001529,0
11-08-2019 03:30:43.6570 PM,0.0,0.0,0.0,0.0,0,710,0.0,0.7288829,9,2.19,27,101,1.001529,0
11-08-2019 03:30:44.6564 PM,0.0,0.0,0.0,0.0,0,720,0.0,0.7438894,9,2.24,27,101,0.9981735,0
11-08-2019 03:30:45.6564 PM,0.0,0.0,0.0,0.0,0,720,0.0,0.7438894,9,2.24,27,101,0.9981735,0
11-08-2019 03:30:46.6566 PM,0.0,0.0,0.0,0.0,0,720,0.0,0.7438894,9,2.24,27,101,0.9981735,0
11-08-2019 03:30:47.6568 PM,0.0,0.0,0.0,0.0,0,722,0.0,0.7463897,9,2.24,26,101,0.998326,0
