Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
09-30-2019 11:07:15.1991 AM,45.53575,-73.60647,63.97848,8.028,0,0,0.0,0.0,0,0.0,0,0,0.0,0
09-30-2019 11:07:16.2011 AM,45.53575,-73.60647,63.97848,8.028,0,0,0.0,0.0,0,0.0,0,0,0.0,0
09-30-2019 11:07:17.1992 AM,45.53578,-73.60651,57.86312,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
09-30-2019 11:07:18.1988 AM,45.53578,-73.60651,57.86312,0.0,0,0,0.0,0.0,0,0.0,0,0,0.0,0
09-30-2019 11:07:19.1986 AM,45.53578,-73.60651,57.86312,0.0,0,717,0.0,0.0,24,0.0,29,102,0.999424,9
09-30-2019 11:07:20.1987 AM,45.53578,-73.60651,57.86312,0.0,0,717,0.0,0.0,24,0.0,29,102,0.999424,9
09-30-2019 11:07:21.1987 AM,45.53578,-73.60651,57.86312,0.0,0,717,0.0,0.0,24,0.0,29,102,0.999424,9
09-30-2019 11:07:22.1983 AM,45.53573,-73.60651,59.17538,0.0,0,721,0.0,0.0,24,3.169737,29,102,0.999424,9
09-30-2019 11:07:23.1986 AM,45.53573,-73.60651,59.17538,0.0,0,719,0.0,0.9510177,24,2.857687,26,102,0.999424,9
09-30-2019 11:07:24.1982 AM,45.53573,-73.60651,59.17538,0.0,0,714,0.0,1.057808,24,3.178579,29,102,0.999424,9
09-30-2019 11:07:25.1980 AM,45.53573,-73.60651,59.17538,0.0,0,719,0.0,1.050452,24,3.156475,29,102,0.999424,9
09-30-2019 11:07:26.1978 AM,45.53573,-73.60651,59.17538,0.0,0,712,0.0,1.057808,24,3.178579,29,102,0.999424,9
09-30-2019 11:07:27.1978 AM,45.53573,-73.60651,59.17538,0.0,0,712,0.0,1.057808,24,3.178579,29,102,0.999424,9
09-30-2019 11:07:28.1977 AM,45.53573,-73.60651,59.17538,0.0,0,712,0.0,1.057808,24,3.178579,29,102,0.999424,9
09-30-2019 11:07:29.1976 AM,45.53573,-73.60651,59.17538,0.0,0,712,0.0,1.057808,24,3.178579,29,102,0.999424,9
09-30-2019 11:07:30.1980 AM,45.53573,-73.60651,59.17538,0.0,0,712,0.0,1.057808,24,3.178579,29,102,0.999424,9
09-30-2019 11:07:31.1978 AM,45.53573,-73.60651,59.17538,0.0,0,717,0.0,1.04751,24,3.147633,29,102,0.999424,9
09-30-2019 11:07:32.1989 AM,45.53573,-73.60651,59.17538,0.0,0,717,0.0,1.04751,24,3.147633,29,102,0.999424,9
09-30-2019 11:07:33.1987 AM,45.53573,-73.60651,59.17538,0.0,0,717,0.0,1.04751,24,3.147633,29,102,0.999424,9
09-30-2019 11:07:34.1994 AM,45.53573,-73.60651,59.17538,0.0,0,712,0.0,1.054866,24,3.169737,29,102,0.999424,9
09-30-2019 11:07:35.1992 AM,45.53573,-73.60651,59.17538,0.0,0,721,0.0,1.04751,24,3.147633,29,102,0.999424,9
09-30-2019 11:07:36.1993 AM,45.53573,-73.60651,59.17538,0.0,0,714,0.0,1.06075,24,3.18742,29,102,0.999424,9
09-30-2019 11:07:37.1992 AM,45.53573,-73.60651,59.17538,0.0,0,718,0.0,1.050452,24,3.156475,29,102,0.999424,9
09-30-2019 11:07:38.1995 AM,45.53573,-73.60651,59.17538,0.0,0,716,0.0,1.056337,24,3.174158,29,102,0.999424,9
09-30-2019 11:07:39.1996 AM,45.53573,-73.60651,59.17538,0.0,0,716,0.0,1.056337,24,3.174158,29,102,0.999424,9
09-30-2019 11:07:40.1997 AM,45.53573,-73.60651,59.17538,0.0,0,716,0.0,1.056337,24,3.174158,29,102,0.999424,9
09-30-2019 11:07:41.1998 AM,45.53573,-73.60651,59.17538,0.0,0,715,0.0,1.053394,24,3.165316,29,102,0.999424,9
09-30-2019 11:07:42.1997 AM,45.53573,-73.60651,59.17538,0.0,0,715,0.0,1.051923,25,3.160895,29,102,0.999424,9
09-30-2019 11:07:43.1998 AM,45.53573,-73.60651,59.17538,0.0,0,714,0.0,1.012244,25,3.041663,28,102,0.999424,9
09-30-2019 11:07:44.1998 AM,45.53573,-73.60651,59.17538,0.0,0,714,0.0,1.012244,25,3.041663,28,102,0.999424,9
09-30-2019 11:07:45.1997 AM,45.53573,-73.60651,59.17538,0.0,0,714,0.0,1.012244,25,3.041663,28,102,0.999424,9
09-30-2019 11:07:46.1998 AM,45.53573,-73.60651,59.17538,0.0,0,706,0.0,1.010828,25,3.037409,28,102,0.999424,9
09-30-2019 11:07:47.1997 AM,45.53573,-73.60651,59.17538,0.0,0,711,0.0,0.9995019,25,3.003376,28,102,0.999424,9
09-30-2019 11:07:48.1999 AM,45.53573,-73.60651,59.17538,0.0,0,705,0.0,1.006581,25,3.024647,28,102,0.999424,9
