Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
09-09-2019 05:17:17.9094 PM,0.0,0.0,0.0,0.0,0,704.5,-4.607426e-15,0.0,53,0.0,43,101,0.999424,28
09-09-2019 05:17:18.9099 PM,0.0,0.0,0.0,0.0,0,704.5,-4.607426e-15,0.0,53,0.0,43,101,0.999424,28
09-09-2019 05:17:19.9096 PM,0.0,0.0,0.0,0.0,0,693.5,-4.607426e-15,0.0,53,2.870165,44,101,0.999424,28
09-09-2019 05:17:20.9097 PM,0.0,0.0,0.0,0.0,0,697.5,-4.607426e-15,0.9188868,53,2.761138,43,101,0.999424,28
09-09-2019 05:17:21.9097 PM,0.0,0.0,0.0,0.0,0,702.0,-4.607426e-15,0.9241868,53,2.777064,43,101,0.999424,28
09-09-2019 05:17:22.9098 PM,0.0,0.0,0.0,0.0,0,696.5,-4.607426e-15,0.973412,53,2.924979,45,101,0.999424,28
09-09-2019 05:17:23.9098 PM,0.0,0.0,0.0,0.0,0,702.0,-4.607426e-15,1.008709,53,3.031044,47,101,0.999424,28
09-09-2019 05:17:24.9099 PM,0.0,0.0,0.0,0.0,0,699.0,-4.607426e-15,0.9950434,53,2.989979,46,101,0.999424,28
09-09-2019 05:17:25.9101 PM,0.0,0.0,0.0,0.0,0,703.0,-4.607426e-15,1.292336,53,3.883306,60,101,0.999424,28
09-09-2019 05:17:26.9101 PM,0.0,0.0,0.0,0.0,0,690.5,-4.607426e-15,1.278069,53,3.840436,59,101,0.999424,28
09-09-2019 05:17:27.9102 PM,0.0,0.0,0.0,0.0,0,690.5,-4.607426e-15,1.278069,53,3.840436,59,101,0.999424,28
09-09-2019 05:17:28.9103 PM,45.57188,-73.4017,32.24541,1.836,0,721.0,-4.607426e-15,1.319175,53,3.963953,62,101,0.999424,28
09-09-2019 05:17:29.9104 PM,45.57188,-73.4017,32.26046,1.836,0,698.5,-4.607426e-15,1.310794,53,3.938769,59,101,0.999424,28
09-09-2019 05:17:30.9105 PM,45.57188,-73.4017,32.26046,1.836,0,697.5,-4.607426e-15,1.226841,53,3.686502,57,101,0.999424,28
09-09-2019 05:17:31.9107 PM,45.57188,-73.4017,32.35086,1.08,0,687.0,-4.607426e-15,1.246578,53,3.745807,58,101,0.999424,28
09-09-2019 05:17:32.9108 PM,45.57188,-73.40168,32.5448,2.628,2,697.0,0.2938084,1.248981,53,3.753029,59,101,0.999424,28
09-09-2019 05:17:33.9110 PM,45.57188,-73.40167,32.51602,2.628,1,757.5,0.1907601,1.288639,53,3.872195,60,101,0.999424,28
09-09-2019 05:17:34.9109 PM,45.57188,-73.40166,32.32821,2.016,1,757.5,0.1907601,1.288639,53,3.872195,60,101,0.999424,28
09-09-2019 05:17:35.9110 PM,45.57187,-73.40166,32.21886,1.62,1,757.5,0.1907601,1.288639,53,3.872195,60,101,0.999424,28
09-09-2019 05:17:36.9110 PM,45.57187,-73.40166,32.11187,2.124,0,689.0,-0.2492808,1.35381,53,4.068027,58,101,0.999424,28
09-09-2019 05:17:37.9111 PM,45.57187,-73.40166,32.2372,2.124,2,744.0,-0.04632417,1.231386,53,3.700159,58,101,0.999424,28
09-09-2019 05:17:38.9112 PM,45.57187,-73.40165,32.11623,1.692,0,723.5,-0.1891556,1.306757,53,3.926639,57,101,0.999424,28
09-09-2019 05:17:39.9112 PM,45.57187,-73.40165,32.11623,1.692,0,698.0,-0.289064,1.315339,53,3.952426,59,101,0.999424,28
09-09-2019 05:17:40.9113 PM,45.57186,-73.40166,32.40564,1.368,0,698.0,-0.289064,1.315339,53,3.952426,59,101,0.999424,28
09-09-2019 05:17:41.9114 PM,45.57186,-73.40166,32.47208,3.564,0,698.0,-0.289064,1.315339,53,3.952426,59,101,0.999424,28
09-09-2019 05:17:42.9116 PM,45.57185,-73.40168,32.18093,3.564,0,715.5,-4.551914e-15,1.311996,53,3.94238,61,101,0.999424,28
09-09-2019 05:17:43.9117 PM,45.57184,-73.4017,32.07556,6.624,0,715.5,-4.551914e-15,1.311996,53,3.94238,61,101,0.999424,28
09-09-2019 05:17:44.9118 PM,45.57183,-73.40173,32.36874,7.38,0,715.5,-4.551914e-15,1.311996,53,3.94238,61,101,0.999424,28
09-09-2019 05:17:45.9118 PM,45.57181,-73.40174,32.28955,7.74,0,715.5,-4.551914e-15,1.311996,53,3.94238,61,101,0.999424,28
09-09-2019 05:17:46.9120 PM,45.57179,-73.40176,32.36567,7.74,0,715.5,-4.551914e-15,1.311996,53,3.94238,61,101,0.999424,28
09-09-2019 05:17:47.9120 PM,45.57178,-73.40179,32.36993,7.74,8,949.5,0.391321,0.9700841,53,2.914979,44,101,0.999424,28
09-09-2019 05:17:48.9121 PM,45.57177,-73.4018,32.12461,5.112,5,789.0,0.3069336,1.433633,53,4.307886,49,101,0.999424,28
09-09-2019 05:17:49.9121 PM,45.57175,-73.40182,32.27438,7.128,7,1488.5,0.09393838,1.726166,53,5.186908,71,101,0.999424,28
09-09-2019 05:17:50.9123 PM,45.57174,-73.40185,32.4262,7.128,12,1740.5,0.9008793,2.430926,53,7.304625,53,101,0.999424,28
09-09-2019 05:17:51.9124 PM,45.57172,-73.40188,32.21813,8.748,12,1740.5,0.9008793,2.430926,53,7.304625,53,101,0.999424,28
09-09-2019 05:17:52.9125 PM,45.57169,-73.40193,32.31484,18.18,12,1740.5,0.9008793,2.430926,53,7.304625,53,101,0.999424,28
09-09-2019 05:17:53.9125 PM,45.57166,-73.40199,32.58156,19.152,15,1872.5,1.136824,3.057004,53,9.185907,57,101,0.999424,28
09-09-2019 05:17:54.9126 PM,45.57162,-73.40204,32.56732,18.252,15,1872.5,1.136824,3.057004,53,9.185907,57,101,0.999424,28
09-09-2019 05:17:55.9126 PM,45.57159,-73.40208,32.33158,18.252,18,1359.5,0.553493,1.846371,53,5.548109,32,101,0.999424,28
09-09-2019 05:17:56.9127 PM,45.57155,-73.40214,32.22567,12.636,15,1105.0,-0.1741791,1.340529,53,4.02812,32,101,0.999424,28
09-09-2019 05:17:57.9130 PM,45.57154,-73.40217,32.07163,12.636,12,973.5,-0.7544054,1.293877,53,3.887936,38,101,0.999424,28
09-09-2019 05:17:58.9130 PM,45.57153,-73.40218,32.01365,8.676001,7,822.0,-1.122905,1.619857,53,4.867465,54,101,0.999424,28
09-09-2019 05:17:59.9132 PM,45.57152,-73.4022,32.05394,5.904,5,778.5,-0.9729736,1.241123,53,3.729418,49,101,0.999424,28
09-09-2019 05:18:00.9133 PM,45.57151,-73.40221,32.19913,5.184,5,787.0,-0.2910731,1.295387,53,3.892473,54,101,0.999424,28
09-09-2019 05:18:01.9135 PM,45.57151,-73.40223,32.29726,5.4,5,787.0,-0.2910731,1.295387,53,3.892473,54,101,0.999424,28
09-09-2019 05:18:02.9136 PM,45.5715,-73.40224,32.42571,5.256,5,787.0,-0.2910731,1.295387,53,3.892473,54,101,0.999424,28
09-09-2019 05:18:03.9137 PM,45.5715,-73.40226,32.43391,5.4,5,787.0,-0.2910731,1.295387,53,3.892473,54,101,0.999424,28
09-09-2019 05:18:04.9138 PM,45.5715,-73.40228,32.49432,6.408,5,794.0,-4.496403e-15,1.261029,53,3.789232,52,101,0.999424,28
09-09-2019 05:18:05.9140 PM,45.57151,-73.4023,32.47812,8.028,6,1133.0,0.03252316,1.321178,53,3.969972,54,101,0.999424,28
09-09-2019 05:18:06.9139 PM,45.57153,-73.40232,32.60185,8.028,6,1133.0,0.03252316,1.321178,53,3.969972,54,101,0.999424,28
09-09-2019 05:18:07.9140 PM,45.57156,-73.40234,32.56706,10.548,6,1133.0,0.03252316,1.321178,53,3.969972,54,101,0.999424,28
09-09-2019 05:18:08.9141 PM,45.5716,-73.40237,32.46332,19.224,9,1599.0,0.4751906,2.374028,53,7.133654,68,101,0.999424,28
09-09-2019 05:18:09.9141 PM,45.57164,-73.40241,32.55496,22.356,21,1890.5,1.028091,3.35046,53,10.06771,68,101,0.999424,28
09-09-2019 05:18:10.9142 PM,45.57169,-73.40247,32.53631,22.356,23,1856.5,0.8833678,3.203955,53,9.627479,55,101,0.999424,28
09-09-2019 05:18:11.9142 PM,45.57172,-73.40252,32.38928,22.428,23,1586.0,0.297944,1.430151,53,4.297423,25,101,0.999424,28
09-09-2019 05:18:12.9142 PM,45.57177,-73.40258,32.75699,24.3,23,1990.5,-4.440892e-15,2.883383,53,8.664198,59,101,0.999424,28
09-09-2019 05:18:13.9142 PM,45.57182,-73.40263,32.55124,24.912,25,1788.5,0.2093753,1.533378,53,4.607606,25,101,0.999424,28
09-09-2019 05:18:14.9142 PM,45.57186,-73.40269,32.30334,24.3,23,1861.0,-0.08833247,1.763543,53,5.299222,32,101,1.057008,28
09-09-2019 05:18:15.9143 PM,45.5719,-73.40274,32.26018,23.22,22,1626.0,-0.4331013,1.409738,53,4.480154,26,101,0.999424,28
09-09-2019 05:18:16.9145 PM,45.57195,-73.40279,32.03048,19.872,22,1626.0,-0.4331013,1.409738,53,4.480154,26,101,0.999424,28
09-09-2019 05:18:17.9146 PM,45.57198,-73.40284,32.20929,21.42,22,1626.0,-0.4331013,1.409738,53,4.480154,26,101,0.999424,28
09-09-2019 05:18:18.9146 PM,45.57203,-73.40289,32.13509,19.872,20,1464.5,-0.4330132,1.453,53,4.36608,29,101,0.999424,28
09-09-2019 05:18:19.9147 PM,45.57206,-73.40294,32.08507,19.692,19,1398.0,-0.3408995,1.308683,53,3.932426,29,101,0.999424,28
09-09-2019 05:18:20.9147 PM,45.5721,-73.40298,32.04966,19.728,18,1515.0,-0.1913995,1.723115,53,5.177742,40,101,0.999424,28
09-09-2019 05:18:21.9147 PM,45.57214,-73.40304,32.10177,19.728,19,1586.5,-0.009332209,2.240789,53,6.733286,48,101,0.999424,28
09-09-2019 05:18:22.9147 PM,45.57218,-73.40308,32.19828,19.296,19,1473.5,0.1387874,1.808793,53,5.435193,37,101,0.999424,28
09-09-2019 05:18:23.9149 PM,45.57221,-73.40312,31.86037,18.972,15,1098.0,-0.4159265,1.407534,53,4.229461,31,102,0.999424,28
09-09-2019 05:18:24.9150 PM,45.57224,-73.40314,31.75469,11.592,12,946.5,-0.8580533,1.251847,53,3.76164,37,101,0.999424,28
09-09-2019 05:18:25.9150 PM,45.57225,-73.40317,31.71476,11.592,7,762.0,-1.118502,1.574931,53,4.732467,54,101,0.999424,28
09-09-2019 05:18:26.9151 PM,45.57227,-73.40319,31.82497,8.208,7,762.0,-1.118502,1.574931,53,4.732467,54,101,0.999424,28
09-09-2019 05:18:27.9151 PM,45.57229,-73.40319,31.85036,6.804,6,781.5,-0.8225475,1.197491,53,3.598308,51,101,0.999424,28
09-09-2019 05:18:28.9152 PM,45.5723,-73.40318,31.97235,8.495999,6,1205.5,-0.146172,1.32446,53,3.979833,55,101,0.999424,28
09-09-2019 05:18:29.9152 PM,45.57232,-73.40316,31.88609,8.495999,7,1068.0,0.1475119,1.597286,53,4.799642,43,101,0.999424,28
09-09-2019 05:18:30.9153 PM,45.57232,-73.40313,31.97614,8.495999,7,850.5,0.1475119,1.448008,53,4.35108,44,101,0.999424,28
09-09-2019 05:18:31.9153 PM,45.57231,-73.4031,32.04676,8.495999,7,1316.5,-4.496403e-15,1.493813,53,4.488719,57,101,0.999424,28
09-09-2019 05:18:32.9154 PM,45.57229,-73.40308,32.21362,10.98,10,1640.0,0.3178693,2.271726,53,6.826248,56,101,0.999424,28
09-09-2019 05:18:33.9155 PM,45.57227,-73.40305,32.41028,12.672,12,1780.0,0.6159573,2.324603,53,6.985136,46,102,0.999424,28
09-09-2019 05:18:34.9157 PM,45.57223,-73.40304,32.42817,12.672,13,1447.5,0.4365058,1.755161,53,5.274037,32,101,0.999424,28
09-09-2019 05:18:35.9157 PM,45.5722,-73.40303,32.38229,12.672,12,1032.0,-0.006306201,1.650317,53,4.958993,37,101,0.999424,28
09-09-2019 05:18:36.9158 PM,45.57217,-73.40302,32.46722,11.664,11,924.0,-0.2497348,1.208399,53,3.631086,38,101,0.999424,28
09-09-2019 05:18:37.9160 PM,45.57214,-73.40302,32.47017,12.852,13,1400.0,0.1951865,1.879157,53,5.646627,66,101,0.999424,28
09-09-2019 05:18:38.9161 PM,45.5721,-73.40302,32.63143,12.852,18,2019.0,0.970346,3.968834,53,11.92584,92,101,0.999424,28
09-09-2019 05:18:39.9161 PM,45.57204,-73.40297,32.92071,17.712,18,2019.0,0.970346,3.968834,53,11.92584,92,101,0.999424,28
09-09-2019 05:18:40.9162 PM,45.57199,-73.40292,32.8965,24.84,24,1847.0,1.55835,3.670586,53,11.02964,59,101,0.999424,28
09-09-2019 05:18:41.9163 PM,45.57195,-73.40286,32.8877,26.496,26,2061.0,1.069351,3.870106,53,11.62918,68,101,0.999424,28
09-09-2019 05:18:42.9163 PM,45.57189,-73.4028,32.73808,26.208,26,1517.0,0.1811499,1.905225,53,5.72496,30,101,0.999424,28
09-09-2019 05:18:43.9164 PM,45.57185,-73.40275,32.44333,26.208,25,1296.0,-0.1396134,1.589321,53,4.775707,34,101,0.999424,28
09-09-2019 05:18:44.9164 PM,45.57181,-73.40269,32.4526,23.148,24,1190.0,-0.2906223,1.357785,53,4.079971,34,101,0.999424,28
09-09-2019 05:18:45.9165 PM,45.57176,-73.40264,32.44441,23.148,23,1097.5,-0.2562941,1.246732,53,3.74627,34,101,0.999424,28
09-09-2019 05:18:46.9166 PM,45.57172,-73.40259,32.44242,22.068,22,1040.0,-0.2547746,1.18364,53,3.556688,35,101,0.999424,28
09-09-2019 05:18:47.9166 PM,45.57168,-73.40253,32.4143,21.204,21,989.5,-0.2829125,1.249813,53,3.755529,39,101,0.999424,28
09-09-2019 05:18:48.9167 PM,45.57164,-73.40249,32.36253,18.576,19,959.5,-0.4298403,1.219615,53,3.664789,40,101,0.999424,28
09-09-2019 05:18:49.9168 PM,45.57161,-73.40246,32.24346,18.576,17,915.0,-0.5050992,1.241771,53,3.731363,42,101,0.999424,28
09-09-2019 05:18:50.9168 PM,45.57157,-73.40243,32.10695,17.532,15,892.5,-0.5016767,1.240569,53,3.727751,44,101,0.999424,28
09-09-2019 05:18:51.9171 PM,45.57154,-73.40243,32.04956,15.66,13,963.0,-0.52074,1.485077,53,4.462469,54,101,0.999424,28
09-09-2019 05:18:52.9172 PM,45.5715,-73.40244,32.11354,15.156,13,963.0,-0.52074,1.485077,53,4.462469,54,101,0.999424,28
09-09-2019 05:18:53.9172 PM,45.57146,-73.4025,32.62134,19.8,14,1744.5,-0.07984472,2.4926,53,7.489947,84,101,0.999424,28
09-09-2019 05:18:54.9173 PM,45.57145,-73.40257,32.76208,19.8,20,2011.0,0.7684877,4.837941,53,14.5374,90,101,0.999424,28
09-09-2019 05:18:55.9174 PM,45.57143,-73.40266,32.83101,24.228,25,1448.5,1.364251,4.709478,53,14.15138,76,101,0.999424,28
09-09-2019 05:18:56.9175 PM,45.57143,-73.40276,32.77842,26.568,26,1403.0,0.8802699,2.231699,53,6.705971,50,101,0.999424,28
09-09-2019 05:18:57.9175 PM,45.57143,-73.40284,32.84025,26.568,26,1388.5,0.1366062,1.77251,53,5.326166,41,101,0.999424,28
09-09-2019 05:18:58.9177 PM,45.57142,-73.40292,32.63792,25.488,24,1126.5,-0.2086492,1.41191,53,4.242609,33,101,0.999424,28
09-09-2019 05:18:59.9178 PM,45.57143,-73.40298,32.40481,22.248,20,1026.5,-0.7931868,1.214916,53,3.650669,35,101,0.999424,28
09-09-2019 05:19:00.9178 PM,45.57142,-73.40303,31.99355,14.04,15,893.0,-1.269463,1.486633,53,4.467144,47,101,0.999424,28
09-09-2019 05:19:01.9179 PM,45.57143,-73.40305,31.88688,14.04,8,833.5,-1.697601,1.485909,53,4.464969,54,101,0.999424,28
09-09-2019 05:19:02.9180 PM,45.57143,-73.40305,31.88688,14.04,0,778.0,-1.743631,1.412588,53,4.244646,55,101,0.999424,28
09-09-2019 05:19:03.9191 PM,45.57143,-73.40307,32.0382,2.88,2,741.5,-0.445294,1.270582,53,3.817936,53,101,0.999424,28
09-09-2019 05:19:04.9180 PM,45.57143,-73.40309,32.18763,3.78,3,902.0,0.4249142,1.416609,53,4.256729,62,101,0.999424,28
09-09-2019 05:19:05.9181 PM,45.57143,-73.40312,32.28249,8.495999,3,902.0,0.4249142,1.416609,53,4.256729,62,101,0.999424,28
09-09-2019 05:19:06.9182 PM,45.57145,-73.40315,32.23967,8.495999,7,1378.5,0.7236823,1.66765,53,5.011076,60,101,0.999424,28
09-09-2019 05:19:07.9184 PM,45.57147,-73.40318,32.46764,10.836,11,1795.5,1.002102,2.845959,53,8.551745,67,102,0.999424,28
09-09-2019 05:19:08.9184 PM,45.57151,-73.40319,32.58074,18.684,14,2265.0,0.856127,4.370786,53,13.13366,79,102,0.999424,28
09-09-2019 05:19:09.9185 PM,45.57158,-73.4032,32.78317,26.208,20,2126.0,1.247767,6.002245,53,18.03598,86,101,0.999424,28
09-09-2019 05:19:10.9186 PM,45.57164,-73.40321,32.82174,26.208,27,2224.5,1.827878,5.306344,53,15.94489,81,101,0.999424,28
09-09-2019 05:19:11.9188 PM,45.57172,-73.40322,32.81659,30.312,31,1689.5,1.436966,3.427279,53,10.29854,50,101,0.999424,28
09-09-2019 05:19:12.9609 PM,45.5718,-73.40324,32.72487,31.32,32,1513.0,0.5676859,1.665924,53,5.005891,32,101,0.978928,28
09-09-2019 05:19:13.9612 PM,45.57188,-73.40325,32.65202,31.32,30,1406.5,-0.0770269,1.332733,52,3.922565,28,101,0.999424,28
09-09-2019 05:19:15.0369 PM,45.57195,-73.40326,32.35041,28.908,25,1176.5,-0.7015685,1.347666,52,4.049564,31,101,0.999424,28
09-09-2019 05:19:16.0629 PM,45.57201,-73.40328,32.32115,26.136,24,1130.0,-0.6129342,1.454563,52,4.370778,40,101,0.999424,28
09-09-2019 05:19:17.1516 PM,45.57207,-73.40331,32.41382,23.94,24,1499.0,-0.1376783,2.165463,52,6.506942,62,101,0.999424,28
09-09-2019 05:19:18.2182 PM,45.57215,-73.40342,33.21474,26.676,25,1351.0,0.1446406,3.47491,52,10.44166,75,101,0.999424,28
09-09-2019 05:19:19.2523 PM,45.57221,-73.40349,32.92272,29.232,27,1446.0,0.3493931,2.83952,52,8.532397,68,101,0.959652,28
09-09-2019 05:19:20.2627 PM,45.57227,-73.40356,34.0783,30.096,29,1539.5,0.4923842,3.397879,52,9.80388,73,101,1.034316,28
09-09-2019 05:19:21.2661 PM,45.57233,-73.40363,33.91906,32.904,31,1677.0,0.5742416,3.540362,52,11.00974,77,101,0.959408,28
