Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
07-08-2019 12:27:13.4167 PM,45.53997,-73.62719,52.00277,2.844,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
07-08-2019 12:27:14.4169 PM,45.53999,-73.62719,52.30569,2.916,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
07-08-2019 12:27:15.4171 PM,45.54,-73.62717,52.53408,0.864,0,752.75,-4.163336e-15,0.0,58,2.86,0.0,101,1.006104,38
07-08-2019 12:27:16.4172 PM,45.54,-73.62717,52.53408,0.864,0,683.0,-4.163336e-15,0.4727342,58,1.43,16.66516,101,1.006104,38
07-08-2019 12:27:17.4170 PM,45.54,-73.62717,52.53408,0.864,0,694.75,-4.163336e-15,0.5289334,58,1.6,20.55055,101,1.006104,38
07-08-2019 12:27:18.4173 PM,45.54,-73.62717,52.53408,0.864,0,698.0,-4.163336e-15,0.5619918,58,1.7,21.46568,101,1.006104,38
07-08-2019 12:27:19.4182 PM,45.54,-73.62717,52.53408,0.864,0,698.0,-4.163336e-15,0.5619918,58,1.7,21.46568,101,1.006104,38
07-08-2019 12:27:20.4178 PM,45.54,-73.62717,52.53408,0.864,0,698.0,-4.163336e-15,0.5619918,58,1.7,21.46568,101,1.006104,38
07-08-2019 12:27:21.4195 PM,45.54,-73.62717,52.53408,0.864,0,698.0,-4.163336e-15,0.5619918,58,1.7,21.46568,101,1.006104,38
07-08-2019 12:27:22.4194 PM,45.54,-73.62717,52.53408,0.864,0,698.0,-4.163336e-15,0.5619918,58,1.7,21.46568,101,1.006104,38
07-08-2019 12:27:23.4194 PM,45.54,-73.62717,52.53408,0.864,0,773.0,-4.163336e-15,0.9388568,58,2.84,35.69333,101,1.006104,38
07-08-2019 12:27:24.4198 PM,45.54,-73.62717,52.53408,0.864,0,765.75,-4.163336e-15,0.8892693,59,2.69,30.5279,101,1.006104,38
07-08-2019 12:27:25.4196 PM,45.54,-73.62717,52.53408,0.864,0,765.75,-4.163336e-15,0.8892693,59,2.69,30.5279,101,1.006104,38
07-08-2019 12:27:26.4194 PM,45.54,-73.62717,52.53408,0.864,0,766.0,-4.163336e-15,0.8925751,59,2.7,31.0249,101,1.006104,38
07-08-2019 12:27:27.4194 PM,45.54,-73.62717,52.53408,0.864,0,749.0,-4.163336e-15,0.935551,59,2.83,32.50808,101,1.006104,38
07-08-2019 12:27:28.4194 PM,45.54,-73.62717,52.53408,0.864,0,753.0,-4.163336e-15,0.8991868,59,2.72,31.95367,101,1.006104,38
07-08-2019 12:27:29.4194 PM,45.54,-73.62717,52.53408,0.864,0,756.25,-4.163336e-15,0.9223276,59,2.79,32.6019,101,1.006104,38
07-08-2019 12:27:30.4197 PM,45.54,-73.62717,52.53408,0.864,0,754.0,-4.163336e-15,0.9388568,59,2.84,33.04354,101,1.006104,38
07-08-2019 12:27:31.4198 PM,45.54,-73.62717,52.53408,0.864,0,754.0,-4.163336e-15,0.9388568,59,2.84,33.04354,101,1.006104,38
07-08-2019 12:27:32.4200 PM,45.54,-73.62717,52.53408,0.864,0,750.0,-4.163336e-15,0.8462934,59,2.56,29.87461,101,1.006104,38
07-08-2019 12:27:33.4200 PM,45.54,-73.62717,52.53408,0.864,0,750.0,-4.163336e-15,0.8462934,59,2.56,29.87461,101,1.006104,38
07-08-2019 12:27:34.4200 PM,45.54,-73.62717,52.53408,0.864,0,747.5,-4.163336e-15,1.279358,59,3.87,45.40288,101,1.006104,38
07-08-2019 12:27:35.4201 PM,45.54,-73.62717,52.53408,0.864,0,760.5,-4.163336e-15,0.9851385,59,2.98,35.78443,101,1.006104,38
07-08-2019 12:27:36.4200 PM,45.53999,-73.6272,55.86551,0.9720001,0,759.5,-4.163336e-15,0.975221,59,2.95,34.13159,101,1.006104,38
07-08-2019 12:27:37.4205 PM,45.53999,-73.6272,56.52847,0.936,0,759.5,-4.163336e-15,0.975221,59,2.95,34.13159,101,1.006104,38
07-08-2019 12:27:38.4214 PM,45.53998,-73.6272,57.11081,2.448,0,759.5,-4.163336e-15,0.975221,59,2.95,34.13159,101,1.006104,38
07-08-2019 12:27:39.4201 PM,45.53997,-73.6272,56.97433,1.584,2,767.75,0.3438635,1.30911,59,3.96,45.87764,101,1.006104,38
07-08-2019 12:27:40.4201 PM,45.53997,-73.6272,56.97433,1.584,0,765.0,0.2583379,1.295887,59,3.92,44.92622,101,1.006104,38
07-08-2019 12:27:41.4201 PM,45.53997,-73.6272,56.97433,1.584,0,769.25,-0.08552566,1.295887,59,3.92,45.08772,101,1.006104,38
07-08-2019 12:27:42.4202 PM,45.53997,-73.6272,56.97433,1.584,0,762.75,-4.149459e-15,1.276052,59,3.86,44.15231,101,1.006104,38
07-08-2019 12:27:43.4204 PM,45.53997,-73.6272,56.97433,1.584,0,762.75,-4.149459e-15,1.276052,59,3.86,44.15231,101,1.006104,38
07-08-2019 12:27:44.4204 PM,45.53997,-73.6272,56.97433,1.584,0,762.75,-4.149459e-15,1.276052,59,3.86,44.15231,101,1.006104,38
07-08-2019 12:27:45.4205 PM,45.53999,-73.6272,56.54306,1.98,0,745.0,-4.149459e-15,1.276052,59,3.86,44.52857,101,1.006104,38
07-08-2019 12:27:46.4205 PM,45.53999,-73.6272,56.54306,1.98,1,743.25,0.04761956,1.421509,59,4.3,50.78622,101,1.006104,38
07-08-2019 12:27:47.4209 PM,45.53999,-73.6272,56.54306,1.98,3,750.25,0.3705355,1.30911,59,3.96,46.88068,101,0.991372,38
07-08-2019 12:27:48.4206 PM,45.53998,-73.62723,54.87771,4.356,4,771.25,0.4827631,1.311788,59,3.91,45.85687,101,0.9914635,38
07-08-2019 12:27:49.4207 PM,45.53998,-73.62723,54.87771,4.356,4,771.25,0.4827631,1.311788,59,3.91,45.85687,101,0.9914635,38
07-08-2019 12:27:50.4207 PM,45.53996,-73.62723,54.9349,9.252,6,911.75,0.5094209,1.549847,59,4.62,52.70848,101,0.9871325,38
07-08-2019 12:27:51.4209 PM,45.53992,-73.62725,54.66897,11.844,9,994.75,0.4911862,1.735224,59,5.15,49.701,101,0.9887185,38
07-08-2019 12:27:52.4209 PM,45.5399,-73.62727,55.00833,10.548,10,1052.25,0.3094349,1.37586,59,4.09,36.17787,101,0.988871,38
07-08-2019 12:27:53.4209 PM,45.53988,-73.62732,55.3237,10.224,10,1052.25,0.3094349,1.37586,59,4.09,36.17787,101,0.988871,38
07-08-2019 12:27:54.4210 PM,45.53988,-73.62736,55.49014,10.836,10,1052.25,0.3094349,1.37586,59,4.09,36.17787,101,0.988871,38
07-08-2019 12:27:55.4211 PM,45.53989,-73.6274,55.37436,15.912,10,1052.25,0.3094349,1.37586,59,4.09,36.17787,101,0.988871,38
07-08-2019 12:27:56.4211 PM,45.53991,-73.62746,53.62246,18.864,10,1052.25,0.3094349,1.37586,59,4.09,36.17787,101,0.988871,38
07-08-2019 12:27:57.4213 PM,45.53994,-73.62754,52.82534,20.484,10,1052.25,0.3094349,1.37586,59,4.09,36.17787,101,0.988871,38
07-08-2019 12:27:58.4214 PM,45.53996,-73.62761,52.17074,20.592,10,980.5,0.1678223,3.538342,59,10.52,87.96917,101,0.988871,38
07-08-2019 12:27:59.4214 PM,45.53998,-73.62768,52.03158,20.592,20,789.75,0.2449037,1.032577,59,3.07,27.55018,101,0.994544,38
07-08-2019 12:28:00.4215 PM,45.54001,-73.62774,51.96432,15.66,20,789.75,0.2449037,1.032577,59,3.07,27.55018,101,0.994544,38
07-08-2019 12:28:01.4215 PM,45.54002,-73.62781,51.82675,16.452,20,789.75,0.2449037,1.032577,59,3.07,27.55018,101,0.994544,38
07-08-2019 12:28:02.4215 PM,45.54003,-73.62786,52.21121,16.956,17,1461.5,0.1117723,3.635208,59,10.87,121.1082,101,0.9898165,38
