Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
11-15-2019 01:26:54.4420 PM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
11-15-2019 01:26:55.4420 PM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
11-15-2019 01:26:56.4432 PM,0.0,0.0,0.0,0.0,0,652.25,0.0,0.0,33,2.28,29,101,1.008178,28
11-15-2019 01:26:57.4432 PM,0.0,0.0,0.0,0.0,0,652.25,0.0,0.0,33,2.28,29,101,1.008178,28
11-15-2019 01:26:58.4434 PM,0.0,0.0,0.0,0.0,0,652.25,0.0,0.0,33,2.28,29,101,1.008178,28
11-15-2019 01:26:59.4437 PM,0.0,0.0,0.0,0.0,0,652.25,0.0,0.0,33,2.28,29,101,1.008178,28
11-15-2019 01:27:00.4435 PM,0.0,0.0,0.0,0.0,0,648.5,0.0,0.7521796,33,2.28,28,101,1.008178,28
11-15-2019 01:27:01.4436 PM,0.0,0.0,0.0,0.0,0,655.25,0.0,0.7422825,33,2.25,29,101,1.008178,28
11-15-2019 01:27:02.4441 PM,0.0,0.0,0.0,0.0,0,655.25,0.0,0.7422825,33,2.25,29,101,1.008178,28
11-15-2019 01:27:03.4442 PM,0.0,0.0,0.0,0.0,0,655.25,0.0,0.7422825,33,2.25,29,101,1.008178,28
11-15-2019 01:27:04.4444 PM,0.0,0.0,0.0,0.0,0,655.25,0.0,0.7422825,33,2.25,29,101,1.008178,28
11-15-2019 01:27:05.4447 PM,0.0,0.0,0.0,0.0,0,655.25,0.0,0.7422825,33,2.25,29,101,1.008178,28
11-15-2019 01:27:06.4446 PM,0.0,0.0,0.0,0.0,0,654.25,0.0,0.7719737,33,2.34,29,101,1.008178,28
11-15-2019 01:27:07.4447 PM,0.0,0.0,0.0,0.0,0,650.5,0.0,0.7521796,33,2.28,28,101,1.008178,28
11-15-2019 01:27:08.4448 PM,0.0,0.0,0.0,0.0,0,658.25,0.0,0.7620767,33,2.31,28,101,1.008178,28
11-15-2019 01:27:09.4449 PM,0.0,0.0,0.0,0.0,0,658.25,0.0,0.7620767,33,2.31,28,101,1.008178,28
11-15-2019 01:27:10.4452 PM,0.0,0.0,0.0,0.0,0,657.25,0.0,0.7620767,33,2.31,29,101,1.008178,28
11-15-2019 01:27:11.4453 PM,0.0,0.0,0.0,0.0,0,650.5,0.0,0.7422825,33,2.25,28,101,1.008178,28
11-15-2019 01:27:12.4454 PM,0.0,0.0,0.0,0.0,0,658.25,0.0,0.7521796,33,2.28,28,101,1.008178,28
11-15-2019 01:27:13.4455 PM,0.0,0.0,0.0,0.0,0,658.25,0.0,0.7521796,33,2.28,28,101,1.008178,28
11-15-2019 01:27:14.4457 PM,0.0,0.0,0.0,0.0,0,656.25,0.0,0.7620767,33,2.31,28,101,1.008178,28
11-15-2019 01:27:15.4465 PM,0.0,0.0,0.0,0.0,0,644.5,0.0,0.7521796,33,2.28,29,101,1.008178,28
11-15-2019 01:27:16.4472 PM,0.0,0.0,0.0,0.0,0,644.5,0.0,0.7521796,33,2.28,29,101,1.008178,28
11-15-2019 01:27:17.4467 PM,0.0,0.0,0.0,0.0,0,644.5,0.0,0.7521796,33,2.28,29,101,1.008178,28
11-15-2019 01:27:18.4468 PM,0.0,0.0,0.0,0.0,0,653.25,0.0,0.7620767,33,2.31,28,101,1.008178,28
11-15-2019 01:27:19.4470 PM,0.0,0.0,0.0,0.0,0,649.5,0.0,0.7521796,33,2.28,28,101,1.008178,28
11-15-2019 01:27:20.4477 PM,0.0,0.0,0.0,0.0,0,649.5,0.0,0.7521796,33,2.28,28,101,1.008178,28
11-15-2019 01:27:21.4478 PM,0.0,0.0,0.0,0.0,0,649.5,0.0,0.7521796,33,2.28,28,101,1.008178,28
11-15-2019 01:27:22.4478 PM,0.0,0.0,0.0,0.0,0,658.25,0.0,0.7521796,33,2.28,29,101,1.008178,28
11-15-2019 01:27:23.4479 PM,0.0,0.0,0.0,0.0,0,652.25,0.0,0.7422825,33,2.25,29,101,1.008178,28
11-15-2019 01:27:24.4481 PM,0.0,0.0,0.0,0.0,0,652.25,0.0,0.7422825,33,2.25,29,101,1.008178,28
