Date,Time,Bag#,CO2 (%),Temperature (deg C)
2020-01-03,11:05:31 AM,Zeroing,NA,34.4
2020-01-03,11:05:33 AM,Zeroing,NA,34.3
2020-01-03,11:05:34 AM,Zeroing,NA,34.3
2020-01-03,11:05:35 AM,Zeroing,NA,34.3
2020-01-03,11:05:36 AM,Zeroing,NA,34.3
2020-01-03,11:05:37 AM,Zeroing,NA,34.4
2020-01-03,11:05:38 AM,Zeroing,NA,34.4
2020-01-03,11:05:39 AM,Zeroing,NA,34.3
2020-01-03,11:05:40 AM,Zeroing,NA,34.3
2020-01-03,11:05:41 AM,Zeroing,NA,34.3
2020-01-03,11:05:42 AM,Zeroing,NA,34.4
2020-01-03,11:05:43 AM,Zeroing,NA,34.4
2020-01-03,11:05:44 AM,Zeroing,NA,34.4
2020-01-03,11:05:45 AM,Zeroing,NA,34.4
2020-01-03,11:05:46 AM,Zeroing,NA,34.3
2020-01-03,11:05:47 AM,Zeroing,NA,34.4
2020-01-03,11:05:48 AM,Zeroing,NA,34.4
2020-01-03,11:05:49 AM,Zeroing,NA,34.4
2020-01-03,11:05:50 AM,Zeroing,NA,34.4
2020-01-03,11:05:51 AM,Zeroing,NA,34.4
2020-01-03,11:05:52 AM,Zeroing,NA,34.3
2020-01-03,11:05:53 AM,Zeroing,NA,34.3
2020-01-03,11:05:54 AM,Zeroing,NA,34.3
2020-01-03,11:05:55 AM,Zeroing,NA,34.3
2020-01-03,11:05:56 AM,Zeroing,NA,34.4
2020-01-03,11:05:57 AM,Zeroing,NA,34.4
2020-01-03,11:05:58 AM,Zeroing,NA,34.4
2020-01-03,11:05:59 AM,Zeroing,NA,34.4
2020-01-03,11:06:00 AM,Zeroing,NA,34.4
2020-01-03,11:06:01 AM,Zeroing,NA,34.4
2020-01-03,11:07:04 AM,0,17.15,34.5
2020-01-03,11:07:06 AM,0,17.15,34.6
2020-01-03,11:07:07 AM,0,17.15,34.5
2020-01-03,11:07:08 AM,0,17.15,34.4
2020-01-03,11:07:09 AM,0,17.15,34.4
2020-01-03,11:07:10 AM,0,17.15,34.5
2020-01-03,11:07:11 AM,0,17.15,34.5
2020-01-03,11:07:12 AM,0,17.15,34.4
2020-01-03,11:07:13 AM,0,17.15,34.4
2020-01-03,11:07:14 AM,0,17.14,34.3
2020-01-03,11:07:15 AM,0,17.14,34.6
2020-01-03,11:07:16 AM,0,17.15,34.5
2020-01-03,11:07:17 AM,0,17.14,34.5
2020-01-03,11:07:18 AM,0,17.14,34.5
2020-01-03,11:07:19 AM,0,17.14,34.5
2020-01-03,11:07:20 AM,0,17.15,34.5
2020-01-03,11:07:21 AM,0,17.15,34.5
2020-01-03,11:07:22 AM,0,17.15,34.5
2020-01-03,11:07:23 AM,0,17.15,34.5
2020-01-03,11:07:24 AM,0,17.14,34.5
2020-01-03,11:07:25 AM,0,17.15,34.5
2020-01-03,11:07:26 AM,0,17.14,34.4
2020-01-03,11:07:27 AM,0,17.15,34.5
2020-01-03,11:07:28 AM,0,17.15,34.5
2020-01-03,11:07:29 AM,0,17.14,34.4
2020-01-03,11:07:30 AM,0,17.15,34.4
2020-01-03,11:07:31 AM,0,17.15,34.5
2020-01-03,11:07:32 AM,0,17.15,34.5
