Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
12-12-2019 04:15:41.2191 PM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,0
12-12-2019 04:15:42.2195 PM,0.0,0.0,0.0,0.0,0,675.0,-0.4002691,0.0,27,3.57,37,103,0.9973805,22
12-12-2019 04:15:43.2197 PM,0.0,0.0,0.0,0.0,0,675.0,-0.4002691,0.0,27,3.57,37,103,0.9973805,22
12-12-2019 04:15:44.2193 PM,0.0,0.0,0.0,0.0,0,675.0,-0.4002691,0.0,27,3.57,37,103,0.9973805,22
12-12-2019 04:15:45.2194 PM,0.0,0.0,0.0,0.0,0,675.0,-0.4002691,0.0,27,3.57,37,103,0.9973805,22
12-12-2019 04:15:46.2193 PM,0.0,0.0,0.0,0.0,0,687.5,-1.519281e-05,1.197174,27,3.59,36,103,0.9973805,22
12-12-2019 04:15:47.2192 PM,0.0,0.0,0.0,0.0,0,675.0,-2.613249e-16,1.223852,27,3.67,37,103,0.9973805,22
12-12-2019 04:15:48.2199 PM,0.0,0.0,0.0,0.0,0,675.0,-2.613249e-16,1.223852,27,3.67,37,103,0.9973805,22
12-12-2019 04:15:49.2200 PM,0.0,0.0,0.0,0.0,0,675.0,-2.613249e-16,1.223852,27,3.67,37,103,0.9973805,22
12-12-2019 04:15:50.2204 PM,0.0,0.0,0.0,0.0,0,675.0,-2.613249e-16,1.223852,27,3.67,37,103,0.9973805,22
12-12-2019 04:15:51.2205 PM,0.0,0.0,0.0,0.0,0,650.0,-2.613249e-16,1.203843,27,3.61,38,103,0.9973805,22
12-12-2019 04:15:52.2204 PM,0.0,0.0,0.0,0.0,0,650.0,-2.613249e-16,1.317225,27,3.95,39,103,0.9973805,21
12-12-2019 04:15:53.2204 PM,0.0,0.0,0.0,0.0,0,650.0,-2.613249e-16,1.317225,27,3.95,39,103,0.9973805,21
