Date,Time,Bag#,CO2 (%),Temperature (deg C)
2019-08-26,6:13:19 PM,Zeroing,NA,37.4
2019-08-26,6:13:21 PM,Zeroing,NA,37.4
2019-08-26,6:13:22 PM,Zeroing,NA,37.3
2019-08-26,6:13:23 PM,Zeroing,NA,37.4
2019-08-26,6:13:24 PM,Zeroing,NA,37.4
2019-08-26,6:13:25 PM,Zeroing,NA,37.4
2019-08-26,6:13:26 PM,Zeroing,NA,37.4
2019-08-26,6:13:27 PM,Zeroing,NA,37.4
2019-08-26,6:13:28 PM,Zeroing,NA,37.4
2019-08-26,6:13:29 PM,Zeroing,NA,37.3
2019-08-26,6:13:30 PM,Zeroing,NA,37.3
2019-08-26,6:13:31 PM,Zeroing,NA,37.4
2019-08-26,6:13:32 PM,Zeroing,NA,37.3
2019-08-26,6:13:33 PM,Zeroing,NA,37.4
2019-08-26,6:13:34 PM,Zeroing,NA,37.4
2019-08-26,6:13:35 PM,Zeroing,NA,37.4
2019-08-26,6:13:36 PM,Zeroing,NA,37.4
2019-08-26,6:13:37 PM,Zeroing,NA,37.3
2019-08-26,6:13:38 PM,Zeroing,NA,37.4
2019-08-26,6:13:39 PM,Zeroing,NA,37.3
2019-08-26,6:13:40 PM,Zeroing,NA,37.3
2019-08-26,6:13:41 PM,Zeroing,NA,37.4
2019-08-26,6:13:42 PM,Zeroing,NA,37.4
2019-08-26,6:13:43 PM,Zeroing,NA,37.4
2019-08-26,6:13:44 PM,Zeroing,NA,37.4
2019-08-26,6:13:45 PM,Zeroing,NA,37.4
2019-08-26,6:13:46 PM,Zeroing,NA,37.4
2019-08-26,6:13:47 PM,Zeroing,NA,37.4
2019-08-26,6:13:48 PM,Zeroing,NA,37.4
2019-08-26,6:13:49 PM,Zeroing,NA,37.4
2019-08-26,6:17:27 PM,0,3.15,36.9
2019-08-26,6:17:29 PM,0,8.98,36.7
2019-08-26,6:17:30 PM,0,12.42,36.7
2019-08-26,6:17:31 PM,0,14.06,36.7
2019-08-26,6:17:32 PM,0,14.95,36.7
2019-08-26,6:17:33 PM,0,15.49,36.7
2019-08-26,6:17:34 PM,0,15.84,36.7
2019-08-26,6:17:35 PM,0,16.15,36.7
2019-08-26,6:17:36 PM,0,16.55,36.7
2019-08-26,6:17:37 PM,0,16.73,36.7
2019-08-26,6:17:38 PM,0,16.78,36.7
2019-08-26,6:17:39 PM,0,16.78,36.7
2019-08-26,6:17:40 PM,0,16.78,36.7
