Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
09-05-2019 11:59:57.7856 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
09-05-2019 11:59:58.7857 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
09-05-2019 11:59:59.7858 AM,45.51398,-73.57016,40.86526,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
09-05-2019 12:00:00.7854 PM,45.51398,-73.57016,40.86526,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
09-05-2019 12:00:01.7856 PM,45.51398,-73.57016,40.86526,0.0,0,686.5,0.0,0.0,52,1.65,0.0,101,0.998997,31
09-05-2019 12:00:02.7856 PM,45.51398,-73.57016,40.86526,0.0,0,686.5,0.0,0.0,52,1.65,0.0,101,0.998997,31
09-05-2019 12:00:03.7866 PM,45.51398,-73.57016,40.86526,0.0,0,686.5,0.0,0.0,52,1.65,0.0,101,0.998997,31
09-05-2019 12:00:04.7860 PM,45.51398,-73.57016,40.86526,0.0,0,690.5,0.0,0.5493428,53,1.65,27.60357,101,0.998997,31
09-05-2019 12:00:05.7860 PM,45.51398,-73.57016,40.86526,0.0,0,694.5,0.0,0.5493428,53,1.65,27.52807,100,0.998997,31
09-05-2019 12:00:06.7860 PM,45.51398,-73.57016,40.86526,0.0,0,692.75,0.0,0.5493428,53,1.65,27.36952,101,0.998997,31
09-05-2019 12:00:07.7859 PM,45.51398,-73.57016,40.86526,0.0,0,692.75,0.0,0.5493428,53,1.65,27.36952,101,0.998997,31
09-05-2019 12:00:08.7859 PM,45.51398,-73.57016,40.86526,0.0,0,692.75,0.0,0.5493428,53,1.65,27.36952,101,0.998997,31
09-05-2019 12:00:09.7859 PM,45.51398,-73.57016,40.86526,0.0,0,697.5,0.0,0.5493428,53,1.65,27.43866,101,0.998997,31
09-05-2019 12:00:10.7860 PM,45.51398,-73.57016,40.86526,0.0,0,695.25,0.0,0.5493428,53,1.65,27.2518,101,0.998997,31
09-05-2019 12:00:11.7860 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:12.7861 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:13.7861 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:14.7862 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:15.7861 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:16.7861 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:17.7862 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:18.7862 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:19.7863 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:20.7863 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:21.7863 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:22.7864 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:23.7865 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:24.7889 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:25.7864 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:26.7866 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:27.7869 PM,45.51398,-73.57016,40.86526,0.0,0,689.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:28.7868 PM,45.51398,-73.57016,40.86526,0.0,0,692.75,0.0,0.5493428,53,1.65,27.558,101,0.998997,31
09-05-2019 12:00:29.7875 PM,45.51398,-73.57016,40.86526,0.0,0,693.75,0.0,0.5493428,53,1.65,27.43866,101,0.998997,31
09-05-2019 12:00:30.7868 PM,45.51398,-73.57016,40.86526,0.0,0,696.75,0.0,0.5493428,53,1.65,27.39911,101,0.998997,31
09-05-2019 12:00:31.7870 PM,45.51398,-73.57016,40.86526,0.0,0,693.75,0.0,0.5460135,53,1.64,27.1158,101,0.998997,31
09-05-2019 12:00:32.7870 PM,45.51398,-73.57016,40.86526,0.0,0,689.0,0.0,0.5493428,53,1.65,27.39911,101,0.998997,31
09-05-2019 12:00:33.7871 PM,45.51398,-73.57016,40.86526,0.0,0,695.25,0.0,0.5493428,53,1.65,27.588,101,0.998997,31
09-05-2019 12:00:34.7873 PM,45.51398,-73.57016,40.86526,0.0,0,693.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:35.7875 PM,45.51398,-73.57016,40.86526,0.0,0,693.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:36.7876 PM,45.51398,-73.57016,40.86526,0.0,0,693.75,0.0,0.5493428,53,1.65,27.34,101,0.998997,31
09-05-2019 12:00:37.7879 PM,45.51398,-73.57016,40.86526,0.0,0,693.75,0.0,0.5493428,53,1.65,27.39911,101,0.998997,31
09-05-2019 12:00:38.7880 PM,45.51398,-73.57016,40.86526,0.0,0,707.0,0.0,0.5493428,53,1.65,27.39911,101,0.998997,31
09-05-2019 12:00:39.7881 PM,45.51398,-73.57016,40.86526,0.0,0,707.0,0.0,0.5493428,53,1.65,27.39911,101,0.998997,31
09-05-2019 12:00:40.7884 PM,45.51398,-73.57016,40.86526,0.0,0,707.0,0.0,0.5493428,53,1.65,27.39911,101,0.998997,31
09-05-2019 12:00:41.7885 PM,45.51398,-73.57016,40.86526,0.0,0,707.0,0.0,0.5493428,53,1.65,27.39911,101,0.998997,31
09-05-2019 12:00:42.7889 PM,45.51398,-73.57016,40.86526,0.0,0,707.0,0.0,0.5493428,53,1.65,27.39911,101,0.998997,31
09-05-2019 12:00:43.7886 PM,45.51398,-73.57016,40.86526,0.0,0,697.5,0.0,0.5593308,53,1.68,27.37445,101,0.998997,31
09-05-2019 12:00:44.7887 PM,45.51398,-73.57016,40.86526,0.0,0,700.75,0.0,0.5493428,53,1.65,27.2518,101,0.998997,31
09-05-2019 12:00:45.7888 PM,45.51398,-73.57016,40.86526,0.0,0,700.75,0.0,0.5493428,53,1.65,27.2518,101,0.998997,31
09-05-2019 12:00:46.7890 PM,45.51398,-73.57016,40.86526,0.0,0,700.75,0.0,0.5493428,53,1.65,27.2518,101,0.998997,31
09-05-2019 12:00:47.7890 PM,45.51398,-73.57016,40.86526,0.0,0,707.0,0.0,0.5560015,53,1.67,27.45421,101,0.998997,31
