Date,Time,Bag#,CO2 (%),Temperature (deg C)
2019-09-05,11:58:50 AM,Zeroing,NA,32.3
2019-09-05,11:58:51 AM,Zeroing,NA,32.3
2019-09-05,11:58:52 AM,Zeroing,NA,32.3
2019-09-05,11:58:53 AM,Zeroing,NA,32.3
2019-09-05,11:58:54 AM,Zeroing,NA,32.3
2019-09-05,11:58:55 AM,Zeroing,NA,32.3
2019-09-05,11:58:56 AM,Zeroing,NA,32.3
2019-09-05,11:58:57 AM,Zeroing,NA,32.3
2019-09-05,11:58:58 AM,Zeroing,NA,32.4
2019-09-05,11:58:59 AM,Zeroing,NA,32.3
2019-09-05,11:59:00 AM,Zeroing,NA,32.4
2019-09-05,11:59:01 AM,Zeroing,NA,32.3
2019-09-05,11:59:02 AM,Zeroing,NA,32.4
2019-09-05,11:59:03 AM,Zeroing,NA,32.4
2019-09-05,11:59:04 AM,Zeroing,NA,32.4
2019-09-05,11:59:05 AM,Zeroing,NA,32.3
2019-09-05,11:59:06 AM,Zeroing,NA,32.4
2019-09-05,11:59:07 AM,Zeroing,NA,32.3
2019-09-05,11:59:08 AM,Zeroing,NA,32.3
2019-09-05,11:59:09 AM,Zeroing,NA,32.3
2019-09-05,11:59:10 AM,Zeroing,NA,32.3
2019-09-05,11:59:11 AM,Zeroing,NA,32.3
2019-09-05,11:59:12 AM,Zeroing,NA,32.4
2019-09-05,11:59:13 AM,Zeroing,NA,32.4
2019-09-05,11:59:14 AM,Zeroing,NA,32.4
2019-09-05,11:59:15 AM,Zeroing,NA,32.4
2019-09-05,11:59:16 AM,Zeroing,NA,32.4
2019-09-05,11:59:17 AM,Zeroing,NA,32.4
2019-09-05,11:59:18 AM,Zeroing,NA,32.4
2019-09-05,11:59:19 AM,Zeroing,NA,32.4
2019-09-05,12:00:27 PM,0,16.81,32.4
2019-09-05,12:00:28 PM,0,16.81,32.4
2019-09-05,12:00:29 PM,0,16.81,32.4
2019-09-05,12:00:30 PM,0,16.81,32.4
2019-09-05,12:00:31 PM,0,16.81,32.4
2019-09-05,12:00:32 PM,0,16.81,32.4
