Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
08-02-2019 05:17:56.6550 PM,0.0,0.0,0.0,0.0,0,800.0,0.0,0.0,37,2.314475,0,101,0.999424,30
08-02-2019 05:17:57.6551 PM,0.0,0.0,0.0,0.0,0,800.0,0.0,0.0,37,2.314475,0,101,0.999424,30
08-02-2019 05:17:58.6555 PM,0.0,0.0,0.0,0.0,0,800.0,0.0,0.0,37,2.314475,0,101,0.999424,30
08-02-2019 05:17:59.6612 PM,0.0,0.0,0.0,0.0,0,782.0,0.0,0.8008664,37,2.406502,0,101,0.999424,30
08-02-2019 05:18:00.6615 PM,0.0,0.0,0.0,0.0,0,782.0,0.0,0.8008664,37,2.406502,0,101,0.999424,30
08-02-2019 05:18:01.6613 PM,0.0,0.0,0.0,0.0,0,782.0,0.0,0.8008664,37,2.406502,0,101,0.999424,30
08-02-2019 05:18:02.6615 PM,0.0,0.0,0.0,0.0,0,809.0,0.0,0.9858072,37,2.962225,0,101,0.999424,30
08-02-2019 05:18:03.6619 PM,0.0,0.0,0.0,0.0,0,809.0,0.0,0.9858072,37,2.962225,0,101,0.999424,30
08-02-2019 05:18:04.6621 PM,0.0,0.0,0.0,0.0,0,809.0,0.0,0.9858072,37,2.962225,0,101,0.999424,30
08-02-2019 05:18:05.6622 PM,45.49291,-73.65337,52.28637,0.54,0,809.0,0.0,0.9858072,37,2.962225,0,101,0.999424,30
08-02-2019 05:18:06.6620 PM,45.49291,-73.65338,52.44136,1.26,0,791.5,0.0,0.8698669,37,2.61384,0,101,0.999424,30
08-02-2019 05:18:07.6621 PM,45.49291,-73.65338,52.44136,1.26,0,793.5,0.0,0.7630106,37,2.29275,0,101,0.999424,30
08-02-2019 05:18:08.6622 PM,45.49291,-73.65338,52.44136,1.26,0,801.5,0.0,0.7918566,37,2.379428,0,101,0.999424,30
08-02-2019 05:18:09.6624 PM,45.49291,-73.65338,52.44136,1.26,0,801.5,0.0,0.7918566,37,2.379428,0,101,0.999424,30
08-02-2019 05:18:10.6624 PM,45.49291,-73.65338,52.44136,1.26,0,801.5,0.0,0.7918566,37,2.379428,0,101,0.999424,30
08-02-2019 05:18:11.6626 PM,45.49291,-73.65338,52.44136,1.26,0,811.0,0.0,0.802368,37,2.411014,0,101,0.999424,30
08-02-2019 05:18:12.6626 PM,45.49291,-73.65338,52.44136,1.26,0,828.5,0.0,1.142643,37,3.433498,0,101,0.999424,30
08-02-2019 05:18:13.6626 PM,45.49291,-73.65338,52.44136,1.26,0,869.0,0.0,1.430955,37,4.299839,0,101,0.999424,30
08-02-2019 05:18:14.6627 PM,45.49291,-73.65338,52.44136,1.26,0,869.0,0.0,1.430955,37,4.299839,0,101,0.999424,30
08-02-2019 05:18:15.6628 PM,45.49292,-73.65337,52.53753,0.9720001,0,869.0,0.0,1.430955,37,4.299839,0,101,0.999424,30
08-02-2019 05:18:16.6628 PM,45.49293,-73.65336,52.68645,3.348,1,868.5,0.188451,1.417682,37,4.259953,0,101,0.999424,30
08-02-2019 05:18:17.6630 PM,45.49294,-73.65335,52.83684,3.348,1,868.5,0.188451,1.417682,37,4.259953,0,101,0.999424,30
08-02-2019 05:18:18.6630 PM,45.49295,-73.65334,52.82181,3.168,1,868.5,0.188451,1.417682,37,4.259953,0,101,0.999424,30
08-02-2019 05:18:19.6630 PM,45.49295,-73.65334,52.78693,2.592,1,868.5,0.188451,1.417682,37,4.259953,0,101,0.999424,30
08-02-2019 05:18:20.6631 PM,45.49296,-73.65334,52.71219,1.332,3,856.5,0.252076,1.352463,37,4.06398,0,101,0.999424,30
08-02-2019 05:18:21.6631 PM,45.49296,-73.65334,52.77821,0.9720001,3,856.5,0.252076,1.352463,37,4.06398,0,101,0.999424,30
08-02-2019 05:18:22.6632 PM,45.49296,-73.65334,52.77821,0.9720001,3,856.5,0.252076,1.352463,37,4.06398,0,101,0.999424,30
08-02-2019 05:18:23.6631 PM,45.49296,-73.65334,52.76841,0.9720001,1,925.5,-0.04918879,1.143237,37,3.435281,0,101,0.999424,30
08-02-2019 05:18:24.6634 PM,45.49295,-73.65333,52.70561,2.592,6,1147.0,0.1309002,1.887319,37,5.671155,0,101,0.999424,30
08-02-2019 05:18:25.6636 PM,45.49293,-73.65331,52.86692,6.3,6,1147.0,0.1309002,1.887319,37,5.671155,0,101,0.999424,30
08-02-2019 05:18:26.6638 PM,45.49292,-73.65328,52.69171,10.476,7,1145.0,0.4344721,1.743627,37,5.239377,0,101,0.999424,30
08-02-2019 05:18:27.6638 PM,45.49292,-73.65324,52.65499,12.096,12,997.0,0.4463611,1.40096,37,4.209707,0,101,0.999424,30
08-02-2019 05:18:28.6639 PM,45.49293,-73.6532,52.65265,12.096,12,906.5,0.255603,1.072012,37,3.221258,0,101,0.999424,30
08-02-2019 05:18:29.6638 PM,45.49295,-73.65317,52.74532,12.096,11,839.0,-0.1668194,1.008313,37,3.029852,0,101,0.999424,30
08-02-2019 05:18:30.6640 PM,45.49298,-73.65314,52.62585,10.188,9,811.5,-0.5431768,1.213201,38,3.645516,0,101,0.999424,30
