Date,Time,Bag#,CO2 (%),Temperature (deg C)
2019-08-02,6:42:44 PM,Zeroing,NA,37.4
2019-08-02,6:42:46 PM,Zeroing,NA,37.4
2019-08-02,6:42:47 PM,Zeroing,NA,37.3
2019-08-02,6:42:48 PM,Zeroing,NA,37.4
2019-08-02,6:42:49 PM,Zeroing,NA,37.4
2019-08-02,6:42:50 PM,Zeroing,NA,37.4
2019-08-02,6:42:51 PM,Zeroing,NA,37.4
2019-08-02,6:42:52 PM,Zeroing,NA,37.4
2019-08-02,6:42:53 PM,Zeroing,NA,37.4
2019-08-02,6:42:54 PM,Zeroing,NA,37.4
2019-08-02,6:42:55 PM,Zeroing,NA,37.3
2019-08-02,6:42:56 PM,Zeroing,NA,37.4
2019-08-02,6:42:57 PM,Zeroing,NA,37.3
2019-08-02,6:42:58 PM,Zeroing,NA,37.4
2019-08-02,6:42:59 PM,Zeroing,NA,37.3
2019-08-02,6:43:00 PM,Zeroing,NA,37.4
2019-08-02,6:43:01 PM,Zeroing,NA,37.3
2019-08-02,6:43:02 PM,Zeroing,NA,37.4
2019-08-02,6:43:03 PM,Zeroing,NA,37.4
2019-08-02,6:43:04 PM,Zeroing,NA,37.3
2019-08-02,6:43:05 PM,Zeroing,NA,37.4
2019-08-02,6:43:06 PM,Zeroing,NA,37.4
2019-08-02,6:43:07 PM,Zeroing,NA,37.4
2019-08-02,6:43:08 PM,Zeroing,NA,37.4
2019-08-02,6:43:09 PM,Zeroing,NA,37.4
2019-08-02,6:43:10 PM,Zeroing,NA,37.4
2019-08-02,6:43:11 PM,Zeroing,NA,37.4
2019-08-02,6:43:12 PM,Zeroing,NA,37.3
2019-08-02,6:43:13 PM,Zeroing,NA,37.4
2019-08-02,6:43:14 PM,Zeroing,NA,37.4
2019-08-02,6:43:32 PM,0,0.01,37.4
2019-08-02,6:43:33 PM,0,-0.03,37.4
2019-08-02,6:43:34 PM,0,-0.02,37.3
2019-08-02,6:43:35 PM,0,-0.0,37.4
2019-08-02,6:43:36 PM,0,-0.01,37.4
2019-08-02,6:43:54 PM,0,16.42,37.4
2019-08-02,6:43:55 PM,0,16.32,37.3
2019-08-02,6:43:56 PM,0,16.63,37.3
2019-08-02,6:43:57 PM,0,16.8,37.4
2019-08-02,6:43:58 PM,0,16.49,37.3
2019-08-02,6:43:59 PM,0,16.4,37.4
2019-08-02,6:44:00 PM,0,16.26,37.4
2019-08-02,6:44:01 PM,0,16.22,37.3
2019-08-02,6:44:02 PM,0,16.36,37.4
2019-08-02,6:44:03 PM,0,16.59,37.4
2019-08-02,6:44:04 PM,0,16.48,37.4
2019-08-02,6:44:05 PM,0,16.39,37.3
2019-08-02,6:44:06 PM,0,16.51,37.4
2019-08-02,6:44:07 PM,0,16.31,37.3
2019-08-02,6:44:08 PM,0,16.29,37.4
2019-08-02,6:44:09 PM,0,16.36,37.4
2019-08-02,6:44:10 PM,0,16.33,37.4
2019-08-02,6:44:11 PM,0,16.26,37.3
2019-08-02,6:44:12 PM,0,16.3,37.3
2019-08-02,6:44:13 PM,0,16.33,37.3
2019-08-02,6:44:14 PM,0,16.41,37.3
2019-08-02,6:44:15 PM,0,16.4,37.4
2019-08-02,6:44:16 PM,0,16.42,37.4
2019-08-02,6:44:17 PM,0,16.35,37.4
2019-08-02,6:44:18 PM,0,16.35,37.3
2019-08-02,6:44:19 PM,0,16.44,37.4
2019-08-02,6:44:20 PM,0,16.21,37.3
2019-08-02,6:44:21 PM,0,16.25,37.4
2019-08-02,6:44:22 PM,0,16.33,37.4
2019-08-02,6:44:23 PM,0,16.33,37.3
2019-08-02,6:44:24 PM,0,16.31,37.4
2019-08-02,6:44:25 PM,0,16.33,37.3
2019-08-02,6:44:26 PM,0,16.33,37.4
2019-08-02,6:44:27 PM,0,16.03,37.4
2019-08-02,6:44:28 PM,0,15.94,37.4
2019-08-02,6:44:29 PM,0,16.31,37.4
2019-08-02,6:44:30 PM,0,16.34,37.4
2019-08-02,6:44:31 PM,0,16.22,37.3
2019-08-02,6:44:32 PM,0,16.16,37.3
2019-08-02,6:44:33 PM,0,16.15,37.4
2019-08-02,6:44:34 PM,0,15.94,37.4
2019-08-02,6:44:35 PM,0,16.31,37.4
2019-08-02,6:44:36 PM,0,16.41,37.3
2019-08-02,6:44:37 PM,0,16.4,37.3
2019-08-02,6:44:38 PM,0,16.36,37.3
2019-08-02,6:44:39 PM,0,16.39,37.4
2019-08-02,6:44:40 PM,0,16.31,37.4
2019-08-02,6:44:41 PM,0,16.16,37.4
2019-08-02,6:44:42 PM,0,16.4,37.4
2019-08-02,6:44:43 PM,0,16.32,37.3
2019-08-02,6:44:44 PM,0,16.4,37.3
2019-08-02,6:44:45 PM,0,16.2,37.4
2019-08-02,6:44:46 PM,0,16.34,37.4
2019-08-02,6:44:47 PM,0,16.41,37.4
2019-08-02,6:44:48 PM,0,16.46,37.4
2019-08-02,6:44:49 PM,0,16.45,37.3
2019-08-02,6:44:50 PM,0,16.65,37.4
2019-08-02,6:44:51 PM,0,16.81,37.4
2019-08-02,6:44:52 PM,0,16.84,37.4
2019-08-02,6:44:53 PM,0,16.84,37.4
2019-08-02,6:44:54 PM,0,16.85,37.3
2019-08-02,6:44:55 PM,0,16.85,37.4
2019-08-02,6:44:56 PM,0,16.84,37.4
2019-08-02,6:44:57 PM,0,16.84,37.4
2019-08-02,6:44:58 PM,0,16.85,37.4
2019-08-02,6:44:59 PM,0,16.85,37.4
2019-08-02,6:45:00 PM,0,16.85,37.3
2019-08-02,6:45:01 PM,0,16.85,37.4
2019-08-02,6:45:02 PM,0,16.85,37.3
2019-08-02,6:45:03 PM,0,16.85,37.4
2019-08-02,6:45:04 PM,0,16.85,37.3
2019-08-02,6:45:05 PM,0,16.85,37.3
2019-08-02,6:45:06 PM,0,16.85,37.4
2019-08-02,6:45:07 PM,0,16.85,37.4
2019-08-02,6:45:08 PM,0,16.85,37.3
2019-08-02,6:45:09 PM,0,16.85,37.4
2019-08-02,6:45:10 PM,0,16.85,37.3
2019-08-02,6:45:11 PM,0,16.85,37.4
2019-08-02,6:45:12 PM,0,16.85,37.4
2019-08-02,6:45:13 PM,0,16.85,37.4
2019-08-02,6:45:14 PM,0,16.85,37.4
2019-08-02,6:45:15 PM,0,16.85,37.3
2019-08-02,6:45:16 PM,0,16.85,37.4
2019-08-02,6:45:17 PM,0,16.85,37.4
2019-08-02,6:45:18 PM,0,16.85,37.3
2019-08-02,6:45:19 PM,0,16.85,37.4
2019-08-02,6:45:20 PM,0,16.85,37.3
2019-08-02,6:45:21 PM,0,16.85,37.4
2019-08-02,6:45:22 PM,0,16.85,37.3
2019-08-02,6:45:23 PM,0,16.85,37.3
2019-08-02,6:45:24 PM,0,16.85,37.4
2019-08-02,6:45:25 PM,0,16.85,37.3
2019-08-02,6:45:26 PM,0,16.85,37.3
2019-08-02,6:45:27 PM,0,16.85,37.3
2019-08-02,6:45:28 PM,0,16.85,37.3
2019-08-02,6:45:29 PM,0,16.85,37.3
2019-08-02,6:45:30 PM,0,16.85,37.4
2019-08-02,6:45:31 PM,0,16.84,37.4
2019-08-02,6:45:32 PM,0,16.85,37.4
2019-08-02,6:45:33 PM,0,16.85,37.4
2019-08-02,6:45:34 PM,0,16.85,37.3
2019-08-02,6:45:35 PM,0,16.85,37.4
2019-08-02,6:45:36 PM,0,16.85,37.4
2019-08-02,6:45:37 PM,0,16.85,37.3
2019-08-02,6:45:38 PM,0,16.85,37.3
2019-08-02,6:45:39 PM,0,16.85,37.3
2019-08-02,6:45:40 PM,0,16.85,37.3
2019-08-02,6:45:41 PM,0,16.85,37.3
2019-08-02,6:45:42 PM,0,16.86,37.4
2019-08-02,6:45:43 PM,0,16.85,37.3
2019-08-02,6:45:44 PM,0,16.85,37.3
2019-08-02,6:45:45 PM,0,16.85,37.4
2019-08-02,6:45:46 PM,0,16.85,37.4
2019-08-02,6:45:47 PM,0,16.85,37.4
2019-08-02,6:45:48 PM,0,16.85,37.3
2019-08-02,6:45:49 PM,0,16.85,37.3
2019-08-02,6:45:50 PM,0,16.85,37.4
2019-08-02,6:45:51 PM,0,16.84,37.3
2019-08-02,6:45:52 PM,0,16.85,37.4
2019-08-02,6:45:53 PM,0,16.85,37.4
2019-08-02,6:45:54 PM,0,16.85,37.4
2019-08-02,6:45:55 PM,0,16.85,37.3
2019-08-02,6:45:56 PM,0,16.85,37.3
2019-08-02,6:45:57 PM,0,16.85,37.3
