Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
07/18/2023 11:32:44.4341 AM,45.50682,-73.58183,93.8,6.361349,14,1447.0,0.001847035,0.0,60,0.0,89,0,1.037153,0
07/18/2023 11:32:45.4343 AM,45.50684,-73.58187,93.7,7.751099,14,1447.0,0.001847035,0.0,60,0.0,89,0,1.037153,0
07/18/2023 11:32:46.4344 AM,45.50687,-73.58191,93.7,9.127878,14,1447.0,0.001847035,0.0,60,0.0,89,0,1.037153,0
07/18/2023 11:32:47.4345 AM,45.50691,-73.58195,93.6,10.65475,14,1424.75,0.001847035,0.0,60,14.42819,88,100,1.004091,26
07/18/2023 11:32:48.4347 AM,45.50694,-73.58199,93.3,11.89811,18,1496.0,0.1564406,4.812744,60,14.52921,90,100,0.990457,26
07/18/2023 11:32:49.4349 AM,45.50698,-73.58203,93.1,13.17483,18,1496.0,0.1564406,4.812744,60,14.52921,90,100,0.990457,26
07/18/2023 11:32:50.4351 AM,45.50702,-73.58207,93.0,14.01239,19,1216.75,0.2657539,3.187634,60,9.492496,56,100,1.029101,26
07/18/2023 11:32:51.4354 AM,45.50705,-73.58211,93.2,14.92592,19,1216.75,0.2657539,3.187634,60,9.492496,56,100,1.029101,26
07/18/2023 11:32:52.4356 AM,45.50709,-73.58214,93.2,15.62264,17,1345.5,-0.04334043,3.430984,60,10.6158,77,100,0.9934765,26
07/18/2023 11:32:53.4357 AM,45.50713,-73.58218,93.0,16.19707,17,1368.5,-0.1526537,4.134239,60,12.34893,81,100,1.027057,26
07/18/2023 11:32:54.4359 AM,45.50716,-73.58221,92.8,16.58064,15,1437.25,-0.2045788,4.218072,60,13.02521,84,100,1.016351,26
07/18/2023 11:32:55.4360 AM,45.5072,-73.58224,92.7,16.74927,15,1437.25,-0.2045788,4.218072,60,13.02521,84,100,1.016351,26
07/18/2023 11:32:56.4362 AM,45.50724,-73.58227,92.5,16.71035,16,1393.5,-0.09198979,4.476639,60,13.67957,84,100,1.041819,26
07/18/2023 11:32:57.4364 AM,45.50727,-73.5823,92.1,16.24154,16,1232.25,0.1125891,3.276518,60,10.26316,65,100,1.042032,26
07/18/2023 11:32:58.4366 AM,45.50729,-73.58232,91.7,15.64858,13,1025.0,-0.334579,3.030476,60,9.494421,68,100,1.030442,26
07/18/2023 11:32:59.4367 AM,45.50732,-73.58234,91.5,14.88515,11,1256.0,-0.5723901,3.336373,60,10.33653,89,100,1.005677,26
07/18/2023 11:33:00.4368 AM,45.50734,-73.58235,91.2,14.07168,11,1256.0,-0.5723901,3.336373,60,10.33653,89,100,1.005677,26
07/18/2023 11:33:01.4370 AM,45.50738,-73.58237,90.3,12.95988,11,1114.0,-0.2378111,2.871082,60,8.68121,61,100,1.079761,26
07/18/2023 11:33:02.4371 AM,45.5074,-73.58237,89.5,11.91294,9,1155.0,-0.1900461,2.449529,60,7.952186,63,100,1.028003,26
07/18/2023 11:33:03.4373 AM,45.50742,-73.58238,89.1,11.01794,9,1155.0,-0.1900461,2.449529,60,7.952186,63,100,1.028003,26
07/18/2023 11:33:04.4374 AM,45.50744,-73.58241,89.0,10.11367,8,1580.5,-0.2729184,3.133314,60,9.684439,74,100,1.061797,26
07/18/2023 11:33:05.4377 AM,45.50744,-73.58244,89.1,9.196439,7,1342.75,-0.1682654,3.926772,60,12.53584,70,100,1.022452,26
07/18/2023 11:33:06.5050 AM,45.50743,-73.58247,89.2,8.483034,7,1342.75,-0.1682654,3.926772,60,12.53584,70,100,1.022452,26
07/18/2023 11:33:07.4379 AM,45.50742,-73.58249,89.0,7.817807,6,952.5,-0.1907213,3.315978,60,10.19367,67,100,1.005555,26
07/18/2023 11:33:08.4381 AM,45.50741,-73.5825,89.0,7.154433,4,647.75,-0.3102293,1.999088,60,6.043851,56,100,1.037671,26
07/18/2023 11:33:09.4382 AM,45.50741,-73.58252,89.0,6.287229,4,647.75,-0.3102293,1.999088,60,6.043851,56,100,1.037671,26
07/18/2023 11:33:10.4383 AM,45.50741,-73.58252,89.0,5.551588,0,614.25,-0.6084571,1.458559,60,4.550508,62,100,0.9804835,26
07/18/2023 11:33:11.4385 AM,45.50741,-73.58252,89.3,5.11428,0,613.25,-0.4035559,1.581846,60,4.663165,67,100,1.025013,26
07/18/2023 11:33:12.4387 AM,45.50742,-73.58251,89.4,4.867831,4,635.75,0.4175053,1.352831,60,4.16917,60,100,1.012173,26
07/18/2023 11:33:13.4389 AM,45.50743,-73.58251,90.0,4.515761,4,635.75,0.4175053,1.352831,60,4.16917,60,100,1.012173,26
07/18/2023 11:33:14.4392 AM,45.50743,-73.58251,90.5,4.045099,4,628.0,0.4175053,1.396587,60,4.2501,59,100,1.009062,26
07/18/2023 11:33:15.4393 AM,45.50743,-73.5825,91.1,3.537377,1,628.25,-0.3129247,1.454179,60,4.411762,62,100,0.979843,26
07/18/2023 11:33:16.4394 AM,45.50743,-73.5825,91.3,2.903651,1,628.25,-0.3129247,1.454179,60,4.411762,62,100,0.979843,26
07/18/2023 11:33:17.4397 AM,45.50744,-73.5825,91.7,2.460784,1,621.25,-0.3129247,1.498139,60,4.413518,62,100,0.9975025,26
07/18/2023 11:33:18.4398 AM,45.50744,-73.58249,92.1,2.182834,0,623.5,-0.0765844,1.478691,60,4.434735,63,100,1.013698,26
07/18/2023 11:33:19.4398 AM,45.50744,-73.58248,92.5,2.143921,0,623.5,-0.0765844,1.478691,60,4.434735,63,100,1.013698,26
07/18/2023 11:33:20.4400 AM,45.50744,-73.58248,92.8,2.166157,1,651.25,0.03012534,1.274897,60,3.885616,55,100,1.071526,26
07/18/2023 11:33:21.4401 AM,45.50744,-73.58247,93.1,2.012358,0,1008.25,0.02593553,1.763682,60,5.681974,77,100,1.009123,26
07/18/2023 11:33:22.4403 AM,45.50744,-73.58247,93.5,1.799263,0,1008.25,0.02593553,1.763682,60,5.681974,77,100,1.009123,26
07/18/2023 11:33:23.4404 AM,45.50744,-73.58247,94.0,1.565785,1,598.25,0.02385201,2.29688,60,6.968813,61,100,1.131153,26
07/18/2023 11:33:24.4406 AM,45.50744,-73.58246,94.4,0.0,0,1331.25,-0.003210227,1.395223,60,4.745058,70,100,1.03517,26
07/18/2023 11:33:25.4408 AM,45.50744,-73.58246,94.8,0.0,0,987.0,-0.1078364,4.652685,60,14.48077,96,100,1.004426,26
07/18/2023 11:33:26.4409 AM,45.50745,-73.58245,95.2,0.0,0,987.0,-0.1078364,4.652685,60,14.48077,96,100,1.004426,26
07/18/2023 11:33:27.4410 AM,45.50745,-73.58244,95.7,1.337866,1,618.25,0.1005737,2.184921,60,6.598268,59,100,1.088941,26
07/18/2023 11:33:28.4412 AM,45.50745,-73.58243,96.2,0.0,0,630.5,0.02074467,1.326587,60,4.343267,62,100,1.019493,26
07/18/2023 11:33:29.4413 AM,45.50745,-73.58242,96.6,0.0,0,630.5,0.02074467,1.326587,60,4.343267,62,100,1.019493,26
07/18/2023 11:33:30.4416 AM,45.50744,-73.58241,96.9,0.0,0,631.75,-0.07982899,1.514951,60,4.643647,65,100,1.01992,26
07/18/2023 11:33:31.4416 AM,45.50744,-73.58241,96.9,0.0,3,614.5,0.3154801,1.657379,60,5.082347,71,100,1.034316,26
07/18/2023 11:33:32.4417 AM,45.50743,-73.58239,97.8,1.523166,5,623.25,0.5324867,1.343397,60,4.177668,60,100,1.019737,26
07/18/2023 11:33:33.4419 AM,45.50741,-73.58237,98.1,1.949356,5,623.25,0.5324867,1.343397,60,4.177668,60,100,1.019737,26
07/18/2023 11:33:34.4420 AM,45.50738,-73.58236,98.6,2.616436,7,635.0,0.4084308,1.289872,60,3.954678,56,100,1.011136,26
07/18/2023 11:33:35.4421 AM,45.50737,-73.58234,98.8,3.318723,11,704.0,0.6179048,1.467372,60,4.460938,62,100,0.9790805,26
07/18/2023 11:33:36.4423 AM,45.50734,-73.58231,99.1,4.139602,11,704.0,0.6179048,1.467372,60,4.460938,62,100,0.9790805,26
07/18/2023 11:33:37.4424 AM,45.50732,-73.58228,99.3,5.214342,15,749.5,0.7527941,1.246512,60,3.669368,46,100,1.091565,26
07/18/2023 11:33:38.4427 AM,45.50728,-73.58224,99.3,6.694889,17,648.0,0.5260842,1.371458,60,4.500992,53,100,1.034987,26
07/18/2023 11:33:39.4427 AM,45.50724,-73.5822,99.3,8.275498,18,638.75,0.3036757,1.179762,60,3.671181,50,100,1.045235,26
07/18/2023 11:33:40.4430 AM,45.5072,-73.58217,99.2,9.993229,18,638.75,0.3036757,1.179762,60,3.671181,50,100,1.045235,26
07/18/2023 11:33:41.4430 AM,45.50717,-73.58212,99.1,11.65166,18,635.5,0.103905,1.082429,60,3.401649,47,100,1.014003,26
07/18/2023 11:33:42.4432 AM,45.50713,-73.58208,98.9,13.14889,18,636.5,-2.914335e-16,1.110091,60,3.384341,47,100,1.009763,26
07/18/2023 11:33:43.4434 AM,45.50709,-73.58204,98.7,14.46081,18,625.0,-2.914335e-16,1.09275,60,3.317546,46,100,0.981978,26
07/18/2023 11:33:44.4436 AM,45.50706,-73.58202,97.9,15.64858,18,625.0,-2.914335e-16,1.09275,60,3.317546,46,100,0.981978,26
07/18/2023 11:33:45.4437 AM,45.50702,-73.58197,97.6,16.77521,19,627.25,0.1090274,1.103368,60,3.257607,46,100,0.9925615,26
07/18/2023 11:33:46.4438 AM,45.50697,-73.58193,97.4,17.82586,20,658.25,0.211439,0.9526375,60,2.842899,40,100,1.004243,26
07/18/2023 11:33:47.4441 AM,45.50694,-73.58189,97.1,18.404,20,658.25,0.211439,0.9526375,60,2.842899,40,100,1.004243,26
07/18/2023 11:33:48.4443 AM,45.5069,-73.58185,96.8,18.7116,21,620.0,0.1881746,1.037494,60,3.132571,42,100,0.980636,26
