Time,Latitude (deg),Longitude (deg),Altitude (m),GPS Speed (km/h),Vehicle speed (km/h),Engine RPM (RPM),Acceleration (m/s²),Fuel rate (l/hr),Intake air temperature (C),Mass air flow rate (g/s),Intake manifold absolute pressure (kPa),Barometric pressure (kPa),Fuel/Air commanded equivalence ratio,Ambient air temperature (C)
07/27/2023 11:03:55.8833 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
07/27/2023 11:03:56.8750 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0
07/27/2023 11:03:57.8751 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,31
07/27/2023 11:03:58.8752 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,31
07/27/2023 11:03:59.8753 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,31
07/27/2023 11:04:00.8756 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,31
07/27/2023 11:04:01.8758 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,31
07/27/2023 11:04:02.8760 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,31
07/27/2023 11:04:03.8760 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,31
07/27/2023 11:04:04.8762 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,31
07/27/2023 11:04:05.8763 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,31
07/27/2023 11:04:06.8765 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,31
07/27/2023 11:04:07.8767 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:08.8768 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:09.8769 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:10.8770 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:11.8772 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:12.8773 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:13.8775 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:14.8777 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:15.8779 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:16.8782 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:17.8782 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:18.8783 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:19.8785 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:20.8785 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:21.8787 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:22.8789 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:23.8792 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:24.8794 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:25.8803 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:26.8805 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:27.8809 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:28.8810 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:29.8813 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:30.8813 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:31.8815 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:32.8818 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:33.8819 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:34.8821 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:35.8823 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:36.8825 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:37.8827 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:38.8828 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:39.8829 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:40.8830 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:41.8833 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:42.8833 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
07/27/2023 11:04:43.8835 AM,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,-40,0.0,0.0,100,0.732976,32
