Date,Time,Bag#,CO2 (%),Temperature (deg C)
7/27/2023,11:14:53 AM,Zeroing,NA,35.864
7/27/2023,11:14:55 AM,Zeroing,NA,35.848
7/27/2023,11:14:56 AM,Zeroing,NA,35.873
7/27/2023,11:14:57 AM,Zeroing,NA,35.873
7/27/2023,11:14:58 AM,Zeroing,NA,35.881
7/27/2023,11:14:59 AM,Zeroing,NA,35.848
7/27/2023,11:15:00 AM,Zeroing,NA,35.864
7/27/2023,11:15:01 AM,Zeroing,NA,35.84
7/27/2023,11:15:02 AM,Zeroing,NA,35.848
7/27/2023,11:15:03 AM,Zeroing,NA,35.906
7/27/2023,11:15:04 AM,Zeroing,NA,35.914
7/27/2023,11:15:05 AM,Zeroing,NA,35.873
7/27/2023,11:15:06 AM,Zeroing,NA,35.864
7/27/2023,11:15:07 AM,Zeroing,NA,35.856
7/27/2023,11:15:08 AM,Zeroing,NA,35.906
7/27/2023,11:15:09 AM,Zeroing,NA,35.831
7/27/2023,11:15:10 AM,Zeroing,NA,35.873
7/27/2023,11:15:11 AM,Zeroing,NA,35.922
7/27/2023,11:15:12 AM,Zeroing,NA,35.906
7/27/2023,11:15:13 AM,Zeroing,NA,35.864
7/27/2023,11:15:14 AM,Zeroing,NA,35.898
7/27/2023,11:15:15 AM,Zeroing,NA,35.881
7/27/2023,11:15:16 AM,Zeroing,NA,35.939
7/27/2023,11:15:17 AM,Zeroing,NA,35.972
7/27/2023,11:15:18 AM,Zeroing,NA,35.906
7/27/2023,11:15:19 AM,Zeroing,NA,35.964
7/27/2023,11:15:20 AM,Zeroing,NA,35.889
7/27/2023,11:15:21 AM,Zeroing,NA,35.898
7/27/2023,11:15:22 AM,Zeroing,NA,35.889
7/27/2023,11:15:23 AM,Zeroing,NA,35.956
7/27/2023,11:15:24 AM,Zeroing,NA,35.914
7/27/2023,11:15:25 AM,Zeroing,NA,35.873
7/27/2023,11:15:26 AM,Zeroing,NA,35.947
7/27/2023,11:15:27 AM,Zeroing,NA,35.889
7/27/2023,11:15:28 AM,Zeroing,NA,35.898
7/27/2023,11:15:29 AM,Zeroing,NA,35.898
7/27/2023,11:15:30 AM,Zeroing,NA,35.939
7/27/2023,11:15:31 AM,Zeroing,NA,35.922
7/27/2023,11:15:32 AM,Zeroing,NA,35.906
7/27/2023,11:15:33 AM,Zeroing,NA,35.906
7/27/2023,11:15:34 AM,Zeroing,NA,35.898
7/27/2023,11:15:35 AM,Zeroing,NA,35.956
7/27/2023,11:15:36 AM,Zeroing,NA,35.956
7/27/2023,11:15:37 AM,Zeroing,NA,35.956
7/27/2023,11:15:38 AM,Zeroing,NA,35.914
7/27/2023,11:15:39 AM,Zeroing,NA,35.931
7/27/2023,11:15:40 AM,Zeroing,NA,35.964
7/27/2023,11:15:41 AM,Zeroing,NA,35.981
7/27/2023,11:15:42 AM,Zeroing,NA,36.005
7/27/2023,11:15:43 AM,Zeroing,NA,35.981
7/27/2023,11:15:44 AM,Zeroing,NA,36.014
7/27/2023,11:15:45 AM,Zeroing,NA,35.939
7/27/2023,11:15:46 AM,Zeroing,NA,36.097
7/27/2023,11:15:47 AM,Zeroing,NA,36.039
7/27/2023,11:15:48 AM,Zeroing,NA,35.972
7/27/2023,11:15:49 AM,Zeroing,NA,36.055
7/27/2023,11:15:50 AM,Zeroing,NA,36.072
7/27/2023,11:15:51 AM,Zeroing,NA,35.972
7/27/2023,11:15:52 AM,Zeroing,NA,36.014
7/27/2023,11:15:53 AM,Zeroing,NA,36.022
7/27/2023,11:16:24 AM,0,0.007,36.113
7/27/2023,11:16:25 AM,0,-0.0107,36.138
7/27/2023,11:16:26 AM,0,0.0094,36.155
7/27/2023,11:16:27 AM,0,-0.0077,36.113
7/27/2023,11:16:28 AM,0,0.0055,36.13
7/27/2023,11:16:29 AM,0,-0.0077,36.204
7/27/2023,11:16:30 AM,0,0.0078,36.171
7/27/2023,11:16:31 AM,0,-0.0038,36.13
7/27/2023,11:16:32 AM,0,0.0109,36.171
7/27/2023,11:16:33 AM,0,-0.0015,36.138
7/27/2023,11:16:34 AM,0,0.0094,36.18
7/27/2023,11:16:35 AM,0,-0.0061,36.121
7/27/2023,11:16:36 AM,0,0.014,36.121
7/27/2023,11:16:37 AM,0,-0.0107,36.204
7/27/2023,11:16:38 AM,0,0.0117,36.18
7/27/2023,11:16:39 AM,0,-0.0069,36.138
7/27/2023,11:16:40 AM,0,0.007,36.238
7/27/2023,11:16:41 AM,0,-0.0092,36.146
7/27/2023,11:16:42 AM,0,0.0125,36.204
7/27/2023,11:16:43 AM,0,-0.0123,36.246
7/27/2023,11:16:44 AM,0,0.0094,36.105
7/27/2023,11:16:45 AM,0,-0.0046,36.138
7/27/2023,11:16:46 AM,0,0.0028,36.221
7/27/2023,11:16:47 AM,0,-0.0123,36.213
7/27/2023,11:16:48 AM,0,0.0082,36.229
7/27/2023,11:16:49 AM,0,-0.0131,36.221
7/27/2023,11:16:50 AM,0,0.0156,36.196
7/27/2023,11:16:51 AM,0,-0.0069,36.196
7/27/2023,11:16:52 AM,0,0.0109,36.262
7/27/2023,11:16:53 AM,0,-0.0104,36.196
7/27/2023,11:16:54 AM,0,0.004,36.262
7/27/2023,11:16:55 AM,0,-0.0046,36.279
7/27/2023,11:16:56 AM,0,0.0117,36.254
7/27/2023,11:16:57 AM,0,0.0016,36.221
7/27/2023,11:16:58 AM,0,0.0101,36.304
7/27/2023,11:16:59 AM,0,-0.003,36.238
7/27/2023,11:17:00 AM,0,0.0109,36.221
7/27/2023,11:17:01 AM,0,-0.0107,36.254
7/27/2023,11:17:02 AM,0,0.0047,36.204
7/27/2023,11:17:03 AM,0,-0.01,36.262
7/27/2023,11:17:04 AM,0,0.0024,36.279
7/27/2023,11:17:05 AM,0,-0.0077,36.287
7/27/2023,11:17:06 AM,0,0.0059,36.279
7/27/2023,11:17:07 AM,0,-0.0049,36.254
7/27/2023,11:17:08 AM,0,0.0047,36.221
7/27/2023,11:17:09 AM,0,-0.0146,36.229
7/27/2023,11:17:10 AM,0,0.0024,36.254
7/27/2023,11:17:11 AM,0,-0.0077,36.204
7/27/2023,11:17:12 AM,0,0.0036,36.238
7/27/2023,11:17:13 AM,0,-0.0158,36.279
7/27/2023,11:17:14 AM,0,0.0051,36.337
7/27/2023,11:17:15 AM,0,-0.0162,36.345
7/27/2023,11:17:16 AM,0,0.014,36.32
7/27/2023,11:17:17 AM,0,-0.0115,36.238
7/27/2023,11:17:18 AM,0,0.0032,36.304
7/27/2023,11:17:19 AM,0,-0.0069,36.362
7/27/2023,11:17:20 AM,0,0.0078,36.304
7/27/2023,11:17:21 AM,0,-0.0154,36.345
7/27/2023,11:17:22 AM,0,0.0117,36.337
7/27/2023,11:17:23 AM,0,-0.0061,36.345
7/27/2023,11:17:24 AM,0,0.0047,36.287
7/27/2023,11:17:25 AM,0,-0.0046,36.262
7/27/2023,11:17:26 AM,0,0.014,36.32
7/27/2023,11:17:27 AM,0,-0.0053,36.345
7/27/2023,11:17:28 AM,0,0.0132,36.329
7/27/2023,11:17:29 AM,0,-0.0022,36.378
7/27/2023,11:17:30 AM,0,0.0101,36.32
7/27/2023,11:17:31 AM,0,-0.0069,36.271
7/27/2023,11:17:32 AM,0,0.0148,36.378
7/27/2023,11:17:33 AM,0,-0.0092,36.337
7/27/2023,11:17:34 AM,0,0.0132,36.304
7/27/2023,11:17:35 AM,0,-0.0046,36.403
7/27/2023,11:17:36 AM,0,0.0109,36.362
7/27/2023,11:17:37 AM,0,-0.0038,36.37
7/27/2023,11:17:38 AM,0,0.0117,36.312
7/27/2023,11:17:39 AM,0,-0.0022,36.378
7/27/2023,11:17:40 AM,0,0.0086,36.337
7/27/2023,11:17:41 AM,0,0.0001,36.345
7/27/2023,11:17:42 AM,0,0.0078,36.42
7/27/2023,11:17:43 AM,0,-0.0046,36.362
7/27/2023,11:17:44 AM,0,0.007,36.395
7/27/2023,11:17:45 AM,0,-0.0138,36.37
7/27/2023,11:17:46 AM,0,0.0125,36.395
7/27/2023,11:17:47 AM,0,-0.0061,36.403
7/27/2023,11:17:48 AM,0,0.0055,36.387
7/27/2023,11:17:49 AM,0,-0.0092,36.403
7/27/2023,11:17:50 AM,0,0.0086,36.354
7/27/2023,11:17:51 AM,0,-0.0104,36.345
7/27/2023,11:17:52 AM,0,0.0055,36.345
7/27/2023,11:17:53 AM,0,-0.0107,36.42
7/27/2023,11:17:54 AM,0,0.0063,36.445
7/27/2023,11:17:55 AM,0,-0.01,36.345
7/27/2023,11:17:56 AM,0,0.0105,36.395
7/27/2023,11:17:57 AM,0,-0.0084,36.403
7/27/2023,11:17:58 AM,0,0.1339,36.395
7/27/2023,11:17:59 AM,0,2.2477,36.437
7/27/2023,11:18:00 AM,0,5.2266,36.461
7/27/2023,11:18:01 AM,0,7.099,36.445
7/27/2023,11:18:02 AM,0,8.3598,36.437
7/27/2023,11:18:03 AM,0,9.4782,36.412
7/27/2023,11:18:04 AM,0,10.5339,36.362
7/27/2023,11:18:05 AM,0,11.4589,36.403
7/27/2023,11:18:06 AM,0,12.1525,36.478
7/27/2023,11:18:07 AM,0,12.6551,36.437
7/27/2023,11:18:08 AM,0,12.847,36.503
7/27/2023,11:18:09 AM,0,13.0048,36.445
7/27/2023,11:18:10 AM,0,13.2245,36.511
7/27/2023,11:18:11 AM,0,13.3151,36.47
7/27/2023,11:18:12 AM,0,13.5007,36.461
7/27/2023,11:18:13 AM,0,13.582,36.47
7/27/2023,11:18:14 AM,0,13.6949,36.47
7/27/2023,11:18:15 AM,0,13.7267,36.445
7/27/2023,11:18:16 AM,0,13.8984,36.453
7/27/2023,11:18:17 AM,0,13.8961,36.445
7/27/2023,11:18:18 AM,0,13.8977,36.495
7/27/2023,11:18:19 AM,0,13.9116,36.445
7/27/2023,11:18:20 AM,0,14.0903,36.437
7/27/2023,11:18:21 AM,0,14.0687,36.453
7/27/2023,11:18:22 AM,0,14.0942,36.461
7/27/2023,11:18:23 AM,0,14.0888,36.503
7/27/2023,11:18:24 AM,0,14.1019,36.453
7/27/2023,11:18:25 AM,0,14.1572,36.428
7/27/2023,11:18:26 AM,0,14.276,36.42
7/27/2023,11:18:27 AM,0,14.324,36.478
7/27/2023,11:18:28 AM,0,14.3379,36.478
7/27/2023,11:18:29 AM,0,14.3244,36.453
7/27/2023,11:18:30 AM,0,14.3534,36.47
7/27/2023,11:18:31 AM,0,14.3503,36.42
7/27/2023,11:18:32 AM,0,14.3561,36.461
7/27/2023,11:18:33 AM,0,14.3402,36.486
7/27/2023,11:18:34 AM,0,14.3638,36.511
7/27/2023,11:18:35 AM,0,14.3511,36.453
